file,human_upper,machine_upper
1,4,0
2,1,2
3,3,4
4,4,0
5,5,6
6,1,1
7,5,0
8,4,10
9,2,8
10,1,0
11,2,1
12,7,10
13,3,0
14,7,6
15,1,0
16,9,10
17,0,2
18,8,9
19,7,8
20,4,4
21,5,1
22,2,0
23,2,0
24,2,1
25,3,0
26,5,10
27,3,9
28,2,0
29,9,7
30,4,2
31,7,0
32,7,7
33,3,0
34,2,5
35,5,5
36,9,4
37,10,6
38,5,0
39,7,0
40,7,8
41,4,6
42,6,0
43,1,0
44,5,6
45,0,0
46,2,10
47,2,0
48,4,0
49,6,11
50,5,3
51,6,3
52,2,3
53,5,0
54,0,0
55,3,0
56,3,9
57,2,0
58,6,4
59,7,10
60,4,2
61,5,0
62,3,2
63,2,7
64,9,9
65,6,5
66,7,7
67,7,2
68,6,2
69,5,2
70,2,5
71,3,1
72,3,1
73,4,8
74,0,1
75,6,4
76,8,3
77,6,3
78,2,3
79,9,10
80,7,0
81,8,5
82,2,0
83,7,8
84,8,5
85,4,1
86,4,4
87,8,5
88,7,4
89,4,0
90,7,0
91,3,0
92,2,6
93,9,0
94,13,4
95,10,2
96,4,3
97,6,3
98,11,1
99,5,0
100,3,3
