file,human_total,machine_total
1,19,13
2,4,24
3,11,13
4,11,11
5,22,24
6,7,20
7,14,9
8,19,25
9,12,28
10,10,9
11,18,14
12,26,22
13,11,10
14,27,18
15,9,9
16,30,20
17,8,22
18,25,22
19,29,21
20,15,16
21,21,12
22,24,13
23,8,14
24,15,19
25,19,33
26,16,38
27,26,29
28,12,1
29,31,21
30,15,13
31,14,14
32,31,13
33,14,14
34,18,28
35,24,20
36,21,18
37,26,24
38,25,9
39,20,10
40,18,21
41,14,20
42,18,9
43,18,7
44,22,20
45,12,8
46,13,14
47,15,13
48,20,9
49,26,24
50,21,25
51,21,11
52,11,7
53,12,15
54,8,15
55,25,15
56,19,27
57,18,18
58,19,11
59,31,52
60,25,12
61,12,8
62,6,11
63,20,19
64,20,11
65,21,21
66,31,23
67,13,19
68,32,31
69,21,14
70,10,22
71,13,11
72,16,5
73,18,28
74,7,16
75,21,20
76,22,21
77,17,18
78,19,36
79,31,17
80,23,19
81,27,6
82,10,8
83,27,13
84,25,26
85,17,20
86,16,5
87,30,19
88,27,18
89,24,21
90,30,14
91,17,29
92,16,24
93,26,12
94,39,23
95,29,16
96,12,18
97,17,27
98,30,12
99,21,23
100,19,27
