Completion time in Tokens per second,time of the call in H-M-S
31.946124170082303,22-33-26
25.732284476028216,22-34-02
30.0800419864809,22-34-28
32.01267047639439,22-34-58
30.32348481390446,22-35-20
30.750267558518885,22-35-49
27.433520202526186,22-36-14
26.47730568349403,22-36-46
26.607751855300283,22-37-22
29.51638385813898,22-37-49
30.158035112549673,22-38-18
29.107544143285736,22-38-37
32.426759403664875,22-39-06
30.985555610312066,22-39-32
26.13332960912111,22-39-54
31.943001930851093,22-40-20
29.4439200713042,22-40-47
28.521642091049426,22-41-13
29.908580044544806,22-41-33
30.277042633444083,22-41-57
27.10296974336329,22-42-28
30.96176256276502,22-42-54
31.37334072458234,22-43-27
30.38511337381589,22-43-49
30.80674172979128,22-44-22
31.47748744406264,22-44-42
31.913497562659934,22-45-13
30.494914616023546,22-45-50
31.38994857500252,22-46-13
30.787364494479725,22-46-38
25.449796180238057,22-47-16
27.743357884415275,22-47-46
31.53114422657304,22-48-16
28.828691178321098,22-48-47
31.249292677076735,22-49-07
30.016921205522642,22-49-29
30.940324661982448,22-49-59
30.406237599350835,22-50-26
29.77657046480054,22-50-54
29.599937358443253,22-51-27
29.67825861241748,22-51-57
30.074974901340887,22-52-19
31.210870784289817,22-52-41
30.883563981913287,22-53-02
30.156705009480902,22-53-24
31.38945101132977,22-53-48
30.536356107864446,22-54-11
30.16113759962768,22-54-32
27.930291562759802,22-54-57
25.50260122572674,22-55-20
30.191727109532252,22-55-46
30.56256537829582,22-56-21
30.94772172853773,22-56-51
29.86414647681646,22-57-14
29.274564529986964,22-57-44
30.765759275038146,22-58-10
29.76091692137747,22-58-34
30.534112932340243,22-59-01
31.759441287911976,22-59-35
31.564573517127293,22-59-56
30.412991674011693,23-00-20
30.921864684540996,23-00-46
29.44626196093543,23-01-11
29.928136987571534,23-01-44
30.503290043367524,23-02-13
28.978854954487453,23-02-33
27.38969337682381,23-03-04
30.47265364510261,23-03-28
30.410940729127546,23-03-52
28.98970755342521,23-04-20
31.12083219667295,23-04-43
28.471915336406365,23-05-05
29.41835490734081,23-05-27
27.353394165258358,23-05-48
28.608954338313755,23-06-17
31.95371286320872,23-06-52
30.159943363397193,23-07-13
30.488380659798132,23-07-40
32.5352374023663,23-08-09
30.636984077717322,23-08-28
31.217287775863458,23-08-54
29.910792764359353,23-09-18
30.41958291069744,23-09-41
29.53719172868853,23-10-09
29.952392961863957,23-10-32
27.3394629094821,23-10-55
31.086188913339,23-11-21
30.53391343383302,23-11-40
28.567150854131626,23-12-03
30.313154523545062,23-12-30
27.099413771534174,23-12-56
28.46318782935554,23-13-20
27.786896827920664,23-13-52
28.983946259654513,23-14-15
28.20347470862737,23-14-37
30.19510795468533,23-14-57
31.098886241133304,23-15-20
29.872053525701407,23-15-44
31.63526403661231,23-16-12
30.978941276779434,23-16-33
