Completion time in Tokens per second,time of the call in H-M-S
31.104547900044366,21-23-24
26.784376001686617,21-24-07
29.310506706867777,21-24-52
27.70821365501763,21-25-28
31.44426385768008,21-26-17
29.464864308551928,21-27-06
27.491380550328746,21-27-55
26.78592918567359,21-28-53
29.779522454328365,21-29-35
25.361067186663185,21-30-32
30.574522059159253,21-31-20
29.627061238457145,21-32-04
28.11661975361819,21-32-58
27.684474529628595,21-33-48
30.515014464114465,21-34-32
29.54362465111865,21-35-26
29.451827660159204,21-36-24
26.389274755751376,21-37-04
29.727657513060578,21-37-49
29.605385328255384,21-38-32
30.110233406300573,21-39-17
29.568319196126012,21-40-04
30.841649474183253,21-40-44
27.62024658415905,21-41-41
31.949296506629814,21-42-31
30.444792053655274,21-43-14
30.428134285491048,21-44-05
31.32993296199705,21-44-41
29.847529001060682,21-45-12
29.180068133736828,21-45-52
27.63422003829045,21-46-29
29.13851740193153,21-47-20
25.432221328950497,21-47-57
30.809367903138952,21-48-37
27.937350885144724,21-49-16
28.671912638133275,21-50-07
26.25144626110645,21-50-48
29.37159920199639,21-51-43
31.208078112850277,21-52-43
28.648470768791437,21-53-17
31.60589635540567,21-53-50
32.12688272302978,21-54-20
26.500136566372547,21-54-55
28.17668891073477,21-55-43
32.21693924919949,21-56-18
27.027597800620565,21-56-52
30.745051622025667,21-57-30
28.758523492784224,21-58-22
27.96829119663404,21-59-04
27.4295183425113,21-59-44
30.771282902869796,22-00-19
26.505515867847624,22-00-57
27.817403958786358,22-01-42
30.304579543879818,22-02-26
30.2687583302362,22-03-04
30.15879804653498,22-03-42
29.328034735055684,22-04-18
31.538437961184247,22-05-11
30.496962863995172,22-05-51
30.536615488454615,22-06-25
27.90049522318853,22-07-08
31.222731746341058,22-07-49
29.151749117361533,22-08-56
31.699270939922258,22-09-29
29.92807453059444,22-10-10
30.514597851815605,22-10-46
30.35930911679166,22-11-37
28.88805377868023,22-12-19
28.46109838023814,22-13-06
31.487080082648976,22-13-38
27.57832566080641,22-14-26
27.044188042225795,22-15-17
27.634231231688844,22-15-59
30.079516657745017,22-16-43
28.68874839423137,22-17-29
27.02298802612491,22-18-07
27.217942340624756,22-18-48
27.446107899565526,22-19-33
26.934284278765702,22-20-21
27.01124090234248,22-21-13
29.88144555293656,22-21-55
29.37110463383174,22-22-46
27.126909047320446,22-23-24
30.74447292101611,22-24-02
30.69131706134668,22-24-43
30.240258856613888,22-25-33
28.63698433799384,22-26-10
30.465441031996896,22-26-55
31.77274189686589,22-27-39
28.194353993658336,22-28-18
31.412792104979147,22-29-16
29.001600381050235,22-29-57
31.58342447677514,22-30-36
28.277433248001383,22-31-20
27.833213065826772,22-32-08
30.41313408831886,22-32-47
