Completion time in Tokens per second,time of the call in H-M-S
22.81251106968708,14-39-01
23.59493326506427,14-39-35
22.665562103228893,14-40-00
22.22709860441927,14-40-27
23.323867227880225,14-41-05
23.425242423110124,14-41-34
23.346944602036956,14-42-02
22.293822889821275,14-42-36
23.699849007691583,14-43-06
19.99199875782958,14-43-42
22.084710904891338,14-44-08
23.471546002317844,14-44-32
23.601042455369548,14-45-06
23.131733598364274,14-45-37
22.32486530601286,14-46-03
23.2787821420366,14-46-31
23.860357385009575,14-47-06
21.585576590541812,14-57-33
23.357681405958708,14-57-56
22.93536811171643,14-58-20
24.211623279554626,14-58-56
23.307374396485272,14-59-22
24.490273648635693,14-59-48
24.07465789079833,15-00-15
22.64585914804028,15-00-41
22.932005882421375,15-01-23
22.898595127816037,15-01-47
23.75179326039068,15-02-22
22.6925331085006,15-02-46
22.95984284303779,15-03-12
22.793134869431107,15-03-38
25.095401759857506,15-04-02
23.456978722901898,15-04-25
23.846178670964672,15-04-51
24.355233167403703,15-05-24
23.0013755059671,15-05-53
23.974717580132943,15-06-17
22.978770696140703,15-06-50
22.588878690504536,15-07-18
23.079003889548527,15-07-41
23.284885808674723,15-08-03
23.06930406586776,15-08-34
23.495872162038864,15-09-07
23.444863791913132,15-09-40
23.35196981507363,15-10-19
24.53843356096438,15-10-47
25.01392807697085,15-11-10
20.70497666726296,15-11-36
24.880372787383397,15-12-02
22.220505171052288,15-12-34
24.764374693132677,15-12-57
24.139774886858635,15-13-31
25.511414634800957,15-13-53
24.47457570824368,15-14-17
24.616619489667574,15-14-54
25.536457696297546,15-15-31
24.878614302085698,15-15-56
23.40864224690799,15-16-21
24.364359824344128,15-16-49
24.178322311462427,15-17-11
22.55993438234345,15-17-37
23.08851431535228,15-18-03
23.401389627498578,15-18-24
22.75331126122287,15-18-56
24.657597832958995,15-19-20
24.289100827164408,15-19-43
24.46518844226816,15-20-13
25.320752166655847,15-20-34
23.169102867038237,15-21-05
21.896936282339453,15-21-33
23.362167370310594,15-22-08
21.18407406535833,15-22-37
22.426002294131276,15-23-10
22.999822241686655,15-23-38
22.743012513080114,15-24-06
23.561117423037356,15-24-31
22.78848187542113,15-24-58
23.351137521379236,15-25-22
23.94521139717106,15-25-55
22.703689870233678,15-26-20
23.752163494477724,15-26-43
24.10576523690266,15-27-20
22.256998048153253,15-27-45
22.449052701961516,15-28-15
21.511054055800912,15-28-42
23.818802402421333,15-29-07
23.83893626006205,15-29-45
23.05515569470998,15-30-09
22.832828539115543,15-30-51
23.399685121097082,15-31-18
22.624336982408842,15-31-41
24.928344924650045,15-32-13
23.89396817558649,15-32-43
24.80273853061834,15-33-08
23.970725784736633,15-33-31
24.549416217531444,15-34-02
24.51241786633378,15-34-25
24.745016004809855,15-34-54
22.2976500914729,15-45-22
23.52914727135926,15-45-50
