Completion time in Tokens per second,time of the call in H-M-S
27.58725183957361,21-11-55
31.11951242322098,21-12-32
27.459977845068284,21-13-23
28.297185082546395,21-14-03
26.773489021953296,21-14-39
26.97372426656363,21-15-18
28.323761758105693,21-15-57
30.935557486634913,21-16-34
25.1468893705961,21-17-22
25.908389961902486,21-18-05
