Completion time in Tokens per second,time of the call in H-M-S
23.887119352685826,15-46-33
22.81173348911634,15-47-18
23.90458913528765,15-47-55
23.156397637048304,15-48-35
23.77565667864608,15-49-18
24.589009006390672,15-50-07
23.344874316615353,15-50-49
24.31453053064015,15-51-28
22.776690639307944,15-52-15
25.214335777690494,15-52-54
25.1189151624473,15-53-30
24.692341427955355,15-54-18
21.699363304251143,15-54-58
24.115765709287583,15-55-45
24.318292781022127,15-56-32
24.508636711607924,15-57-26
24.76763091995875,15-58-06
25.522039304880156,15-58-44
23.91190439407872,15-59-31
24.837057439937112,16-00-21
24.802275522829753,16-01-05
25.028489443749542,16-01-58
24.498154298953388,16-02-41
24.982785150425688,16-03-25
23.904726952773725,16-04-10
24.03669535714956,16-04-50
24.583147597431157,16-05-25
23.607845149251645,16-06-13
24.43966648964657,16-06-45
25.16757214795035,16-07-19
25.35612173432723,16-08-03
25.015333286333316,16-08-54
22.921809217005926,16-09-39
24.4088775695019,16-10-18
24.446695555272246,16-10-58
25.08328187080017,16-11-38
24.739816342888115,16-12-25
24.12959343303245,16-13-04
24.490476471904763,16-13-45
24.605909149345692,16-14-26
24.586929179987777,16-15-02
1.5641257131627704,16-15-51
24.06107632980952,16-16-31
23.89318580059765,16-17-21
24.985929183814825,16-18-08
4.727079131897239,16-29-04
24.706526729991268,16-29-45
24.306971596117062,16-30-22
24.681679077300906,16-30-59
24.74009403008597,16-31-39
24.414608643445877,16-32-13
24.487868165285857,16-32-54
24.52957742897346,16-33-41
24.407247889706355,16-34-16
25.602697212303596,16-34-54
24.62907870499691,16-35-41
24.42969100641009,16-36-23
24.862830732103504,16-37-11
24.874414883282814,16-37-50
24.997972613406073,16-38-33
20.85564452805308,16-39-22
23.79808449147088,16-40-05
25.40126545288734,16-40-47
24.70773355209188,16-41-29
23.982670807293683,16-42-03
25.79871063421372,16-42-35
23.619696673314884,16-43-17
24.24251251315969,16-43-53
23.798906874699494,16-44-36
24.64181359059418,16-45-17
22.364856056346365,16-45-59
24.19882896914203,16-46-40
25.866261295423282,16-47-18
25.104299305362222,16-57-58
24.077765881983925,16-58-43
26.891400838532316,16-59-15
25.540638529299127,17-00-00
24.301780539994343,17-00-45
25.13706024084911,17-01-39
24.74409760398709,17-02-21
22.975530294386328,17-02-56
24.88345509978522,17-03-39
24.826520045146843,17-04-32
25.777734996559523,17-05-14
24.82858829315862,17-06-02
25.022344791064658,17-06-50
24.31131626435571,17-07-26
24.42302525028827,17-08-07
20.72161831019787,17-08-45
25.33817824560458,17-09-26
24.70927653998702,17-10-11
25.65478736494966,17-10-52
25.07859281989545,17-11-25
25.391862523909655,17-12-03
22.74396447110756,17-12-47
24.684499820147327,17-13-32
25.677832996319907,17-14-16
24.013718890580765,17-14-53
24.23984064466229,17-15-30
24.53933153231743,17-16-12
