lemma,shannon
der,1.873680619921239
stammen,1.0986122886681096
er,0.6730116670092565
ein,1.482887104712697
werden,1.4868952268881837
stellen,0.6931471805599453
dies,1.2406842919533958
solch,0.6931471805599453
können,1.559581156259877
liegen,0.6931471805599453
sein,1.9371061758293182
unbekannt,1.0397207708399179
früh,0.6931471805599453
literarisch,0.6365141682948128
ähnlich,0.6365141682948128
geben,0.6931471805599453
wenig,0.6931471805599453
existieren,0.6931471805599453
umstritten,0.6931471805599453
erstellen,0.6931471805599453
zuschreiben,0.6365141682948128
haben,0.6365141682948128
bekannt,0.6931471805599453
antik,0.6931471805599453
ander,0.6931471805599453
