lemma,shannon
der,1.6874609845369373
wachsend,0.6931471805599453
haben,1.0549201679861442
ein,1.364719375140803
bleiben,0.37677016125643675
sein,1.310783678099714
können,1.5607104090414063
ihr,1.0986122886681096
verschieden,0.6931471805599453
geben,0.6931471805599453
knapp,0.6931471805599453
jung,0.6931471805599453
werden,1.5498260458782016
illegal,0.6931471805599453
dies,1.0397207708399179
halten,0.6931471805599453
zeigen,0.6365141682948128
er,0.6931471805599453
sehen,0.6931471805599453
einige,0.6365141682948128
neu,0.6931471805599453
legal,0.6931471805599453
aktuell,0.6931471805599453
