system,file,shannon,simpson
human,1,88.42,46.05
human,10,88.99,44.97
human,11,84.36,46.39
human,12,81.14,47.74
human,13,86.22,45.02
human,14,83.2,47.54
human,15,86.64,45.22
human,16,88.46,45.12
human,17,80.46,48.83
human,18,84.36,47.02
human,19,85.07,47.47
human,2,84.27,46.93
human,20,87.35,45.12
human,21,95.39,43.04
human,22,87.49,46.84
human,23,82.81,49.07
human,24,97.08,42.92
human,25,88.44,44.83
human,26,92.56,43.4
human,27,98.84,40.58
human,28,83.06,46.88
human,29,85.37,46.2
human,3,89.64,44.11
human,30,82.21,47.39
human,31,93.54,43.29
human,32,79.27,48.19
human,33,79.45,48.62
human,34,80.14,48.77
human,35,97.66,44.68
human,36,82.95,46.41
human,37,83.66,47.03
human,38,84.32,47.11
human,39,92.12,43.22
human,4,84.82,46.4
human,40,85.95,45.62
human,41,88.48,45.45
human,42,89.66,43.69
human,43,78.4,48.81
human,44,95.29,41.92
human,45,96.55,42.39
human,46,92.83,43.31
human,47,83.74,47.04
human,48,97.58,42.09
human,49,82.53,48.89
human,5,85.98,45.53
human,50,87.97,44.78
human,51,81.31,47.13
human,52,85.49,48.01
human,53,75.68,51.19
human,54,91.2,44.2
human,55,88.54,44.77
human,56,86.11,45.56
human,57,83.25,45.9
human,58,85.99,46.43
human,59,90.13,44.08
human,6,81.57,47.25
human,60,88.68,44.91
human,61,92.24,43.06
human,62,81.57,47.73
human,63,88.55,44.18
human,64,76.26,49.5
human,65,86.26,45.47
human,66,79.37,47.84
human,67,84.94,47.04
human,68,88.1,45.19
human,69,84.93,45.82
human,7,97.75,40.92
human,70,83.32,46.32
human,71,80.17,49.6
human,72,94.3,42.2
human,73,86.9,45.79
human,74,85.84,46.26
human,75,86.71,45.91
human,76,82.51,47.41
human,77,81.14,49.07
human,78,84.14,47.08
human,79,90.05,44.3
human,8,82.8,49.17
human,80,79.47,49.18
human,81,86.92,45.37
human,82,94.57,43.56
human,83,86.01,46.09
human,84,77.68,50.19
human,85,92.87,44.59
human,86,87.59,47.0
human,87,81.81,47.72
human,88,86.13,45.62
human,89,92.43,43.8
human,9,91.46,45.61
human,90,88.05,47.05
human,91,94.21,41.35
human,92,83.71,47.45
human,93,79.24,50.11
human,94,86.89,45.34
human,95,90.78,43.37
human,96,93.13,42.02
continue,1,89.31,45.92
continue,10,87.54,45.87
continue,11,86.96,47.09
continue,12,87.26,44.87
continue,13,78.17,48.99
continue,14,79.7,49.56
continue,15,78.55,50.71
continue,16,75.8,50.28
continue,17,79.99,47.69
continue,18,79.93,48.38
continue,19,79.83,49.3
continue,2,81.64,48.2
continue,20,75.14,50.24
continue,21,92.11,42.98
continue,22,86.53,45.97
continue,23,79.19,49.28
continue,24,74.39,51.84
continue,25,86.65,47.07
continue,26,84.2,46.75
continue,27,84.16,47.13
continue,28,78.81,48.66
continue,29,81.07,49.7
continue,3,80.04,48.85
continue,30,84.76,49.87
continue,31,74.73,52.73
continue,32,80.39,49.28
continue,33,83.58,47.59
continue,34,84.68,46.82
continue,35,94.08,44.07
continue,36,103.46,39.84
continue,37,87.99,46.24
continue,38,86.23,46.21
continue,39,85.36,46.39
continue,4,73.03,52.22
continue,40,97.7,41.15
continue,41,73.78,51.82
continue,42,80.36,49.36
continue,43,84.6,45.68
continue,44,83.78,47.26
continue,45,83.22,48.24
continue,46,79.78,48.33
continue,47,74.89,52.78
continue,48,89.85,43.62
continue,49,80.69,48.92
continue,5,86.46,46.29
continue,50,79.6,48.89
continue,51,87.16,47.88
continue,52,83.24,47.35
continue,53,82.65,48.53
continue,54,90.82,44.84
continue,55,73.01,53.09
continue,56,78.44,50.06
continue,57,87.02,45.1
continue,58,80.63,48.57
continue,59,77.04,49.47
continue,6,79.68,50.17
continue,60,86.82,45.58
continue,61,81.93,48.04
continue,62,94.0,42.73
continue,63,77.64,49.28
continue,64,80.47,50.37
continue,65,91.89,44.13
continue,66,76.06,50.91
continue,67,79.59,49.13
continue,68,75.32,50.96
continue,69,93.56,42.54
continue,7,80.17,49.25
continue,70,71.14,54.61
continue,71,86.47,47.53
continue,72,88.18,46.05
continue,73,74.99,51.73
continue,74,79.8,49.32
continue,75,84.03,48.27
continue,76,80.48,49.62
continue,77,86.99,46.04
continue,78,82.0,49.06
continue,79,76.18,50.87
continue,8,78.73,49.94
continue,80,76.16,50.41
continue,81,86.65,45.88
continue,82,78.6,50.15
continue,83,85.13,46.87
continue,84,93.36,42.89
continue,85,79.3,48.83
continue,86,106.9,38.44
continue,87,82.6,46.7
continue,88,77.21,50.74
continue,89,95.86,43.02
continue,9,82.3,47.37
continue,90,77.34,50.26
continue,91,69.53,53.65
continue,92,76.57,50.12
continue,93,76.32,50.63
continue,94,76.78,52.08
continue,95,80.03,48.71
continue,96,81.08,47.66
explain,1,99.13,41.07
explain,10,88.24,45.69
explain,11,87.58,46.08
explain,12,80.68,48.71
explain,13,89.06,44.89
explain,14,82.21,47.27
explain,15,79.84,48.4
explain,16,80.22,49.54
explain,17,75.43,50.21
explain,18,94.67,43.0
explain,19,80.09,47.68
explain,2,75.97,50.34
explain,20,87.32,45.45
explain,21,85.27,47.26
explain,22,91.18,44.63
explain,23,87.2,45.42
explain,24,79.46,48.95
explain,25,92.92,43.78
explain,26,79.97,48.69
explain,27,87.95,46.21
explain,28,77.85,49.24
explain,29,89.84,44.6
explain,3,75.9,49.75
explain,30,82.12,47.99
explain,31,92.23,44.02
explain,32,85.35,46.6
explain,33,84.59,46.74
explain,34,96.44,42.45
explain,35,89.97,44.27
explain,36,79.69,48.15
explain,37,83.1,46.11
explain,38,89.14,46.09
explain,39,88.67,45.41
explain,4,88.12,46.23
explain,40,94.34,42.85
explain,41,83.35,47.87
explain,42,87.0,45.64
explain,43,83.5,47.82
explain,44,81.4,48.94
explain,45,90.23,43.9
explain,46,79.77,48.55
explain,47,76.81,50.99
explain,48,87.67,45.77
explain,49,90.98,44.99
explain,5,86.87,46.64
explain,50,83.59,46.88
explain,51,89.59,44.67
explain,52,83.74,47.76
explain,53,84.68,46.81
explain,54,84.74,47.16
explain,55,92.72,43.57
explain,56,84.1,45.84
explain,57,79.76,47.4
explain,58,86.09,45.79
explain,59,85.92,45.66
explain,6,86.43,46.54
explain,60,88.72,45.64
explain,61,84.61,46.29
explain,62,85.29,46.78
explain,63,79.82,48.71
explain,64,82.43,48.47
explain,65,86.26,46.51
explain,66,79.61,49.32
explain,67,94.63,44.74
explain,68,81.05,47.78
explain,69,86.68,46.0
explain,7,90.77,45.13
explain,70,82.95,47.62
explain,71,96.38,42.67
explain,72,85.51,47.61
explain,73,79.71,49.16
explain,74,85.94,48.23
explain,75,86.8,45.41
explain,76,86.04,46.69
explain,77,84.39,48.76
explain,78,89.15,45.34
explain,79,81.59,47.71
explain,8,82.33,48.43
explain,80,84.63,46.67
explain,81,82.55,46.77
explain,82,81.1,47.72
explain,83,78.53,48.32
explain,84,79.21,48.48
explain,85,84.08,46.74
explain,86,88.8,47.16
explain,87,81.92,46.86
explain,88,84.25,46.75
explain,89,81.87,48.01
explain,9,81.91,48.74
explain,90,84.39,46.64
explain,91,84.09,47.56
explain,92,80.78,48.52
explain,93,78.71,49.69
explain,94,92.32,43.93
explain,95,82.93,47.27
explain,96,84.82,46.63
create,1,89.52,43.83
create,10,91.68,45.02
create,11,82.26,48.87
create,12,85.04,46.81
create,13,76.47,50.07
create,14,77.7,49.69
create,15,84.57,46.36
create,16,77.76,49.04
create,17,82.45,46.87
create,18,92.97,43.66
create,19,88.89,45.22
create,2,86.67,45.92
create,20,81.23,48.58
create,21,77.14,50.0
create,22,59.41,59.16
create,23,82.93,47.55
create,24,78.71,49.7
create,25,78.95,49.44
create,26,81.99,47.76
create,27,75.36,51.85
create,28,77.72,50.09
create,29,85.68,46.04
create,3,85.56,46.52
create,30,81.96,47.73
create,31,77.54,50.53
create,32,81.61,48.19
create,33,90.1,44.51
create,34,80.52,48.33
create,35,79.14,49.41
create,36,84.67,46.4
create,37,80.48,49.83
create,38,81.19,48.17
create,39,79.08,49.27
create,4,77.26,49.47
create,40,86.04,45.43
create,41,81.19,48.33
create,42,78.51,49.39
create,43,83.6,46.5
create,44,82.72,47.97
create,45,80.06,49.7
create,46,97.56,41.24
create,47,45.06,72.22
create,48,83.94,46.54
create,49,95.02,41.64
create,5,67.43,51.85
create,50,87.93,44.57
create,51,82.29,47.98
create,52,80.51,48.48
create,53,73.51,51.54
create,54,84.41,46.92
create,55,78.63,48.67
create,56,82.73,48.3
create,57,87.61,45.89
create,58,88.75,45.38
create,59,79.89,49.64
create,6,75.65,51.18
create,60,89.08,44.79
create,61,79.71,48.9
create,62,81.57,47.82
create,63,80.9,48.41
create,64,83.23,48.13
create,65,82.99,47.1
create,66,87.6,44.87
create,67,78.66,50.16
create,68,82.71,47.18
create,69,83.43,48.52
create,7,80.07,48.53
create,70,85.67,46.3
create,71,92.86,43.16
create,72,84.97,46.49
create,73,80.78,48.91
create,74,87.46,45.62
create,75,79.55,48.52
create,76,79.22,49.36
create,77,83.57,47.38
create,78,78.64,50.33
create,79,81.97,47.68
create,8,80.28,48.1
create,80,77.54,50.14
create,81,87.46,44.99
create,82,84.46,47.43
create,83,77.79,50.24
create,84,78.78,48.87
create,85,88.78,45.24
create,86,88.75,45.11
create,87,83.35,48.27
create,88,80.22,48.62
create,89,82.17,47.88
create,9,83.91,47.6
create,90,88.94,46.38
create,91,81.0,47.92
create,92,79.84,48.35
create,93,79.76,50.45
create,94,62.49,56.55
create,95,87.01,46.61
create,96,84.0,47.76
