connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
if,43,143,10,60,12,92,10,29
now that,0,2,0,0,0,0,0,1
since,8,47,7,28,3,57,4,11
nonetheless,2,2,6,8,2,2,2,3
then,12,74,0,15,2,42,0,7
still,5,68,1,36,0,70,0,20
even though,1,2,0,0,1,4,0,1
while,22,76,71,209,57,250,64,201
later,2,29,0,9,1,22,0,9
but,173,384,36,213,0,207,9,167
until,2,27,5,21,0,22,6,24
yet,4,27,1,20,0,17,2,39
after,27,132,4,44,7,97,5,55
instead,8,16,12,35,11,35,0,5
also,6,127,0,196,0,302,0,162
finally,2,7,8,20,7,8,1,5
as soon as,0,3,0,1,0,0,0,1
although,5,11,5,6,18,29,8,10
as a result,0,3,4,4,3,4,0,1
so that,0,6,0,8,0,3,0,1
for example,2,9,1,1,8,10,0,0
therefore,0,9,2,3,5,6,0,0
nevertheless,0,1,3,3,3,3,2,2
indeed,10,16,2,10,0,3,3,8
because,3,85,0,14,0,32,0,5
thus,1,2,2,4,0,1,1,5
on the other hand,0,0,11,12,7,7,0,0
when,38,168,7,86,8,113,4,81
previously,0,4,0,5,2,10,1,10
even if,1,8,0,3,0,3,0,0
moreover,0,0,28,28,4,4,4,4
in fact,4,8,1,1,3,3,0,0
just as,1,8,1,5,0,0,7,11
as long as,3,6,1,1,0,3,0,0
for instance,0,4,1,1,2,2,1,1
in turn,0,1,1,1,0,0,0,0
before,3,69,2,44,1,67,1,68
otherwise,1,6,0,2,0,2,0,5
as,48,482,146,662,16,683,207,764
once,4,24,3,37,2,11,2,41
as if,0,4,0,1,0,2,0,1
though,5,21,1,2,2,8,2,8
however,16,30,88,99,143,155,54,63
unless,2,7,0,1,0,4,0,4
meanwhile,6,13,6,6,4,4,7,7
in addition,10,11,15,15,24,24,5,5
separately,0,1,0,0,0,0,0,0
