connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
als,32,282,41,439,25,489,12,303
zu dem beispiel,1,12,3,22,4,13,1,4
sodass,0,4,0,4,0,2,0,2
zusätzlich,0,5,4,7,11,18,3,6
indem,0,2,18,29,0,10,7,18
dadurch,2,8,10,16,11,22,2,8
später,3,25,0,9,2,22,0,6
zunächst,2,9,1,14,3,21,0,8
zugleich,0,3,0,7,0,1,0,2
beziehungsweise,1,5,0,0,0,1,0,1
"nur , dass",0,1,0,0,0,0,0,1
worauf,0,2,0,0,0,0,0,0
allein,2,8,1,9,1,5,1,3
infolgedessen,0,0,0,0,3,4,1,1
weshalb,2,9,0,2,0,3,0,1
aus diesem grund,2,2,4,4,2,2,0,1
während,11,41,39,120,22,142,41,139
warum,16,19,2,10,5,20,2,3
wie,53,242,20,418,0,316,13,349
währenddessen,0,0,3,4,1,3,13,13
wonach,0,2,0,0,0,0,0,0
daraufhin,0,3,0,3,3,11,0,3
ebenso wenig,1,1,0,0,0,0,0,0
aufgrund,5,21,8,33,18,109,16,32
dagegen,0,13,1,3,0,7,0,1
womit,1,1,0,0,0,0,0,0
wegen,3,54,2,18,1,39,1,17
ob,18,47,6,104,2,77,10,87
ohnehin,3,9,0,3,0,1,0,1
andererseits,2,4,3,4,1,4,0,0
weder,0,5,0,1,0,3,0,5
infolge,0,0,1,4,0,3,0,0
dann,7,79,1,21,2,26,0,19
soweit,0,3,0,2,0,0,0,3
zudem,19,36,28,38,20,27,9,20
außer,0,0,1,4,0,1,0,11
somit,0,5,0,46,0,24,0,18
wenn auch,0,1,0,2,0,1,0,1
vorher,0,3,0,1,0,0,0,0
deshalb,16,36,3,6,1,5,1,1
dafür,7,35,3,71,0,39,1,51
wenn,35,126,24,68,17,73,9,37
inwiefern,0,0,0,1,0,0,0,1
statt,2,18,6,13,1,10,3,29
weswegen,0,1,0,0,0,0,0,0
danach,4,16,0,1,2,8,0,0
inzwischen,4,14,3,4,0,2,10,10
daher,6,13,11,57,11,37,3,23
unterdessen,1,1,1,2,1,1,5,5
darauf,2,26,0,85,0,144,0,119
darüber hinaus,1,1,34,37,22,24,11,13
des weiteren,0,1,3,3,7,7,1,1
falls,4,7,0,1,5,5,4,6
entgegen,1,2,0,1,0,0,0,1
wenngleich,0,0,0,0,1,2,0,0
denn,20,41,19,36,3,8,7,21
hingegen,0,11,0,29,1,19,0,5
ausserdem,14,20,0,0,0,0,0,0
dabei,16,43,24,96,9,53,16,72
gleichwohl,0,1,0,0,0,0,0,0
allenfalls,1,3,0,0,0,0,0,0
ausser,1,4,0,0,0,0,0,0
inwieweit,0,0,1,1,0,0,0,0
sobald,3,4,0,1,2,3,1,3
aber,51,248,29,103,4,102,16,82
doch,35,67,115,151,10,23,81,109
also,3,33,3,21,0,27,6,18
vielmehr,2,2,7,14,3,8,0,1
weil,11,48,0,7,1,10,0,2
auch wenn,5,12,3,12,0,0,4,5
obwohl,7,19,26,34,63,79,26,28
bevor,3,10,2,16,0,13,0,13
zuvor,2,11,0,11,0,13,0,8
insofern,1,2,0,0,0,0,0,0
sonst,0,5,0,2,0,3,0,6
so,52,267,8,108,3,40,9,125
woraufhin,0,0,0,0,0,1,0,0
andernfalls,0,0,1,1,0,0,0,0
zwar,11,38,0,24,0,14,0,8
ansonsten,1,1,0,1,0,1,0,1
beispielsweise,2,15,2,39,0,19,0,10
folglich,1,1,0,0,0,0,0,0
außerdem,0,0,11,15,10,25,7,15
dennoch,4,7,28,36,21,30,20,20
seither,0,4,0,0,0,0,0,1
nämlich,0,7,0,1,0,5,0,0
sondern,1,25,0,116,0,42,0,125
sofern,0,2,0,2,0,0,0,0
anstatt,2,3,4,6,1,6,2,4
trotz,4,12,25,42,20,49,25,36
deswegen,0,3,0,0,0,0,0,0
seit,13,57,4,15,4,47,5,30
soeben,0,1,0,0,0,0,0,0
zumal,2,4,0,0,0,0,0,0
da,22,52,7,54,14,121,4,56
ebenfalls,2,19,2,41,0,80,0,38
trotzdem,5,12,5,9,13,18,10,10
darum,3,19,1,36,0,12,0,9
weiterhin,2,16,1,84,2,62,0,89
seitdem,1,1,2,7,2,4,2,4
allerdings,14,32,17,26,43,53,5,9
nachdem,10,14,9,14,10,16,3,9
