connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
if,53,135,4,48,11,49,1,25
by contrast,6,7,0,0,0,0,0,0
now that,0,3,0,0,0,2,0,0
since,28,88,0,13,6,80,3,22
nonetheless,3,8,6,6,3,4,4,4
then,3,63,0,8,0,29,0,5
still,4,109,0,45,1,67,0,20
even though,3,11,0,1,0,3,0,0
while,38,92,58,247,63,240,89,297
later,1,18,0,7,0,9,0,8
but,134,334,26,178,1,176,22,175
until,2,24,0,5,0,14,1,6
yet,10,35,6,21,0,8,4,20
after,24,80,5,26,4,36,6,29
instead,0,12,10,18,6,34,6,16
also,9,273,0,257,0,321,0,175
finally,8,21,5,7,3,6,0,2
although,25,38,6,11,16,30,4,5
as soon as,2,4,0,0,0,0,0,0
as a result,19,31,12,13,10,14,2,3
so that,0,12,0,6,0,1,0,1
for example,18,66,9,12,10,11,2,5
therefore,7,41,5,10,12,18,1,1
nevertheless,6,12,6,6,7,7,9,9
indeed,6,12,0,4,0,2,9,13
because,11,86,0,14,0,25,2,9
on the other hand,7,14,8,8,13,14,2,2
thus,7,38,2,5,1,6,0,5
when,23,120,12,102,10,100,7,64
previously,1,3,0,12,2,10,1,10
even if,5,16,0,0,0,4,0,1
moreover,10,11,58,58,14,14,25,25
in fact,6,12,5,6,5,5,2,2
just as,1,12,0,1,1,3,1,3
as long as,1,2,2,2,0,0,0,0
for instance,2,13,7,7,5,6,5,7
in turn,0,7,0,2,0,1,0,1
before,3,45,1,28,0,44,0,35
otherwise,1,9,0,1,0,1,0,5
as,79,687,116,684,41,774,188,707
once,4,34,3,18,1,14,1,32
as if,0,1,0,2,0,0,0,1
though,5,41,0,4,1,5,2,2
however,73,113,116,124,157,181,88,99
meanwhile,4,8,0,1,1,2,3,3
unless,0,1,0,0,0,2,0,1
in addition,23,29,27,30,17,18,8,9
separately,0,0,0,0,0,1,0,0
