system,file,TTR,Yules,MTLD
continue,1.txt,69.98,14032.16,269.53
continue,10.txt,75.1,21882.89,483.81
continue,100.txt,75.89,24015.64,514.49
continue,11.txt,75.74,27111.99,564.9
continue,12.txt,69.87,14132.94,304.96
continue,13.txt,71.92,18305.34,325.75
continue,14.txt,68.73,13146.89,264.95
continue,15.txt,71.64,15088.34,304.28
continue,16.txt,75.14,21808.91,440.82
continue,17.txt,74.76,24756.87,539.01
continue,18.txt,73.48,20753.09,433.89
continue,19.txt,66.07,11780.75,283.95
continue,2.txt,76.67,26634.45,629.67
continue,20.txt,68.82,19242.38,433.88
continue,21.txt,68.41,12813.65,282.85
continue,22.txt,70.98,21048.01,402.85
continue,23.txt,67.25,11992.76,221.09
continue,24.txt,72.39,16587.32,349.66
continue,25.txt,62.19,10672.09,288.78
continue,26.txt,73.01,22603.1,461.61
continue,27.txt,77.2,24915.72,536.14
continue,28.txt,75.36,20975.03,441.74
continue,29.txt,77.99,22923.6,499.72
continue,3.txt,72.3,16570.89,351.45
continue,30.txt,73.56,21247.26,383.74
continue,31.txt,74.38,20069.1,349.01
continue,32.txt,70.17,17056.0,433.39
continue,33.txt,70.88,17116.46,321.87
continue,34.txt,69.56,13352.56,297.6
continue,35.txt,72.22,17297.13,343.69
continue,36.txt,72.64,16960.5,375.85
continue,37.txt,70.54,17802.87,413.84
continue,38.txt,75.79,20786.89,372.27
continue,39.txt,71.63,19587.94,268.79
continue,4.txt,66.78,11966.83,296.92
continue,40.txt,73.94,22343.53,504.73
continue,41.txt,73.09,19517.39,335.23
continue,42.txt,67.15,17895.98,443.74
continue,43.txt,65.04,13955.64,324.67
continue,44.txt,69.54,14307.17,278.41
continue,45.txt,69.39,15356.46,356.6
continue,46.txt,74.76,18120.42,373.86
continue,47.txt,71.35,14513.11,318.32
continue,48.txt,72.05,16230.62,338.34
continue,49.txt,76.19,24784.06,528.45
continue,5.txt,72.02,15233.41,319.8
continue,50.txt,75.23,22808.68,564.0
continue,51.txt,68.42,18854.44,392.84
continue,52.txt,69.7,14437.53,316.7
continue,53.txt,76.81,27625.53,570.64
continue,54.txt,66.21,13807.28,387.88
continue,55.txt,66.58,14058.74,394.5
continue,56.txt,67.81,12762.94,290.8
continue,57.txt,75.0,19864.44,503.22
continue,58.txt,71.24,14274.54,282.96
continue,59.txt,73.47,17410.71,350.04
continue,6.txt,67.15,16831.84,459.39
continue,60.txt,70.02,15544.96,334.75
continue,61.txt,76.61,28450.66,589.83
continue,62.txt,74.02,19925.79,327.73
continue,63.txt,68.38,13232.14,294.21
continue,64.txt,72.02,14546.08,318.44
continue,65.txt,73.62,21513.38,421.31
continue,66.txt,75.31,24754.33,502.27
continue,67.txt,74.36,22688.85,517.33
continue,68.txt,75.61,22970.24,546.31
continue,69.txt,69.37,18688.12,467.43
continue,7.txt,75.1,19304.52,367.98
continue,70.txt,67.43,15837.94,438.34
continue,71.txt,70.38,14816.72,210.91
continue,72.txt,75.7,27428.93,550.98
continue,73.txt,68.55,14697.93,336.2
continue,74.txt,70.01,19848.16,445.24
continue,75.txt,68.24,21401.92,402.72
continue,76.txt,75.75,23918.85,410.63
continue,77.txt,72.69,19000.53,307.18
continue,78.txt,67.26,14540.98,338.89
continue,79.txt,68.52,21352.93,458.24
continue,8.txt,71.81,18540.89,407.37
continue,80.txt,78.26,32036.64,598.1
continue,81.txt,60.62,11485.52,316.39
continue,82.txt,76.23,24558.56,479.39
continue,83.txt,72.49,19283.22,372.59
continue,84.txt,72.71,17324.45,434.69
continue,85.txt,77.37,32010.21,556.67
continue,86.txt,63.15,11932.8,322.59
continue,87.txt,69.0,21763.16,424.93
continue,88.txt,73.45,16721.89,331.22
continue,89.txt,76.4,22244.51,540.11
continue,9.txt,71.51,17037.27,316.88
continue,90.txt,70.98,19670.17,329.27
continue,91.txt,65.79,14705.86,318.88
continue,92.txt,68.65,19474.83,422.33
continue,93.txt,74.05,20834.04,433.8
continue,94.txt,76.52,23465.77,577.05
continue,95.txt,66.3,15781.07,345.98
continue,96.txt,72.16,18024.92,344.72
continue,97.txt,70.51,20311.86,412.04
continue,98.txt,70.97,14785.27,291.16
continue,99.txt,67.95,13181.28,268.63
create,1.txt,68.4,16789.72,435.51
