system,file,TTR,Yules,MTLD
continue,1.txt,58.83,8555.6,195.66
continue,10.txt,57.18,6561.68,194.99
continue,100.txt,59.17,7438.44,232.81
continue,11.txt,62.5,9823.58,262.58
continue,12.txt,57.59,6939.11,254.52
continue,13.txt,61.58,8463.76,260.71
continue,14.txt,63.03,8148.58,244.66
continue,15.txt,62.38,7832.67,227.27
continue,16.txt,58.72,7648.36,208.51
continue,17.txt,60.6,8225.02,241.0
continue,18.txt,63.19,8007.66,248.15
continue,19.txt,63.32,10675.43,274.48
continue,2.txt,61.92,8977.32,231.55
continue,20.txt,67.49,12324.66,319.55
continue,21.txt,61.15,7812.82,258.28
continue,22.txt,65.23,10058.51,283.07
continue,23.txt,65.31,9894.57,289.44
continue,24.txt,60.67,8369.68,260.95
continue,25.txt,63.31,9555.85,246.35
continue,26.txt,57.89,6893.94,228.72
continue,27.txt,62.09,9012.65,238.45
continue,28.txt,64.24,10111.14,287.95
continue,29.txt,54.59,7062.4,228.59
continue,3.txt,62.6,9488.82,268.48
continue,30.txt,60.64,8818.32,229.44
continue,31.txt,64.05,10781.32,258.23
continue,32.txt,56.37,6029.83,209.49
continue,33.txt,62.01,7711.83,214.03
continue,34.txt,60.08,9005.46,261.68
continue,35.txt,64.06,10805.53,282.3
continue,36.txt,57.71,6978.68,225.81
continue,37.txt,59.15,8556.75,234.25
continue,38.txt,63.11,9379.22,259.05
continue,39.txt,59.7,7409.69,236.67
continue,4.txt,58.46,7072.65,227.03
continue,40.txt,60.83,7785.88,251.72
continue,41.txt,58.76,6859.59,177.84
continue,42.txt,60.88,7385.58,233.49
continue,43.txt,62.85,8211.68,252.06
continue,44.txt,63.03,9156.4,264.19
continue,45.txt,69.91,18791.79,364.23
continue,46.txt,63.73,8526.75,336.5
continue,47.txt,62.07,9748.29,245.28
continue,48.txt,59.83,8513.51,245.22
continue,49.txt,61.69,8057.85,225.27
continue,5.txt,61.31,7452.47,242.17
continue,50.txt,61.37,7858.28,249.06
continue,51.txt,59.95,7844.58,231.65
continue,52.txt,61.33,9065.84,271.36
continue,53.txt,61.25,7417.53,224.91
continue,54.txt,58.99,7422.24,234.92
continue,55.txt,62.35,9466.95,227.58
continue,56.txt,60.57,7963.69,231.85
continue,57.txt,56.4,6373.58,172.44
continue,58.txt,66.46,9976.69,245.79
continue,59.txt,60.98,8069.83,248.48
continue,6.txt,62.54,8210.24,220.59
continue,60.txt,61.15,7616.53,216.85
continue,61.txt,64.89,10629.68,281.99
continue,62.txt,58.19,7067.0,203.75
continue,63.txt,65.65,10627.08,293.98
continue,64.txt,60.46,7736.06,235.82
continue,65.txt,57.12,6978.15,230.59
continue,66.txt,57.94,7682.96,203.9
continue,67.txt,58.66,6721.91,200.58
continue,68.txt,62.19,9743.89,229.0
continue,69.txt,58.89,7202.92,221.39
continue,7.txt,58.94,8000.18,235.13
continue,70.txt,62.37,8140.05,239.39
continue,71.txt,55.34,6110.15,204.72
continue,72.txt,62.86,9092.98,244.63
continue,73.txt,58.36,6159.07,211.68
continue,74.txt,59.58,9033.26,222.99
continue,75.txt,63.72,9234.88,254.7
continue,76.txt,65.37,9319.79,219.62
continue,77.txt,58.82,8677.69,251.14
continue,78.txt,62.76,10356.96,246.87
continue,79.txt,58.67,8991.09,215.5
continue,8.txt,60.39,8357.37,245.33
continue,80.txt,59.8,7979.39,231.67
continue,81.txt,59.68,9143.02,257.77
continue,82.txt,63.0,9437.06,249.7
continue,83.txt,61.3,9152.94,252.95
continue,84.txt,57.68,7383.05,176.87
continue,85.txt,54.9,6532.58,230.22
continue,86.txt,61.42,8176.78,206.27
continue,87.txt,60.44,8998.69,284.75
continue,88.txt,61.24,8092.58,240.64
continue,89.txt,63.62,9736.47,292.47
continue,9.txt,58.21,6863.72,225.75
continue,90.txt,60.98,8804.35,241.67
continue,91.txt,65.11,11366.94,305.5
continue,92.txt,64.47,9185.79,282.32
continue,93.txt,60.32,8133.4,243.07
continue,94.txt,56.04,7019.06,221.94
continue,95.txt,60.0,8013.32,244.51
continue,96.txt,60.88,7633.41,236.6
continue,97.txt,63.2,8196.75,273.34
continue,98.txt,57.7,7272.98,236.05
continue,99.txt,60.27,9000.04,252.67
create,1.txt,62.52,9175.67,270.8
create,10.txt,64.06,11808.0,252.82
create,100.txt,63.0,10089.66,278.34
create,11.txt,63.99,10722.14,283.52
create,12.txt,59.04,8942.2,274.81
create,13.txt,63.0,9704.3,264.18
create,14.txt,66.4,11787.26,308.08
create,15.txt,60.82,8565.29,260.75
create,16.txt,60.94,10321.66,278.98
create,17.txt,64.35,11426.34,353.5
create,18.txt,64.91,9631.97,263.25
create,19.txt,62.21,10009.7,267.0
create,2.txt,64.75,9682.05,225.63
create,20.txt,64.22,11231.12,369.52
create,21.txt,65.68,10563.78,319.76
create,22.txt,61.61,8571.47,256.48
create,23.txt,64.32,9783.94,252.77
create,24.txt,60.18,9032.26,239.29
create,25.txt,64.53,10772.13,300.65
create,26.txt,62.9,9180.4,259.42
create,27.txt,63.37,10224.02,286.96
create,28.txt,62.26,8964.06,240.99
create,29.txt,63.06,10296.56,248.98
create,3.txt,64.14,10917.53,319.41
create,30.txt,61.1,8655.92,223.64
create,31.txt,61.65,8662.34,239.42
create,32.txt,59.57,8383.63,271.48
create,33.txt,65.21,11395.71,329.07
create,34.txt,62.38,10948.97,306.15
create,35.txt,62.16,9014.06,249.0
create,36.txt,61.02,9223.97,280.58
create,37.txt,61.36,9620.38,258.82
create,38.txt,63.64,10385.32,263.43
create,39.txt,67.13,12724.39,309.85
create,4.txt,62.07,8720.51,222.63
create,40.txt,60.15,8010.57,227.04
create,41.txt,61.19,8783.16,280.09
create,42.txt,63.83,10258.7,281.04
create,43.txt,62.84,9473.78,268.19
create,44.txt,61.17,7612.86,239.61
create,45.txt,65.13,11328.53,261.46
create,46.txt,61.88,7682.47,227.64
create,47.txt,65.58,11510.87,292.31
create,48.txt,62.22,9854.74,283.47
create,49.txt,59.89,8171.99,251.21
create,5.txt,61.86,9537.39,267.06
create,50.txt,63.89,10238.81,286.73
create,51.txt,65.1,11472.8,269.02
create,52.txt,64.55,10865.76,298.48
create,53.txt,63.18,9535.73,251.48
create,54.txt,62.17,9650.64,262.27
create,55.txt,62.75,10208.75,266.93
create,56.txt,62.43,9008.11,251.17
create,57.txt,60.95,8449.96,242.95
create,58.txt,62.51,11570.45,270.04
create,59.txt,62.96,10141.06,281.52
create,6.txt,60.53,9524.77,262.09
create,60.txt,64.04,10031.34,272.97
create,61.txt,62.16,8600.96,229.71
create,62.txt,65.17,11412.73,305.32
create,63.txt,67.0,12363.32,370.03
create,64.txt,67.16,11761.89,296.24
create,65.txt,62.33,9800.36,258.64
create,66.txt,64.88,13254.44,301.31
create,67.txt,57.89,7352.43,237.72
create,68.txt,68.55,14499.61,370.18
create,69.txt,62.03,8488.6,237.39
create,7.txt,64.95,10753.9,310.13
create,70.txt,65.97,11197.65,270.58
create,71.txt,68.25,11905.03,256.79
create,72.txt,64.13,10900.66,287.34
create,73.txt,63.93,10963.21,288.81
create,74.txt,62.56,8580.43,247.58
create,75.txt,65.27,11508.31,285.96
create,76.txt,62.53,9165.24,261.62
create,77.txt,67.37,11557.32,276.27
create,78.txt,62.76,10477.61,286.87
create,79.txt,65.74,13802.67,291.66
create,8.txt,64.8,11734.14,307.2
create,80.txt,65.98,12176.89,311.11
create,81.txt,66.53,12810.69,307.07
create,82.txt,60.57,8261.93,239.06
create,83.txt,62.47,11002.88,306.04
create,84.txt,59.12,8741.75,248.46
create,85.txt,61.9,9340.44,269.58
create,86.txt,65.15,12603.84,335.99
create,87.txt,61.21,9631.13,262.18
create,88.txt,65.95,11741.49,240.39
create,89.txt,62.14,8221.51,225.23
create,9.txt,69.52,13429.0,313.82
create,90.txt,60.96,9473.07,251.08
create,91.txt,64.18,10330.1,273.18
create,92.txt,64.06,9582.64,255.17
create,93.txt,59.3,8196.14,240.02
create,94.txt,60.72,8251.27,249.23
create,95.txt,57.38,7552.95,229.78
create,96.txt,64.13,11287.41,248.23
create,97.txt,63.74,9792.07,271.27
create,98.txt,68.03,12623.11,407.32
create,99.txt,65.17,11039.96,277.01
explain,1.txt,64.94,8273.65,236.64
explain,10.txt,59.22,6735.89,253.0
explain,100.txt,52.66,5518.29,220.06
explain,11.txt,50.98,5200.05,221.52
explain,12.txt,53.72,5292.28,239.67
explain,13.txt,67.83,11075.95,267.75
explain,14.txt,58.33,6500.96,208.9
explain,15.txt,58.37,7654.44,238.65
explain,16.txt,53.29,4699.11,205.13
explain,17.txt,59.41,6803.41,280.55
explain,18.txt,60.6,7397.99,231.14
explain,19.txt,51.39,4895.74,198.99
explain,2.txt,60.79,7069.55,205.08
explain,20.txt,59.62,6663.67,222.25
explain,21.txt,65.89,8506.63,216.35
explain,22.txt,60.87,8479.76,325.33
explain,23.txt,61.62,7823.68,200.63
explain,24.txt,57.3,5634.06,153.71
explain,25.txt,66.14,8213.08,253.85
explain,26.txt,57.8,6351.73,205.86
explain,27.txt,60.11,7316.66,201.59
explain,28.txt,66.54,9466.77,275.42
explain,29.txt,56.68,6709.78,247.19
explain,3.txt,64.49,8896.45,234.8
explain,30.txt,57.83,7208.76,203.26
explain,31.txt,59.11,6602.2,193.42
explain,32.txt,64.87,8989.0,253.17
explain,33.txt,67.3,11267.39,294.27
explain,34.txt,56.47,6482.22,221.52
explain,35.txt,58.23,6101.52,197.84
explain,36.txt,61.55,7021.98,205.57
explain,37.txt,59.46,7122.31,253.13
explain,38.txt,56.4,6845.0,232.44
explain,39.txt,65.64,8469.51,207.24
explain,4.txt,60.82,7779.64,244.99
explain,40.txt,63.62,7340.5,182.54
explain,41.txt,60.82,6955.24,201.18
explain,42.txt,61.04,7238.65,259.0
explain,43.txt,50.24,3967.23,151.53
explain,44.txt,48.83,4255.33,222.16
explain,45.txt,54.06,6484.2,222.76
explain,46.txt,60.33,8389.5,291.22
explain,47.txt,66.03,10576.77,213.69
explain,48.txt,63.97,9317.33,269.25
explain,49.txt,60.07,7699.18,265.3
explain,5.txt,55.98,5559.61,212.57
explain,50.txt,59.52,7250.98,266.67
explain,51.txt,55.01,5543.35,228.4
explain,52.txt,68.98,11085.51,278.94
explain,53.txt,57.93,6946.99,246.8
explain,54.txt,60.64,7366.73,245.59
explain,55.txt,57.69,6021.36,205.99
explain,56.txt,58.18,6437.61,240.11
explain,57.txt,55.87,5381.88,219.51
explain,58.txt,59.88,8171.17,281.3
explain,59.txt,50.63,5100.97,247.89
explain,6.txt,58.74,7181.68,246.31
explain,60.txt,59.14,7130.86,254.0
explain,61.txt,59.15,7098.81,263.77
explain,62.txt,62.13,7703.8,169.16
explain,63.txt,53.42,5289.28,217.9
explain,64.txt,62.87,8122.5,215.18
explain,65.txt,54.1,5885.39,225.26
explain,66.txt,55.95,5445.94,170.84
explain,67.txt,60.18,6036.42,222.06
explain,68.txt,66.54,11289.96,276.28
explain,69.txt,56.74,5594.56,198.72
explain,7.txt,58.53,7217.09,206.47
explain,70.txt,65.45,9804.47,232.5
explain,71.txt,59.08,7075.16,220.13
explain,72.txt,60.29,7225.13,198.18
explain,73.txt,62.54,8213.15,228.49
explain,74.txt,53.61,4925.33,173.11
explain,75.txt,66.28,12522.33,296.44
explain,76.txt,64.35,8598.47,242.79
explain,77.txt,60.75,7570.49,205.34
explain,78.txt,55.73,6301.43,251.95
explain,79.txt,56.6,5431.87,220.85
explain,8.txt,58.73,7556.25,237.5
explain,80.txt,64.76,10523.86,238.86
explain,81.txt,61.75,7478.57,210.43
explain,82.txt,55.72,6063.14,188.21
explain,83.txt,59.13,6796.98,241.12
explain,84.txt,64.16,8337.52,239.89
explain,85.txt,50.13,5002.4,275.72
explain,86.txt,61.44,7801.07,236.38
explain,87.txt,63.54,8231.33,254.22
explain,88.txt,54.36,5744.58,205.19
explain,89.txt,60.54,6669.82,186.74
explain,9.txt,59.58,7356.23,254.58
explain,90.txt,55.97,6837.41,239.9
explain,91.txt,51.37,5230.54,242.72
explain,92.txt,50.88,4960.97,205.82
explain,93.txt,54.82,6337.31,199.42
explain,94.txt,63.41,8622.19,265.79
explain,95.txt,64.18,8343.87,257.0
explain,96.txt,55.6,5840.07,237.51
explain,97.txt,52.43,4957.27,196.77
explain,98.txt,52.91,4735.38,207.79
explain,99.txt,68.3,12011.93,283.19
human,1.txt,51.65,2829.56,195.31
human,10.txt,52.36,2716.68,188.82
human,100.txt,54.17,3280.02,229.78
human,11.txt,55.65,3752.22,155.61
human,12.txt,51.81,2616.16,223.04
human,13.txt,53.83,2265.74,156.46
human,14.txt,56.41,2860.66,169.24
human,15.txt,57.3,3431.89,214.16
human,16.txt,55.53,3130.26,161.03
human,17.txt,50.78,2341.91,161.12
human,18.txt,54.2,2754.65,168.19
human,19.txt,52.9,2284.69,228.67
human,2.txt,53.3,2944.34,147.34
human,20.txt,56.15,3044.88,201.5
human,21.txt,48.33,2664.5,187.21
human,22.txt,55.14,2874.12,219.12
human,23.txt,46.71,2363.98,166.41
human,24.txt,50.48,2389.56,119.64
human,25.txt,52.89,2586.51,147.76
human,26.txt,49.06,1732.79,124.17
human,27.txt,40.67,1589.49,151.96
human,28.txt,57.9,3101.83,201.27
human,29.txt,40.46,1426.15,137.26
human,3.txt,51.41,2534.85,160.89
human,30.txt,49.96,2473.68,204.65
human,31.txt,53.58,2846.48,203.98
human,32.txt,45.68,2000.05,162.7
human,33.txt,52.64,2729.95,208.64
human,34.txt,42.8,1999.05,148.24
human,35.txt,51.02,2239.96,197.11
human,36.txt,50.72,2618.76,149.33
human,37.txt,51.75,1697.39,113.38
human,38.txt,55.1,3363.73,237.57
human,39.txt,53.37,2394.0,171.89
human,4.txt,56.16,3313.03,172.52
human,40.txt,53.74,2915.26,183.15
human,41.txt,53.06,2768.66,180.72
human,42.txt,52.54,2722.3,171.75
human,43.txt,35.27,1225.92,92.14
human,44.txt,49.11,2396.85,195.8
human,45.txt,58.87,3892.62,239.23
human,46.txt,56.91,3275.38,165.11
human,47.txt,46.88,2236.34,94.43
human,48.txt,40.74,1358.11,127.86
human,49.txt,46.15,2040.62,183.28
human,5.txt,47.11,2244.64,172.38
human,50.txt,51.01,2677.43,184.35
human,51.txt,53.36,2165.78,151.39
human,52.txt,56.1,3545.8,282.32
human,53.txt,53.8,2958.74,235.67
human,54.txt,52.22,3468.17,250.92
human,55.txt,43.97,1710.38,157.52
human,56.txt,58.26,3075.55,275.86
human,57.txt,44.11,1785.61,158.02
human,58.txt,49.38,2435.67,196.82
human,59.txt,53.61,2505.22,236.72
human,6.txt,51.99,2487.43,150.63
human,60.txt,53.12,2597.93,215.21
human,61.txt,60.65,4145.68,212.3
human,62.txt,50.93,2635.71,166.94
human,63.txt,49.06,2336.78,163.58
