system,file,TTR,Yules,MTLD
continue,1.txt,72.08,17590.22,268.17
continue,10.txt,75.66,24089.14,565.96
continue,100.txt,67.85,13176.9,320.36
continue,11.txt,70.84,16017.98,313.97
continue,12.txt,72.6,17410.23,366.62
continue,13.txt,70.73,16046.77,372.4
continue,14.txt,70.72,16755.57,348.3
continue,15.txt,72.77,21103.03,369.35
continue,16.txt,73.69,18966.1,473.05
continue,17.txt,69.54,13845.98,287.94
continue,18.txt,75.59,24744.97,527.13
continue,19.txt,70.64,16965.45,333.26
continue,2.txt,69.22,15129.32,361.46
continue,20.txt,73.86,19450.13,409.66
continue,21.txt,67.16,12910.74,315.25
continue,22.txt,64.44,10374.38,234.07
continue,23.txt,66.55,13233.42,314.69
continue,24.txt,71.99,17228.75,385.43
continue,25.txt,71.87,18298.25,353.42
continue,26.txt,79.66,34833.49,696.75
continue,27.txt,69.45,14568.95,345.04
continue,28.txt,72.04,19194.78,391.71
continue,29.txt,72.08,17248.7,323.67
continue,3.txt,70.67,17303.16,355.39
continue,30.txt,66.79,10373.84,247.07
continue,31.txt,68.2,13520.51,305.57
continue,32.txt,66.54,12392.96,284.52
continue,33.txt,75.18,23530.89,522.95
continue,34.txt,70.36,17329.75,370.4
continue,35.txt,72.48,15630.81,291.19
continue,36.txt,70.86,15861.13,343.73
continue,37.txt,69.01,14466.37,358.65
continue,38.txt,71.38,17758.07,295.65
continue,39.txt,68.61,12946.52,302.11
continue,4.txt,72.47,16659.51,382.97
continue,40.txt,66.67,12790.86,314.56
continue,41.txt,69.76,16450.7,347.22
continue,42.txt,68.68,13327.01,356.68
continue,43.txt,72.2,20113.95,407.15
continue,44.txt,69.65,19210.26,439.96
continue,45.txt,69.98,15885.59,304.36
continue,46.txt,72.56,19075.59,374.43
continue,47.txt,55.68,7763.89,277.02
continue,48.txt,69.57,14497.42,324.47
continue,49.txt,70.94,13415.3,298.73
continue,5.txt,71.43,16998.28,328.4
continue,50.txt,67.96,13400.08,316.31
continue,51.txt,73.17,19437.21,369.35
continue,52.txt,69.19,13666.18,316.79
continue,53.txt,73.7,19175.03,428.65
continue,54.txt,72.6,19249.83,363.02
continue,55.txt,69.5,14627.54,295.75
continue,56.txt,72.82,22450.11,387.53
continue,57.txt,66.73,11399.73,287.32
continue,58.txt,66.11,13648.04,299.0
continue,59.txt,67.12,16413.62,351.64
continue,6.txt,71.92,17682.24,387.07
