feature,human,create,continue,explain
entropy,7.578165801164067,7.827629208299172,7.970276966808058,6.967600133332707
perplexity,2214.6742328810997,2978.410337585109,4053.20164818779,2007.0308080159743
per_word_perplexity,4.7082559376225435,5.679807527394363,7.90056363961948,4.115141789911929
dependency_distance_mean,3.0230261839779824,2.814757822073882,2.8241072722725837,3.1020312000271675
dependency_distance_std,1.081612892419534,0.8322975767927053,0.7827245897702049,0.849761314052975
prop_adjacent_dependency_relation_mean,0.4320531150574909,0.4628573943396681,0.466259709717688,0.4610854805505438
prop_adjacent_dependency_relation_std,0.09079918558688728,0.08191320464535412,0.09127987548629132,0.07291161712067107
token_length_mean,6.219066903035611,6.679252634091822,6.436208817415621,6.538612779464512
token_length_median,5.2,5.6,5.4,5.4
token_length_std,3.9510510340187337,4.235246325271502,4.033402642336627,4.061840544018986
sentence_length_mean,15.925372383252817,16.50978895344954,15.546668314588226,16.468146224146224
sentence_length_median,13.6,16.7,15.8,16.1
sentence_length_std,8.704035996209493,6.822794966027445,5.038960694406532,5.403648929202215
syllables_per_token_mean,2.0838361529306666,2.2846863781660653,2.1768776469385065,2.1980572043475415
syllables_per_token_median,1.8,2.0,2.0,2.0
syllables_per_token_std,1.442381968296349,1.513021517511276,1.4076777041021822,1.4419354606072645
n_tokens,411.2,458.8,446.6,400.6
n_unique_tokens,254.8,252.2,248.0,227.4
proportion_unique_tokens,0.6199785921535623,0.5497661450544438,0.5560196648455136,0.5691185616053204
n_characters,2617.4,3123.8,2923.6,2658.0
n_sentences,26.2,28.0,29.0,24.4
first_order_coherence,0.5679875108651664,0.6591734337849349,0.675109433636697,0.682282125065069
second_order_coherence,0.5695469690697446,0.6509441832387042,0.6636145213646267,0.6714688966413385
n_stop_words,207.4,229.4,231.8,201.0
alpha_ratio,0.8541741795888929,0.8908467146195583,0.8956031402800744,0.8785053526730943
mean_word_length,5.564376126938334,6.073844190074171,5.885107180551467,5.919229943932522
doc_length,470.4,513.6,497.2,451.6
duplicate_ngram_chr_fraction_5,0.022898440669503074,0.10722701272090839,0.060219131667276916,0.0486723965423553
top_ngram_chr_fraction_2,0.010454419416590702,0.016786288382245846,0.022073538892678456,0.020045269624263357
oov_ratio,0.02124774612333213,0.013526696131358828,0.00547869851974529,0.01429345361598534
flesch_reading_ease,14.378208493064005,-3.2069033806003686,6.891282729695291,4.164192094689594
flesch_kincaid_grade,15.21016183405047,17.80811695420489,16.16035687656379,16.769652038718018
smog,15.049069252910783,16.632455428716785,15.6495945790278,16.21733083222294
gunning_fog,17.305514774192186,20.15368410823256,18.6037006215058,19.39276405189815
automated_readability_index,15.824491304924138,18.28417438329725,16.65787768732169,17.600939303350966
coleman_liau_index,18.88251006966527,21.66706390923225,20.12054137923416,20.842021742629296
lix,52.1901954570086,56.25713117138,54.12621795679102,55.923657119965
rix,5.833084045584046,6.589724838041809,6.0225041965820605,6.509283309283309
pos_prop_PROPN,0.03525604038946989,0.026502644207580705,0.016516199921358367,0.02619497670340475
pos_prop_VERB,0.07653443923548504,0.09285784688396603,0.09784790100135664,0.0877809571701637
pos_prop_PUNCT,0.12498377208799134,0.10677585034657118,0.10124178157977762,0.11192659230711803
pos_prop_NUM,0.025515686981608367,0.007830380037506177,0.007784930391282429,0.015232332385024219
pos_prop_NOUN,0.20197439596105302,0.22252280852771927,0.22067405211594449,0.21715881812024262
pos_prop_ADP,0.10671655247024883,0.09750082375345082,0.09419350708325429,0.10004200482925556
pos_prop_DET,0.12925892535160474,0.12656601703970133,0.13118738546913056,0.12262174947374013
pos_prop_AUX,0.04549585286693112,0.04318881528112908,0.05370147405345865,0.059162478999409
pos_prop_ADV,0.09056437071763432,0.07013171237139142,0.08122598137516723,0.07690199156988134
pos_prop_SCONJ,0.01616840966462315,0.02010270514051187,0.01771875452876252,0.027623600010906524
pos_prop_CCONJ,0.026359538406058418,0.044051417606211334,0.046961935185971734,0.034546542305135944
pos_prop_ADJ,0.06675081139560043,0.08621526829272709,0.07239339367806501,0.07562044987194896
pos_prop_PRON,0.03741976199062387,0.037616003649530834,0.04027672989295701,0.03600530966074474
pos_prop_PART,0.01275153263613415,0.019241461311082203,0.020457305402266295,0.009494059252504728
connectives,16.2,13.6,16.4,14.8
connectives_cap,2.2,4.0,4.0,1.6
pos_prop_X,0.005312387306166607,0.008986183933560389,0.012448132780082987,0.003418254771905762
duplicate_ngram_chr_fraction_6,,0.09992583931804007,0.04594348079375998,0.035355492948147896
duplicate_ngram_chr_fraction_7,,0.1387347391786903,0.04798203704740583,0.04543589849154758
top_ngram_chr_fraction_3,0.02354145342886387,0.018976634687899098,0.030720911408651106,0.022748287557969284
duplicate_ngram_chr_fraction_8,,0.1387347391786903,0.037413161002197035,0.0343213728549142
duplicate_ngram_chr_fraction_9,,0.1387347391786903,0.04207995190862639,0.0343213728549142
duplicate_ngram_chr_fraction_10,,0.1387347391786903,0.04207995190862639,0.0343213728549142
top_ngram_chr_fraction_4,,0.0183129855715871,0.03967538322813345,
