connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
while,2,36,22,157,17,132,7,134
for instance,1,1,0,0,0,0,0,0
previously,0,3,0,15,0,15,1,33
also,10,106,0,187,0,156,0,87
even though,0,1,0,2,0,0,0,1
when,1,22,1,87,1,60,1,53
instead,1,3,2,5,6,17,1,4
by contrast,0,1,0,0,0,0,0,0
later,1,55,0,13,2,46,0,15
otherwise,2,8,0,6,0,2,0,10
meanwhile,2,3,3,3,0,0,1,1
though,1,7,1,6,1,2,1,3
unless,0,0,0,1,0,0,0,2
moreover,4,4,13,13,5,5,8,8
as a result,1,2,3,10,12,14,2,3
still,3,22,0,19,2,13,0,3
then,9,65,0,16,0,27,0,15
nevertheless,0,1,0,0,0,0,1,1
therefore,5,7,4,7,3,6,2,4
as soon as,1,2,0,1,0,1,0,1
after,62,244,30,109,43,209,20,87
if,0,3,5,78,0,17,1,39
so that,0,0,0,14,0,1,0,1
finally,7,13,3,10,2,3,1,1
yet,1,8,0,8,0,3,0,8
however,33,54,74,94,117,158,50,80
indeed,1,2,0,7,0,2,0,2
for example,0,0,0,1,0,0,0,0
just as,0,1,0,0,0,0,0,0
once,3,11,10,17,7,18,4,17
on the other hand,0,0,1,1,3,4,0,0
even if,0,0,0,2,0,1,0,1
separately,0,2,0,3,0,0,0,1
in addition,9,17,35,37,13,16,23,29
until,0,11,0,13,0,22,0,36
nonetheless,0,0,1,2,0,0,2,2
as if,0,0,0,1,0,0,0,0
as,9,186,66,698,30,517,19,527
although,6,11,18,29,18,22,17,22
since,6,33,1,19,4,25,9,33
in turn,0,0,0,0,0,1,0,0
because,5,35,0,4,0,7,0,2
before,2,21,3,42,1,39,1,40
thus,6,13,2,8,2,10,0,6
but,2,94,0,112,0,154,0,106
