connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
while,36,100,38,143,29,186,62,180
for instance,10,16,27,27,6,6,8,8
previously,1,12,0,7,1,5,0,1
also,12,243,0,159,0,255,0,84
now that,1,1,0,0,0,0,0,0
even though,1,8,0,0,0,0,0,0
when,11,87,3,80,3,74,1,26
instead,2,6,3,6,0,7,2,4
by contrast,2,2,0,0,0,0,0,0
later,0,7,0,2,0,6,0,0
otherwise,0,2,0,1,0,0,0,4
meanwhile,4,4,0,0,0,0,0,0
though,2,16,0,1,1,2,0,1
unless,0,1,0,0,0,1,0,0
moreover,37,37,43,43,16,16,35,35
as a result,7,12,2,2,8,11,2,3
still,3,41,0,40,0,17,0,12
then,3,19,0,7,0,85,0,5
nevertheless,12,13,3,3,2,2,6,6
therefore,58,79,18,21,24,27,41,43
as soon as,1,2,0,0,0,0,0,0
after,7,72,13,37,2,52,2,13
if,8,25,4,21,2,19,1,15
so that,0,2,0,1,0,1,0,0
finally,7,13,10,11,28,29,4,4
yet,2,26,0,8,0,9,0,5
however,107,129,122,131,110,116,73,90
indeed,8,9,0,3,0,2,0,0
for example,25,33,24,25,10,11,1,1
once,2,9,4,8,1,4,1,3
on the other hand,12,13,9,14,8,8,2,3
even if,1,1,0,0,0,0,0,0
in fact,5,6,0,0,3,3,0,0
separately,0,0,0,1,0,0,0,1
in addition,44,50,34,35,16,19,16,17
until,0,9,0,6,0,8,1,7
nonetheless,1,1,2,2,0,0,0,0
as,38,845,15,678,16,855,20,634
although,28,50,9,15,13,22,11,12
as long as,0,1,0,0,0,1,0,0
since,14,38,2,11,1,25,0,3
in turn,0,6,0,0,0,0,0,0
because,11,46,0,2,0,16,0,0
before,1,18,0,23,0,24,0,7
thus,29,56,1,7,4,15,7,15
but,3,111,1,70,0,92,0,57
