feature,human,continue,explain,create
pos_prop_PROPN,0.05576031049390697,0.02696323031573587,0.05422049077134397,0.0559373803682384
pos_prop_ADP,0.11349470721023244,0.1129706826252435,0.12073977643061984,0.1118759389547082
pos_prop_AUX,0.05182540109701961,0.03927312420829304,0.03292045725965773,0.032752444939206295
pos_prop_ADJ,0.08538808403453862,0.10932392107229853,0.09549968499011474,0.10925355813334763
pos_prop_PART,0.024017159531380627,0.023387267156522534,0.021858596747667262,0.023776660615331166
pos_prop_VERB,0.09324443923381316,0.12005057325695262,0.11716048024775436,0.11970098952068003
pos_prop_NOUN,0.20718112748353076,0.2597183463800972,0.2486003129087124,0.24937519576585937
pos_prop_ADV,0.04745339824687579,0.0404870078828248,0.03773631544142504,0.03821281854338592
pos_prop_PUNCT,0.11433232887345522,0.0933024965985042,0.09040531689339688,0.0978995642792164
pos_prop_CCONJ,0.02898345628088751,0.0354388821166515,0.030074810855607707,0.025707477819057876
pos_prop_DET,0.08985642008862031,0.06149712750392004,0.06976715487474706,0.05906455275856045
pos_prop_NUM,0.02096304852531662,0.005019453125984777,0.013464986271578702,0.005705929935653804
pos_prop_PRON,0.050381415360607446,0.04435993863616634,0.03503872866286048,0.03534239128174301
pos_prop_SCONJ,0.016135594519501365,0.01678627907175658,0.021165860353516367,0.01746466628829888
token_length_mean,4.903623743822812,5.710847079561493,5.591550660103163,5.923726976434393
token_length_median,4.2,5.35,5.185,5.64
token_length_std,2.66838095878178,3.000831248777416,2.915322024832032,3.087913227181308
sentence_length_mean,20.429416923562417,20.95443876720745,22.73258906340689,24.089378479108067
sentence_length_median,19.255,20.035,21.87,23.115
sentence_length_std,10.244611739614115,7.745733538256332,8.06436169750518,8.496241490754356
syllables_per_token_mean,1.463469857170777,1.6960203421108688,1.6504655725577786,1.7547219367505362
syllables_per_token_median,1.0,1.05,1.02,1.11
syllables_per_token_std,0.7910688503021356,0.9564300084362805,0.9077626143473695,0.995818830709915
n_tokens,708.11,621.69,666.66,626.69
n_unique_tokens,338.12,323.34,323.62,357.38
proportion_unique_tokens,0.4838365721890811,0.5243558470102258,0.49100202452513875,0.5704650172776318
n_characters,3573.67,3628.85,3808.26,3795.98
n_sentences,36.06,29.95,29.66,26.23
flesch_reading_ease,62.28959190593641,42.082923708704975,44.13203466225397,33.93480499460997
flesch_kincaid_grade,9.646416914804515,12.595271156119157,12.751203490910475,14.510576460508476
smog,11.85632250823445,14.549957635480842,14.382937953786326,15.933790249302831
gunning_fog,12.832255648088642,16.09766534957408,15.975413721569582,18.039094437767016
automated_readability_index,11.880776295186655,15.945309128338357,16.27249814078934,18.51544329856003
coleman_liau_index,11.513359056047925,16.35608239369381,15.761780649789124,17.792181167587138
lix,46.905071692667654,58.821389955684474,59.803269399081074,64.85208243683783
rix,5.490920077488033,7.9527567200243166,8.4635620035639,9.81901334493649
dependency_distance_mean,2.7616047421740832,2.6729333349757862,2.834059243587183,2.7677670146651034
dependency_distance_std,0.8185285596796322,0.49910039937225953,0.5564793744475712,0.5024143098423692
prop_adjacent_dependency_relation_mean,0.436266223276663,0.46515985024988465,0.4760871172043801,0.4708176680405671
prop_adjacent_dependency_relation_std,0.09013718643111565,0.06719924032362636,0.06365438590744063,0.061602977095962116
n_stop_words,354.3,258.58,276.66,236.87
alpha_ratio,0.8675996372544877,0.8896907156214756,0.8853153493914767,0.8789298051662159
mean_word_length,4.426800247126696,5.241011480064745,5.134638202907318,5.395129921444335
doc_length,809.77,691.89,742.06,703.83
duplicate_ngram_chr_fraction_5,0.03245766082033563,0.02876204690588383,0.05724544335167271,0.019926236380239146
duplicate_ngram_chr_fraction_6,0.033827144546549816,0.022723975720354624,0.04482529267783414,0.01990861090302882
top_ngram_chr_fraction_2,0.012358589034256915,0.0113962526997616,0.01089299389672979,0.008983892331854326
top_ngram_chr_fraction_3,0.01266613989903312,0.01309519156211811,0.01149036570610893,0.011393556027116619
oov_ratio,0.005274895478644294,0.016593932112130536,0.015749336770115436,0.020494947952187658
first_order_coherence,0.7556126563048084,0.8400555190165839,0.8312247790122329,0.8269923290852692
second_order_coherence,0.7504586462278077,0.8372140798035299,0.8286943522184886,0.824280966757338
entropy,24.17440293196794,16.85876726224351,17.85842918309079,15.276470363580334
perplexity,2.649156958268983e+19,290549473345.14075,15121793176.260403,33350661.605840355
per_word_perplexity,1.625761360002066e+16,257050540.52428353,13764146.361859674,40927.58207881881
connectives,23.35,19.66,22.52,18.41
connectives_cap,5.5,4.99,3.95,4.93
pos_prop_SPACE,,0.015875336799230196,0.015238785842233343,0.01951392846064037
pos_prop_SYM,0.0020528554941196676,0.0016414236279758,0.004229040790644576,0.002490265531049697
pos_prop_X,0.0020777366321649386,0.0030963264093815555,0.0033298093053601577,0.004398575274366767
proportion_bullet_points,,,0.23809523809523808,0.07197802197802199
duplicate_ngram_chr_fraction_7,0.04857228808934993,0.022132428528038036,0.04013173165496402,0.01987948815345805
duplicate_ngram_chr_fraction_8,0.06585550191732101,0.029339035423774536,0.03765499599623398,0.02228841674560375
duplicate_ngram_chr_fraction_9,0.133846970720207,0.03249961132883017,0.031656243034734396,0.02228841674560375
duplicate_ngram_chr_fraction_10,0.133846970720207,0.044584316810910046,0.031553305994112074,0.02410488183595902
top_ngram_chr_fraction_4,0.014481368478090832,0.01663614929735216,0.013713157977946996,0.01728152341940131
pos_prop_INTJ,0.0028198514499517447,0.0019383294448272748,,0.001900408373860761
symbol_to_word_ratio_#,,,,0.004464285714285714
