feature,human,continue,explain,create
dependency_distance_mean,3.46577846490713,2.8908252996028545,3.205667497930111,3.039867482054588
dependency_distance_std,1.2324556729457796,0.9044988865378935,0.8798605686346046,0.9917060676069411
prop_adjacent_dependency_relation_mean,0.4499555794276666,0.4701457046682141,0.4745903589063407,0.46569811733923805
prop_adjacent_dependency_relation_std,0.08848258408882369,0.09410584176063357,0.08453640860862711,0.09325591038146284
n_stop_words,283.1458333333333,305.0625,313.75,281.2395833333333
alpha_ratio,0.8319656082992495,0.8839533683604461,0.8837485759100564,0.8868394168967676
mean_word_length,6.118017865713092,6.456845661486086,6.42780160354607,6.601974182905463
doc_length,747.8645833333334,728.7291666666666,735.5520833333334,721.46875
duplicate_ngram_chr_fraction_5,0.02981828460244659,0.09760592193847926,0.09868833050496786,0.15196690832028267
duplicate_ngram_chr_fraction_6,0.02961079667438557,0.08047570466391474,0.07483741964751316,0.13847999834616975
top_ngram_chr_fraction_2,0.00895173250425075,0.011966973242015747,0.010652340935036616,0.015514195408533207
top_ngram_chr_fraction_3,0.010154713987156526,0.019073318144372582,0.01479722195147465,0.024078436358086902
top_ngram_chr_fraction_4,0.009868952957696518,0.02091289938801833,0.01728953842745802,0.026692933758747886
oov_ratio,0.05536394100489703,0.04236949317344211,0.04965864596486439,0.04482565359332765
pos_prop_DET,0.11494638430502534,0.12371137115184848,0.12796684473028708,0.1259636659764366
pos_prop_NOUN,0.23047339128377464,0.23660239980398967,0.24139540325130351,0.24202929308615118
pos_prop_VERB,0.05833304935518351,0.08121201587473015,0.07975762932953337,0.07342864138174239
pos_prop_ADJ,0.08750498412032424,0.0969667279052965,0.08961641598483698,0.10663113156189737
pos_prop_PUNCT,0.1297286932042875,0.1003438437775216,0.1041158887771184,0.09803201938035948
pos_prop_PROPN,0.04811375039477439,0.01719063414813187,0.02070523785323995,0.029752236049710692
pos_prop_ADP,0.11545095907231888,0.10144997616044689,0.11156439148517379,0.10574331906100315
pos_prop_CCONJ,0.04114067094463183,0.043333504783699676,0.0433597218007119,0.04156227956941091
pos_prop_PART,0.009233848103419038,0.016274865035225936,0.01167985773373766,0.016437697823283845
pos_prop_AUX,0.036019378496500616,0.05203236342948598,0.04544474679867478,0.04110716692450227
pos_prop_ADV,0.06341996428622286,0.06897444755755569,0.06238101077705952,0.05233551802357295
pos_prop_SCONJ,0.009142311814336052,0.017137537214454983,0.019512947797656624,0.01621736033305123
pos_prop_X,0.009545954466488371,0.009168079177946395,0.005941265750803346,0.03347971120864181
pos_prop_NUM,0.013257610164982392,0.00693883731322523,0.007421443763998863,0.006057802551032799
pos_prop_SPACE,0.015465516219549728,0.020528352629623676,0.01688549640247859,0.021001479096631855
pos_prop_PRON,0.022919852719018474,0.026282603035183896,0.026369237906747653,0.022527159704251978
first_order_coherence,0.5661201061910481,0.6173576977195413,0.6702499613297833,0.631413424946608
second_order_coherence,0.5552500680666205,0.6108159811037769,0.6674474729418578,0.6225301646562466
flesch_reading_ease,-21.010390713243545,-17.950249198876225,-19.713820673133593,-25.812898991266866
flesch_kincaid_grade,21.710884214055444,19.873605750212622,20.683730755300527,21.546188296404164
smog,19.470246507306918,17.581908637786032,18.440486093677816,19.009585569415712
gunning_fog,23.759271540424454,22.15717895562655,22.84938829697764,24.010067405724772
automated_readability_index,22.50341062134878,20.131496626896375,21.256636641991168,21.972058053273987
coleman_liau_index,23.80736330169903,23.953928073679435,24.162822692257734,25.020000089620552
lix,65.16905950348043,61.53129196865595,63.32547881605731,65.9527917478383
rix,9.531386126428268,7.4367820721011375,8.366296533334518,8.873879075599547
entropy,11.702687253764813,11.078560827758992,11.53969511435912,10.532317487871905
perplexity,28142971453121.613,2415661.611503555,438144.1209448946,586599.1244914102
per_word_perplexity,12190666185.10692,2123.9587046669058,482.45650022775226,603.9126531321198
token_length_mean,6.96846556409627,7.067581845803898,7.065398310426537,7.212267788236114
token_length_median,5.453125,5.864583333333333,5.755208333333333,6.09375
token_length_std,4.833465560892325,4.543565727247674,4.641067747322334,4.586889793756329
sentence_length_mean,22.2238756289107,16.546372266320027,18.81722119976436,18.86455354136378
sentence_length_median,20.458333333333332,16.588541666666668,18.296875,18.947916666666668
sentence_length_std,12.103444440103809,6.158856213857525,6.638532859790042,7.5193537862878275
syllables_per_token_mean,2.426573959218667,2.458518692063374,2.452119871812917,2.523645119938329
syllables_per_token_median,1.9739583333333333,2.0,2.0,2.0
syllables_per_token_std,1.8051071101073966,1.7047095941829342,1.7664191370327433,1.72855241805141
n_tokens,641.0833333333334,655.1979166666666,658.2916666666666,650.25
n_unique_tokens,349.4270833333333,312.0625,317.03125,306.9583333333333
proportion_unique_tokens,0.5599528215693789,0.4823242762096928,0.4840242109863578,0.4776402563797251
n_characters,4573.760416666667,4706.322916666667,4723.989583333333,4764.75
n_sentences,29.5625,40.0,35.15625,34.875
connectives,18.375,19.34375,22.364583333333332,17.510416666666668
connectives_cap,3.5,5.03125,4.479166666666667,4.8125
duplicate_ngram_chr_fraction_7,0.03092181656315966,0.06836232917061814,0.06038735927342809,0.13347452140826305
duplicate_ngram_chr_fraction_8,0.033042642241044536,0.06956792588920901,0.05324717225845672,0.1311476395426468
duplicate_ngram_chr_fraction_9,0.03797249307365782,0.06939515353453275,0.054146354681313125,0.1350994378573778
duplicate_ngram_chr_fraction_10,0.0479212012725289,0.07251584456236286,0.050231184854111294,0.14913998994564004
proportion_ellipsis,,,,0.040257648953301126
duplicate_line_chr_fraction,0.0070629782224838,,,0.0044196022357987
proportion_bullet_points,,,,0.12570356472795496
