lemma,shannon
werden,0.9502705392332347
der,1.6856701776917355
liegen,0.6365141682948128
dies,1.2148896539491203
zeigen,1.0397207708399179
sein,1.2406842919533958
ein,1.7155063761723959
haben,0.6730116670092565
können,1.2554823251787537
meist,0.6365141682948128
gut,1.3862943611198906
umgehen,0.6931471805599453
stark,0.6931471805599453
staatlich,1.0986122886681096
sozial,0.6365141682948128
hoch,0.9502705392332347
scheinen,0.6931471805599453
wichtig,0.6931471805599453
bewegen,0.6931471805599453
gesellschaftlich,1.0986122886681096
wesentlich,0.6931471805599453
ihr,1.15374194270109
international,0.6931471805599453
pragmatisch,0.6931471805599453
bleiben,0.6931471805599453
innovativ,0.6931471805599453
wir,0.6931471805599453
schweizerisch,0.6931471805599453
