lemma,shannon
dies,0.8675632284814612
der,1.703829647609392
werden,1.2636544318820966
sein,0.5623351446188083
beide,0.6931471805599453
unterstützen,0.5004024235381879
jung,0.410116318288409
finanziell,1.0114042647073516
unternehmerisch,0.6931471805599453
ein,1.7045514452672972
erhalten,0.6365141682948128
viel,0.6931471805599453
bieten,0.6365141682948128
solch,0.6931471805599453
haben,1.0549201679861442
sagen,0.6365141682948128
ihr,1.5571130980576455
eigen,1.0549201679861442
können,0.6730116670092565
schaffen,0.6365141682948128
bewilligen,0.6931471805599453
sollen,0.6931471805599453
sie,0.5004024235381879
lokal,0.6931471805599453
