system,file,TTR,Yules,MTLD
ashuman,1.txt,60.217983651226156,7456.641221374046,244.12349883943892
ashuman,10.txt,63.622047244094496,9396.43062751871,223.95217279486297
ashuman,100.txt,65.14032496307239,10721.113561190738,255.72062392598937
ashuman,11.txt,63.103953147877014,8624.001857010213,244.9743056677587
ashuman,12.txt,56.82137834036568,7105.616020896822,205.84826335893626
ashuman,13.txt,63.05732484076433,10066.762530813476,263.89060355937147
ashuman,14.txt,58.88738127544097,8178.723404255319,242.66666666666666
ashuman,15.txt,59.13272010512484,8635.394456289978,210.59272097053727
ashuman,16.txt,63.48314606741573,10114.059405940594,256.2014605569151
ashuman,17.txt,63.05220883534136,10885.230618253188,302.2277904328018
ashuman,18.txt,62.15022091310751,8271.435206688342,232.32700869003256
ashuman,19.txt,56.36363636363636,7289.318885448917,179.70933107756377
ashuman,2.txt,63.24503311258278,9063.602484472049,227.03072057654276
ashuman,20.txt,61.203007518796994,7633.594470046083,222.52266638465875
ashuman,21.txt,59.919571045576404,9332.508173750584,267.4946747613212
ashuman,22.txt,64.39873417721519,10584.600638977636,228.08549860200196
ashuman,23.txt,60.9254498714653,9384.962406015038,256.5415189998031
ashuman,24.txt,68.4053651266766,13151.123595505618,339.2992715327472
ashuman,25.txt,60.83086053412463,7379.28007023705,242.10502117174838
ashuman,26.txt,54.82093663911846,5937.181409295352,158.03108278102175
ashuman,27.txt,61.34453781512605,7792.201462225833,245.1543756318095
ashuman,28.txt,56.8904593639576,8128.536585365853,246.76801161944832
ashuman,29.txt,58.187134502923975,7174.09420289855,237.65450916229628
ashuman,3.txt,60.76294277929155,9722.18963831867,257.19170941491785
ashuman,30.txt,65.21739130434783,10459.710743801652,287.4092042108239
ashuman,31.txt,63.802816901408455,10214.48481831757,234.67066100298226
ashuman,32.txt,67.20516962843296,12161.349262122278,316.21107654336674
ashuman,33.txt,66.10687022900763,11280.926594464501,292.8323378358798
ashuman,34.txt,64.95016611295681,9972.667971298108,256.66425305980727
ashuman,35.txt,58.47222222222223,7255.05525992632,191.66192182678242
ashuman,36.txt,62.12361331220285,8541.634241245136,193.8962661461747
ashuman,37.txt,67.52293577981652,10393.246354566385,272.1097695513606
ashuman,38.txt,66.66666666666666,12593.754337265787,291.1889007470651
ashuman,39.txt,57.163958641063516,7760.051813471503,259.7378422598034
ashuman,4.txt,59.893048128342244,7619.741837509491,240.2719816272966
ashuman,40.txt,60.290556900726386,9415.489749430524,271.3594164456233
ashuman,41.txt,56.93333333333334,7331.282669883393,221.91350361987259
ashuman,42.txt,65.57610241820768,12741.067146282974,283.209245954208
ashuman,43.txt,64.98422712933754,9644.545454545456,253.99569406470138
ashuman,44.txt,63.43402225755167,9790.959409594096,253.18509899782254
ashuman,45.txt,62.632375189107414,9464.16344561016,251.86244624590125
ashuman,46.txt,62.55144032921811,9490.460976722958,255.72451920505
ashuman,47.txt,62.65432098765432,9229.339305711086,251.28004870542185
ashuman,48.txt,61.13602391629297,8289.4449950446,228.94831480463512
ashuman,49.txt,57.05368289637952,8594.609053497941,213.30083780660647
ashuman,5.txt,63.68876080691642,9987.934560327198,270.84372506923563
ashuman,50.txt,62.91970802919708,8896.599616858239,228.0983094579291
ashuman,51.txt,65.33333333333333,12530.992268041236,285.94947232767515
ashuman,52.txt,61.81318681318682,8912.852112676055,245.01462543085728
ashuman,53.txt,61.71428571428571,8688.268156424581,238.0859098946016
ashuman,54.txt,64.55172413793103,10658.102189781022,259.4995524647876
ashuman,55.txt,59.89085948158254,8186.958368734069,215.28266546941245
ashuman,56.txt,62.39316239316239,9385.714285714286,244.31078853952914
ashuman,57.txt,61.820851688693104,9348.154008438818,234.20259067917885
ashuman,58.txt,57.40498034076016,6790.938053097345,203.90492957746477
ashuman,59.txt,58.21831869510665,7300.644286198711,207.25879867665168
ashuman,6.txt,60.44678055190539,9605.083976395823,257.5989310250576
ashuman,60.txt,64.06480117820324,10727.040816326531,275.1115352290237
ashuman,61.txt,59.57446808510638,8212.250815512867,218.4923753494703
ashuman,62.txt,61.442006269592476,8424.561403508773,234.26852278499638
ashuman,63.txt,60.47904191616767,7961.756097560976,239.62536052223862
ashuman,64.txt,62.38390092879257,9360.749279538904,257.7533963236226
ashuman,65.txt,56.85997171145686,6415.40293767368,210.4093067637138
ashuman,66.txt,62.90097629009763,9416.712962962964,262.5396336035694
ashuman,67.txt,61.669024045261665,7858.453906572964,225.12696443341605
ashuman,68.txt,64.54802259887006,10815.587778353185,267.659612625538
ashuman,69.txt,62.32980332829047,10026.225634967514,238.802541435749
ashuman,7.txt,60.0,8448.349261511728,235.85018726591758
ashuman,70.txt,59.66057441253264,8612.329896907217,245.35263653483992
ashuman,71.txt,58.1151832460733,7810.4595879556255,218.7832198166468
ashuman,72.txt,60.682492581602375,7984.773269689738,230.34504836748857
ashuman,73.txt,62.87581699346405,9955.292598967297,251.4267179670723
ashuman,74.txt,59.970238095238095,7412.551346417162,228.33472402569046
ashuman,75.txt,60.53691275167785,9270.783956244302,247.06210668322996
ashuman,76.txt,65.55555555555556,11068.72160934458,270.62103621396136
ashuman,77.txt,63.7329286798179,10028.425241614554,265.55550024888
ashuman,78.txt,66.14060258249641,11450.484913793103,292.6835348054333
ashuman,79.txt,61.09375,8731.067961165048,230.83979055480125
ashuman,8.txt,60.66024759284731,8448.349261511728,240.30934498891898
ashuman,80.txt,62.37762237762238,9911.111111111111,249.6717387926446
ashuman,81.txt,61.45092460881935,8580.41379310345,208.2325317200689
ashuman,82.txt,64.93108728943339,10015.376044568246,233.85125945269573
ashuman,83.txt,59.13705583756346,8482.65625,205.44083925705115
ashuman,84.txt,62.93375394321766,10095.180722891568,237.59733918137505
ashuman,85.txt,63.16546762589928,9616.816367265468,267.30536781792705
ashuman,86.txt,58.21529745042493,7702.735978112175,239.99406876362582
ashuman,87.txt,62.44274809160305,8703.485952133195,244.78630120186412
ashuman,88.txt,63.21428571428571,9255.243722304283,195.0633499809465
ashuman,89.txt,64.56456456456456,11498.756218905473,242.8885009988477
ashuman,9.txt,57.47724317295189,7761.779896702423,236.2815945716709
ashuman,90.txt,60.11004126547456,8849.35125115848,208.08455504047015
ashuman,91.txt,68.38709677419355,13723.358778625954,333.8382224065598
ashuman,92.txt,61.664190193164934,8139.177693761814,209.3244246473645
ashuman,93.txt,58.760107816711596,7272.226472838561,204.10629248511424
ashuman,94.txt,59.89010989010989,8625.045372050816,198.11449526972626
ashuman,95.txt,63.4453781512605,11432.256267409472,244.000759891531
ashuman,96.txt,64.35643564356435,10361.611611611612,253.55195268957877
ashuman,97.txt,59.651474530831095,8193.007860984691,223.4004835048203
ashuman,98.txt,63.593380614657214,10955.4882664648,281.59583037729396
ashuman,99.txt,64.60674157303372,10372.549019607843,298.17756022650923
asmachine,1.txt,61.834319526627226,9506.20239390642,226.21176173649673
asmachine,10.txt,65.82064297800339,11242.273402674591,304.06473373526
asmachine,100.txt,66.71899529042386,12684.33988764045,302.4261168384879
asmachine,11.txt,63.22378716744914,8297.71225216065,177.54639175257734
asmachine,12.txt,59.583333333333336,8604.067321178121,222.41104688503532
asmachine,13.txt,66.66666666666666,9837.17409587889,217.2360732182402
asmachine,14.txt,59.375,8788.265071329959,242.8525342676253
asmachine,15.txt,56.794871794871796,6263.93233322694,190.75
asmachine,16.txt,62.099871959026885,9891.715727502102,252.24778106508876
asmachine,17.txt,60.74626865671642,8929.865229110514,235.27605609302447
asmachine,18.txt,65.08422664624808,10575.234192037471,261.18874142357413
asmachine,19.txt,62.22527472527473,9540.167364016736,235.26561035715525
asmachine,2.txt,66.05374823196605,13396.13022113022,304.20153675439144
asmachine,20.txt,64.21875,10096.891811117754,263.615033218578
asmachine,21.txt,61.51645207439199,8628.091460569296,244.5343181564457
asmachine,22.txt,62.06896551724138,9919.565217391304,253.4787485075558
asmachine,23.txt,65.3061224489796,9400.10863661054,283.25587467362925
asmachine,24.txt,70.56213017751479,13731.382015691008,370.7626550090494
asmachine,25.txt,61.503759398496236,8297.66865079365,229.3770159832212
asmachine,26.txt,59.38748335552596,7683.120896098881,233.94404332129963
asmachine,27.txt,60.190217391304344,7556.757797458606,230.3028979198902
asmachine,28.txt,59.83112183353438,8122.020468801584,217.9638969034209
asmachine,29.txt,60.59190031152648,7264.570331253,212.33333333333334
asmachine,3.txt,61.74496644295302,9901.731399157698,281.4137783483098
asmachine,30.txt,67.04384724186704,12046.970509383378,299.9979248556183
asmachine,31.txt,62.91793313069909,9448.51157662624,225.02712647101453
asmachine,32.txt,65.53846153846153,12446.913580246914,290.4350018853695
