connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
vielmehr,1,6,2,2,1,3,2,4
dessen ungeachtet,1,1,0,0,0,0,0,0
wegen,0,0,0,0,0,0,0,2
sondern,0,14,0,25,0,16,0,19
zuvor,0,3,0,0,0,0,0,0
dann,0,4,0,2,0,1,0,0
also,0,11,0,5,0,5,0,7
wie,3,39,3,39,0,36,2,51
außerdem,0,0,0,0,0,3,0,0
hierauf,0,1,0,0,0,0,0,0
doch,3,6,2,4,1,3,2,2
trotz,0,2,1,1,1,2,1,1
aufgrund,0,0,1,2,0,2,1,2
daher,1,5,1,4,0,6,0,6
warum,0,3,0,1,0,4,1,1
später,0,4,1,1,0,4,0,0
dafür,1,2,1,6,0,3,0,1
des weiteren,0,0,1,1,4,4,1,1
als,1,90,0,66,1,64,0,55
allerdings,2,6,4,5,2,2,2,2
zwar,1,4,0,2,0,3,0,1
dadurch,0,1,1,2,7,8,0,3
somit,0,1,0,15,1,8,0,9
inzwischen,1,1,0,0,0,0,0,0
deshalb,0,1,0,0,1,1,0,0
insofern,1,3,0,0,0,0,0,0
andererseits,0,2,2,2,0,0,0,0
ebenfalls,0,2,0,6,0,2,0,3
zugleich,0,6,0,3,0,1,0,0
da,2,3,0,6,2,8,1,5
bevor,0,0,0,1,0,0,0,0
danach,0,0,0,1,0,1,0,2
weshalb,0,0,0,0,0,0,0,1
wenn,2,12,1,4,2,3,1,2
obwohl,0,2,1,1,5,9,2,2
darüber hinaus,0,0,3,4,4,4,11,11
nämlich,0,4,0,0,0,1,0,1
zudem,3,4,3,4,1,2,2,4
sodass,0,2,0,0,0,1,0,1
zunächst,1,2,0,3,1,4,1,5
weder,0,2,0,3,0,0,0,2
darum,0,0,0,1,0,2,0,0
indem,0,3,15,21,2,9,13,16
anstatt,0,0,0,0,0,0,2,2
hingegen,0,2,0,0,0,0,0,1
aber,0,18,0,2,0,3,0,2
gleichwohl,0,1,0,0,0,0,0,0
inwieweit,0,0,0,1,0,0,0,2
seit,0,6,0,1,0,1,0,2
denn,1,3,3,3,0,0,1,1
ansonsten,0,1,0,0,0,1,0,0
ob,0,5,0,5,0,5,0,5
entgegen,0,1,0,0,0,0,0,0
so,5,14,0,7,1,6,1,3
darauf,0,4,0,9,0,30,0,13
inwiefern,0,1,0,0,0,0,0,0
beispielsweise,0,1,0,4,1,1,0,3
dabei,5,12,13,26,9,22,7,18
wenn auch,0,1,0,0,0,0,0,0
dennoch,0,0,2,4,2,3,3,3
allein,0,3,0,1,0,2,0,1
statt,0,2,0,1,0,1,0,0
zu dem beispiel,0,1,0,0,0,1,1,3
zusätzlich,0,1,0,1,1,1,2,2
während,1,2,1,5,1,8,4,5
weiterhin,0,0,0,2,2,5,0,2
weil,0,1,0,0,0,0,0,0
