connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
as,30,666,34,519,28,440,31,691
after,1,35,1,29,0,16,5,58
though,5,34,3,17,4,12,2,14
because,0,21,1,14,0,5,9,39
however,100,133,68,88,52,73,103,122
since,5,37,2,9,2,13,8,27
therefore,26,44,20,29,39,56,54,71
while,29,194,32,197,39,145,23,73
still,2,29,0,20,3,22,3,30
also,8,201,6,151,5,126,11,196
when,7,92,2,60,0,50,5,56
but,3,157,0,99,1,140,1,95
in turn,0,4,0,1,,,0,6
for instance,20,24,16,17,1,3,10,16
yet,5,58,6,46,7,59,1,20
thus,18,74,10,65,33,107,26,45
for example,9,11,5,6,2,3,24,31
then,1,33,0,16,0,14,2,15
if,1,27,3,20,4,49,4,18
once,2,16,0,5,0,4,0,6
even though,2,5,4,5,2,3,1,7
before,2,37,0,23,0,9,1,14
instead,1,17,1,9,0,7,2,6
finally,13,18,10,14,3,8,4,8
until,0,11,0,4,0,3,0,8
so that,0,2,0,2,,,0,1
otherwise,0,6,0,6,0,6,0,1
nevertheless,7,8,9,12,7,9,11,11
later,0,11,0,2,0,6,0,7
indeed,6,17,2,10,9,26,8,9
moreover,29,30,37,38,38,39,36,36
in fact,6,6,,,,,3,4
as a result,1,2,1,2,,,6,9
although,15,27,10,18,10,13,26,47
meanwhile,3,4,3,4,2,3,4,4
unless,0,2,,,,,0,1
previously,0,13,0,12,2,12,1,8
in addition,6,8,6,7,3,5,41,46
nonetheless,4,5,6,9,4,8,,
on the other hand,4,4,2,2,1,1,11,12
just as,0,1,,,0,2,,
even if,0,1,,,,,1,1
separately,,,0,1,0,2,,
as if,,,,,1,1,,
as long as,,,,,,,0,1
as soon as,,,,,,,1,2
by contrast,,,,,,,1,1
now that,,,,,,,1,1
