connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
in addition,12,14,6,7,1,1,23,29
as,53,653,46,472,97,525,77,661
still,1,57,1,33,3,30,4,104
while,37,238,32,186,42,190,38,91
also,5,237,7,189,2,84,9,263
finally,14,17,3,8,1,3,7,20
instead,5,32,2,20,0,29,0,12
yet,8,72,21,63,44,113,9,34
although,15,42,2,4,7,10,24,37
however,113,148,70,93,83,104,71,109
but,3,167,23,241,28,204,132,327
when,6,76,9,102,5,68,22,118
after,5,59,6,35,11,31,24,75
before,1,38,0,48,0,54,3,43
since,5,90,3,34,2,28,26,86
even though,6,13,0,3,1,1,3,11
though,8,52,4,33,1,21,3,38
if,9,65,10,59,5,29,51,133
therefore,10,21,14,22,3,4,7,40
thus,9,73,10,61,8,35,7,38
later,0,16,0,15,0,5,1,18
once,2,20,4,26,3,35,4,33
moreover,27,30,26,26,17,18,10,11
nonetheless,3,7,4,5,6,6,3,7
meanwhile,8,8,5,6,8,9,4,8
indeed,4,16,11,42,19,52,6,11
because,0,27,1,34,0,10,10,83
otherwise,0,6,0,7,0,5,1,9
nevertheless,6,6,5,7,4,5,6,12
for example,2,6,4,7,,,18,63
as a result,0,2,,,,,19,31
previously,0,15,1,14,2,20,1,3
until,0,16,1,15,1,13,2,24
unless,0,5,0,2,0,2,0,1
then,1,35,2,35,0,22,3,61
for instance,9,14,11,16,6,8,2,10
in fact,3,4,4,4,1,2,6,12
on the other hand,4,6,3,3,,,6,13
even if,0,2,0,3,0,1,5,16
so that,0,4,0,1,0,2,0,12
by contrast,1,1,,,1,1,6,7
separately,0,1,,,,,,
in turn,1,1,0,3,0,1,0,7
now that,0,1,,,,,0,3
as soon as,0,1,0,1,1,1,2,4
just as,1,1,0,6,3,11,1,12
as if,,,0,2,,,0,1
as long as,,,0,1,,,1,2
