connective,explain_upper,continue_upper,create_upper,human_upper
allerdings,3.4919858923769946,3.065499506113969,2.3929169657812874,1.2016883721628888
wie,3.3173865977581447,1.5327497530569845,15.31466858100024,2.2531656978054166
zunächst,1.0475957677130985,0.17030552811744268,1.1166945840312674,0.3004220930407222
sondern,0.0,0.0,0.0,0.0
so,1.7459929461884973,6.641915596580265,1.7548057749062773,4.356120349090472
zudem,1.7459929461884973,6.130999012227938,2.55244476350004,3.004220930407222
also,0.0,0.0,0.0,0.0
daher,3.6665851869958446,4.768554787288395,5.583472920156337,1.502110465203611
dabei,4.539581660090094,8.174665349637248,7.019223099625109,4.656542442131194
als,3.3173865977581447,1.1921386968220988,1.1166945840312674,2.1029546512850557
ob,0.17459929461884974,0.17030552811744268,0.0,0.1502110465203611
dann,0.0,0.0,0.1595277977187525,0.0
beispielsweise,1.7459929461884973,0.6812221124697707,0.1595277977187525,0.1502110465203611
darum,0.0,0.0,0.0,0.0
seit,1.9205922408073473,0.34061105623488536,0.319055595437505,2.1029546512850557
während,3.3173865977581447,2.724888449879083,3.82866714525006,2.1029546512850557
ebenfalls,0.0,0.0,0.0,0.1502110465203611
auch wenn,0.5237978838565492,0.8515276405872135,0.4785833931562575,0.7510552326018055
aber,1.5713936515696476,1.3624442249395414,0.4785833931562575,0.6008441860814444
wenn,0.698397178475399,0.34061105623488536,0.319055595437505,0.4506331395610833
trotz,7.15857107937284,8.515276405872134,6.540639706468852,1.9527436047646944
darüber hinaus,6.809372490135139,11.751081440103546,10.688362447156416,3.4548540699683055
da,2.269790830045047,2.5545829217616403,1.1166945840312674,2.1029546512850557
obwohl,4.015783776233544,3.917027146701182,3.9881949429688124,0.9012662791221666
dafür,0.698397178475399,0.34061105623488536,0.1595277977187525,0.3004220930407222
darauf,0.17459929461884974,0.17030552811744268,1.7548057749062773,0.1502110465203611
doch,0.8729964730942487,3.065499506113969,2.0738613703437827,0.0
seitdem,0.5237978838565492,0.17030552811744268,,0.1502110465203611
somit,0.3491985892376995,0.510916584352328,0.957166786312515,0.3004220930407222
dadurch,0.5237978838565492,1.3624442249395414,0.319055595437505,1.0514773256425278
danach,0.0,0.0,0.4785833931562575,0.3004220930407222
außerdem,1.2221950623319482,1.703055281174427,0.7976389885937624,0.7510552326018055
hingegen,0.0,0.0,0.1595277977187525,0.1502110465203611
zusätzlich,1.2221950623319482,1.3624442249395414,0.63811119087501,0.6008441860814444
zu dem beispiel,0.8729964730942487,0.0,0.1595277977187525,0.1502110465203611
allein,0.0,0.0,0.0,0.4506331395610833
weiterhin,0.8729964730942487,1.021833168704656,1.4357501794687726,0.1502110465203611
des weiteren,1.7459929461884973,1.1921386968220988,0.63811119087501,1.35189941868325
weshalb,0.0,,,0.0
anstatt,0.17459929461884974,0.17030552811744268,0.319055595437505,
warum,0.0,0.0,0.1595277977187525,0.1502110465203611
aufgrund,1.5713936515696476,1.703055281174427,0.4785833931562575,2.854009883886861
nämlich,0.0,0.0,0.0,0.0
zwar,0.3491985892376995,0.17030552811744268,0.4785833931562575,0.6008441860814444
vielmehr,0.0,0.6812221124697707,0.957166786312515,0.1502110465203611
dennoch,2.4443901246638964,2.3842773936441977,2.55244476350004,1.0514773256425278
folglich,0.5237978838565492,0.0,0.319055595437505,0.0
indem,0.698397178475399,1.8733608092918697,2.233389168062535,0.0
sofern,0.0,,0.1595277977187525,0.1502110465203611
statt,0.0,0.0,0.0,0.1502110465203611
bevor,0.17459929461884974,0.17030552811744268,0.1595277977187525,0.1502110465203611
"nur , dass",0.0,,,
nachdem,0.698397178475399,0.0,0.1595277977187525,0.3004220930407222
inwiefern,0.17459929461884974,0.17030552811744268,1.1166945840312674,0.0
demgegenüber,0.17459929461884974,,0.1595277977187525,0.3004220930407222
daraufhin,0.0,0.0,0.4785833931562575,0.0
trotzdem,0.8729964730942487,0.34061105623488536,0.7976389885937624,0.3004220930407222
deshalb,0.5237978838565492,1.1921386968220988,0.63811119087501,0.3004220930407222
wegen,0.17459929461884974,0.34061105623488536,0.0,0.0
dagegen,0.17459929461884974,0.0,0.1595277977187525,0.3004220930407222
zuvor,0.0,0.0,0.1595277977187525,0.0
vorher,0.0,,0.0,0.0
infolge,0.0,0.0,0.1595277977187525,0.1502110465203611
denn,0.3491985892376995,1.3624442249395414,1.7548057749062773,0.6008441860814444
hierauf,0.0,,0.1595277977187525,
inwieweit,0.0,0.0,0.1595277977187525,0.1502110465203611
weder,0.0,0.0,,0.1502110465203611
falls,0.0,0.17030552811744268,0.0,
andererseits,0.3491985892376995,0.34061105623488536,0.63811119087501,0.0
sodass,0.0,0.0,0.0,0.0
weil,0.0,0.0,0.0,0.0
dessen ungeachtet,0.17459929461884974,,0.0,0.1502110465203611
infolgedessen,0.3491985892376995,0.34061105623488536,0.63811119087501,0.3004220930407222
insofern,0.17459929461884974,0.34061105623488536,0.63811119087501,0.1502110465203611
zugleich,0.17459929461884974,0.6812221124697707,0.1595277977187525,0.3004220930407222
außer,0.0,0.0,0.0,0.1502110465203611
aus diesem grund,0.3491985892376995,,0.63811119087501,0.3004220930407222
ferner,0.17459929461884974,0.17030552811744268,0.4785833931562575,0.4506331395610833
später,0.0,0.0,0.0,0.0
sonst,0.0,0.0,,0.0
hierdurch,,0.34061105623488536,0.1595277977187525,0.3004220930407222
wonach,,0.0,,
sobald,,0.17030552811744268,,0.0
inzwischen,,0.17030552811744268,0.0,0.3004220930407222
womit,,0.0,0.0,0.0
gleichwohl,,0.17030552811744268,0.4785833931562575,0.1502110465203611
entgegen,,0.17030552811744268,0.0,0.0
ohnehin,,0.0,,0.0
währenddessen,,0.0,,0.1502110465203611
obgleich,,,0.1595277977187525,0.0
überdies,,,0.4785833931562575,0.0
ansonsten,,,0.0,
zumal,,,0.0,0.0
obschon,,,0.1595277977187525,
beziehungsweise,,,,0.0
wenngleich,,,,0.0
wenn auch,,,,0.0
seither,,,,0.3004220930407222
wogegen,,,,0.0
worauf,,,,0.0
deswegen,,,,0.1502110465203611
mithin,,,,0.0
allenfalls,,,,0.0
weswegen,,,,0.0
