connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
anstatt,2,2,,,,,,
sondern,0,9,0,19,0,18,0,14
da,3,6,1,3,1,4,2,3
wie,3,41,5,37,9,55,3,38
statt,0,2,3,4,0,1,0,2
beispielsweise,1,6,2,7,0,2,0,1
dabei,4,12,4,16,7,23,5,11
als,1,48,0,60,1,57,1,85
vielmehr,2,5,0,4,0,3,1,6
somit,1,5,1,6,0,4,0,1
während,1,7,0,5,1,2,1,2
zu dem beispiel,0,2,,,0,1,0,1
aber,2,7,1,5,0,2,0,18
zugleich,1,1,0,2,1,1,0,6
allerdings,1,2,1,3,1,1,2,6
darauf,0,5,0,5,0,13,0,4
ebenfalls,0,2,0,3,,,0,2
wenn,2,3,0,6,0,1,2,12
zwar,0,1,0,2,1,2,1,4
zudem,1,4,0,3,2,3,3,4
seit,0,3,,,,,0,6
dafür,0,9,0,4,0,1,1,2
außerdem,1,1,,,,,,
indem,2,3,4,7,4,7,0,3
außer,0,1,,,,,,
weiterhin,0,2,0,2,0,1,,
später,0,2,,,0,1,0,4
zusätzlich,1,1,2,2,1,1,0,1
dann,1,3,0,1,0,4,0,4
ob,0,4,0,5,0,5,0,5
obwohl,3,4,0,2,1,1,0,2
trotz,2,4,1,3,3,4,0,2
zunächst,0,1,,,1,2,1,2
daher,2,3,0,3,0,15,1,5
dadurch,0,1,0,3,0,1,0,1
warum,1,2,1,3,1,1,0,3
so,0,5,11,18,2,4,5,13
also,0,5,0,6,0,10,0,11
aufgrund,1,3,0,1,0,2,,
wegen,0,2,,,0,1,,
doch,2,5,1,3,1,6,3,6
denn,0,2,2,3,2,2,1,3
hierdurch,0,1,,,,,,
weil,0,1,,,,,0,1
zuvor,0,1,,,,,0,3
darüber hinaus,1,2,6,6,3,3,,
dennoch,0,2,1,2,1,1,,
darum,0,1,0,2,0,1,,
aus diesem grund,,,1,1,,,,
folglich,,,0,1,,,,
bevor,,,0,1,,,,
wenn auch,,,0,1,,,0,1
auch wenn,,,1,1,0,1,,
sobald,,,1,1,,,,
andererseits,,,0,1,0,1,0,2
inwiefern,,,0,1,0,1,0,1
insofern,,,1,1,,,1,3
womit,,,0,1,,,,
nämlich,,,,,0,1,0,4
des weiteren,,,,,2,2,,
dagegen,,,,,0,1,,
beziehungsweise,,,,,0,1,,
gleichwohl,,,,,0,1,0,1
infolge,,,,,0,1,,
inwieweit,,,,,0,1,,
überdies,,,,,1,1,,
ferner,,,,,1,1,,
allein,,,,,,,0,3
entgegen,,,,,,,0,1
sodass,,,,,,,0,2
hingegen,,,,,,,0,2
ansonsten,,,,,,,0,1
hierauf,,,,,,,0,1
weder,,,,,,,0,2
inzwischen,,,,,,,1,1
dessen ungeachtet,,,,,,,1,1
deshalb,,,,,,,0,1
