connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
as,33,544,27,437,27,466,9,186
but,2,166,2,159,0,154,2,94
while,22,184,19,183,7,159,2,36
also,3,170,6,148,3,120,10,106
thus,9,59,5,58,3,76,6,13
however,61,102,32,61,36,87,33,54
later,4,43,1,20,0,20,1,55
finally,7,24,5,12,1,5,7,13
when,7,92,1,54,3,60,1,22
indeed,2,19,4,20,2,21,1,2
after,29,161,27,132,12,103,62,244
then,4,24,1,28,1,21,9,65
instead,6,21,0,7,1,8,1,3
in fact,1,1,1,1,1,1,,
otherwise,0,8,0,18,0,22,2,8
before,4,45,1,41,5,59,2,21
moreover,14,16,13,16,8,12,4,4
though,5,34,3,23,3,34,1,7
still,6,26,2,12,1,24,3,22
nevertheless,3,3,3,5,3,7,0,1
yet,2,39,2,47,1,51,1,8
because,1,18,3,29,2,11,5,35
if,1,32,0,62,1,52,0,3
even though,1,8,0,4,3,6,0,1
although,13,22,5,17,2,14,6,11
since,3,27,5,40,1,41,6,33
until,0,24,1,25,1,34,0,11
once,8,22,3,18,1,13,3,11
separately,0,2,0,1,0,1,0,2
previously,0,24,1,17,1,23,0,3
therefore,8,14,5,18,10,17,5,7
in addition,5,9,7,11,6,8,9,17
on the other hand,1,1,,,1,1,,
just as,0,2,0,1,0,1,0,1
even if,0,3,0,2,0,1,,
meanwhile,7,7,17,24,15,18,2,3
nonetheless,3,4,1,2,0,1,,
as a result,0,2,,,0,1,1,2
so that,0,1,0,1,0,2,,
for example,0,1,,,,,,
as soon as,0,1,,,1,1,1,2
for instance,1,1,,,,,1,1
unless,,,0,2,0,3,,
as long as,,,0,1,,,,
as if,,,,,0,2,,
by contrast,,,,,,,0,1
