connective,explain_upper,continue_upper,create_upper,human_upper
as,4.1215584986536244,5.266989915263427,4.655493482309125,3.9282772603434077
after,0.13738528328845415,0.15491146809598313,0.0,0.6335931065070013
though,0.6869264164422707,0.46473440428794943,0.6650704974727322,0.2534372426028005
because,0.0,0.15491146809598313,0.0,1.1404675917126021
however,13.738528328845414,10.533979830526855,8.645916467145518,13.052017994044224
since,0.6869264164422707,0.30982293619196627,0.3325352487363661,1.013748970411202
therefore,3.5720173654998075,3.098229361919663,6.484437350359138,6.842805550275614
while,3.98417321536517,4.95716697907146,6.484437350359138,2.9145282899322056
still,0.2747705665769083,0.0,0.4988028731045491,0.38015586390420075
also,1.0990822663076332,0.9294688085758989,0.8313381218409152,1.3939048343154028
when,0.9616969830191789,0.30982293619196627,0.0,0.6335931065070013
but,0.4121558498653624,0.0,0.16626762436818304,0.12671862130140024
in turn,0.0,0.0,,0.0
for instance,2.747705665769083,2.47858348953573,0.16626762436818304,1.2671862130140026
yet,0.6869264164422707,0.9294688085758989,1.1638733705772812,0.12671862130140024
thus,2.4729350991921746,1.5491146809598315,5.48683160415004,3.2946841538364064
for example,1.2364675495960873,0.7745573404799158,0.3325352487363661,3.041246911233606
then,0.13738528328845415,0.0,0.0,0.2534372426028005
if,0.13738528328845415,0.46473440428794943,0.6650704974727322,0.506874485205601
once,0.2747705665769083,0.0,0.0,0.0
even though,0.2747705665769083,0.6196458723839325,0.3325352487363661,0.12671862130140024
before,0.2747705665769083,0.0,0.0,0.12671862130140024
instead,0.13738528328845415,0.15491146809598313,0.0,0.2534372426028005
finally,1.7860086827499038,1.5491146809598315,0.4988028731045491,0.506874485205601
until,0.0,0.0,0.0,0.0
so that,0.0,0.0,,0.0
otherwise,0.0,0.0,0.0,0.0
nevertheless,0.9616969830191789,1.3942032128638482,1.1638733705772812,1.3939048343154028
later,0.0,0.0,0.0,0.0
indeed,0.8243116997307248,0.30982293619196627,1.4964086193136472,1.013748970411202
moreover,3.98417321536517,5.731724319551376,6.3181697259909555,4.561870366850409
in fact,0.8243116997307248,,,0.38015586390420075
as a result,0.13738528328845415,0.15491146809598313,,0.7603117278084015
although,2.0607792493268122,1.5491146809598315,1.6626762436818303,3.2946841538364064
meanwhile,0.4121558498653624,0.46473440428794943,0.3325352487363661,0.506874485205601
unless,0.0,,,0.0
previously,0.0,0.0,0.3325352487363661,0.12671862130140024
in addition,0.8243116997307248,0.9294688085758989,0.4988028731045491,5.195463473357409
nonetheless,0.5495411331538166,0.9294688085758989,0.6650704974727322,
on the other hand,0.5495411331538166,0.30982293619196627,0.16626762436818304,1.3939048343154028
just as,0.0,,0.0,
even if,0.0,,,0.12671862130140024
separately,,0.0,0.0,
as if,,,0.16626762436818304,
as long as,,,,0.0
as soon as,,,,0.12671862130140024
by contrast,,,,0.12671862130140024
now that,,,,0.12671862130140024
