connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
after,9,104,5,50,9,88,27,132
while,41,218,33,145,38,140,22,76
in fact,3,3,1,2,,,4,8
still,3,57,4,41,3,31,5,68
instead,5,38,5,35,2,22,8,16
as,49,619,70,505,77,495,48,481
also,5,192,3,136,2,96,6,127
yet,13,60,18,73,21,78,4,27
for example,2,2,0,1,,,2,9
since,1,53,0,30,2,34,8,47
when,8,107,11,97,8,98,38,168
but,2,174,43,245,31,212,173,384
if,11,84,13,69,10,46,43,143
then,2,37,2,26,0,21,12,74
however,86,120,60,87,58,74,16,30
thus,6,39,6,27,4,13,1,2
before,2,65,0,66,1,56,3,69
nonetheless,4,7,,,2,6,2,2
as soon as,0,1,0,1,,,0,3
until,1,20,2,14,1,17,2,27
because,0,29,1,35,0,13,3,85
unless,0,7,,,0,2,2,7
nevertheless,8,9,3,4,4,5,0,1
although,13,24,5,7,4,5,5,11
therefore,3,4,2,3,2,2,0,9
indeed,2,12,3,28,8,32,10,16
previously,0,14,0,10,1,19,0,4
meanwhile,14,16,23,24,16,19,6,13
for instance,4,4,2,2,,,0,4
moreover,18,19,12,12,2,2,,
just as,1,6,1,4,0,6,1,8
later,0,18,0,15,1,10,2,29
though,4,43,5,28,5,27,5,21
finally,10,16,2,15,0,4,2,7
in addition,8,9,7,7,3,3,10,11
otherwise,0,9,0,8,0,8,1,6
separately,0,1,,,,,0,1
once,3,16,1,23,2,56,4,24
as long as,0,2,0,1,,,3,6
even though,3,5,2,6,2,4,1,2
as a result,0,1,1,1,2,3,0,3
in turn,1,1,,,0,1,0,1
now that,0,1,0,1,,,0,2
so that,0,1,,,,,0,5
on the other hand,1,1,1,2,,,,
as if,,,0,4,0,2,0,4
even if,,,1,9,0,2,1,8
