connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
as,4,65,1,53,3,34,4,89
but,0,17,0,21,1,19,0,16
when,0,18,0,9,0,7,3,20
however,8,11,10,13,6,6,9,11
also,0,21,1,22,1,12,0,20
then,1,6,0,1,,,0,3
if,1,7,0,2,0,5,2,4
while,2,16,2,20,3,12,2,6
even though,0,2,,,,,,
though,0,7,0,1,0,1,0,1
until,0,1,,,,,,
thus,1,7,0,12,3,7,1,8
indeed,0,1,0,4,,,1,1
moreover,2,2,3,3,2,3,3,3
later,0,4,0,4,0,2,0,6
after,0,3,,,,,1,3
for instance,5,7,,,1,2,5,7
still,0,2,,,,,1,6
since,0,4,0,1,,,4,7
for example,3,3,2,2,0,1,6,7
yet,0,1,2,4,0,6,,
although,0,1,1,1,1,1,1,5
before,0,2,0,2,0,3,0,1
instead,0,3,0,1,,,0,1
because,0,3,0,2,,,0,3
once,0,1,,,,,,
finally,0,1,,,0,1,1,1
otherwise,0,1,,,,,,
just as,0,1,,,,,,
meanwhile,,,0,2,0,1,,
therefore,,,2,5,2,3,2,6
previously,,,0,1,1,3,0,1
nonetheless,,,0,1,,,1,1
unless,,,0,1,,,,
nevertheless,,,,,,,1,2
in fact,,,,,,,0,2
in addition,,,,,,,1,2
by contrast,,,,,,,0,1
