connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
während,33,135,32,106,35,107,11,41
als,29,372,28,397,27,378,32,282
infolge,3,6,1,1,,,,
wegen,1,54,0,24,1,24,3,54
zusätzlich,8,20,10,14,1,1,0,5
wie,9,259,37,393,57,400,53,242
zudem,16,29,21,34,9,15,19,36
aber,21,76,78,201,72,172,51,247
außerdem,10,18,3,5,2,3,,
da,9,79,11,43,9,37,22,52
auch wenn,8,10,20,28,12,23,5,12
wenn,10,54,20,126,17,82,35,126
ebenfalls,6,50,5,36,0,17,2,19
allerdings,20,52,12,33,7,21,14,32
obwohl,38,67,29,40,23,36,7,19
aufgrund,8,76,2,27,4,19,5,21
darauf,0,72,0,56,0,55,2,26
trotz,90,173,41,101,45,102,4,12
ob,1,52,12,87,19,81,18,47
seit,3,34,5,18,8,40,13,57
beispielsweise,6,27,0,15,0,4,2,15
sofern,0,3,0,2,,,0,2
weiterhin,4,66,4,57,0,35,2,16
dabei,12,57,13,101,10,72,16,43
somit,2,15,3,35,0,12,0,5
darüber hinaus,26,27,14,16,4,8,1,1
deshalb,1,5,8,11,2,7,16,36
indem,2,13,4,12,2,12,0,2
zu dem beispiel,0,14,3,18,2,6,1,12
danach,0,8,0,5,1,3,4,16
doch,12,31,65,126,120,172,35,67
deswegen,2,2,1,2,,,0,3
darum,1,13,1,20,0,18,3,19
also,0,22,2,52,2,40,3,33
zunächst,2,16,3,15,0,8,2,9
bevor,1,11,1,25,3,22,3,10
sondern,0,35,0,113,0,113,1,25
so,11,56,32,154,15,179,52,267
denn,2,12,28,60,22,45,20,41
weil,1,14,2,14,2,5,11,48
dennoch,9,16,14,22,12,18,4,7
dafür,1,33,3,50,1,46,7,35
trotzdem,16,19,10,18,7,11,5,12
daher,11,43,11,53,4,17,6,13
dann,2,21,2,41,1,21,7,79
worauf,0,1,0,1,,,0,2
statt,0,25,1,20,1,15,2,18
warum,0,6,3,13,2,10,16,19
anstatt,3,7,1,7,3,8,2,3
vielmehr,4,9,3,16,1,3,2,2
später,0,13,0,12,0,5,3,25
dagegen,0,7,0,3,0,1,0,13
hingegen,0,14,0,10,0,4,0,11
währenddessen,4,4,6,9,10,10,,
infolgedessen,2,3,1,1,,,,
zwar,2,12,4,21,5,17,11,38
nachdem,10,19,4,14,4,12,10,14
dadurch,0,11,0,12,2,5,2,8
seitdem,0,1,2,2,1,2,1,1
falls,6,10,5,7,1,3,4,7
vorher,0,3,0,5,0,4,0,3
allein,0,1,0,6,0,3,2,8
zugleich,0,3,3,9,0,8,0,3
andererseits,6,11,9,16,1,2,2,4
zuvor,1,3,0,5,0,9,2,11
nämlich,0,2,0,6,0,6,0,6
inzwischen,4,5,3,5,9,13,4,14
sobald,1,3,1,2,1,5,3,4
außer,0,2,0,3,0,3,,
unterdessen,2,4,1,2,3,5,1,1
entgegen,0,3,1,6,0,3,1,2
daraufhin,0,1,1,4,1,3,0,3
sonst,0,1,0,3,0,18,0,5
womit,0,2,0,1,,,1,1
andernfalls,1,1,1,2,,,,
ohnehin,1,2,,,0,4,3,9
zumal,0,1,,,,,2,4
folglich,0,1,,,0,1,1,1
anstelle dessen,0,1,,,,,,
ansonsten,0,1,,,0,3,1,1
beziehungsweise,0,1,0,1,,,1,5
dessen ungeachtet,0,1,,,1,1,,
weder,0,1,0,6,0,2,0,5
des weiteren,1,1,3,3,1,1,0,1
wenngleich,0,1,,,,,,
inwiefern,1,1,0,4,0,1,,
insofern,,,3,3,,,1,2
so oder so,,,2,2,3,3,,
ferner,,,1,1,,,,
soweit,,,0,3,0,2,0,3
wenn auch,,,0,1,1,4,0,1
obgleich,,,1,1,,,,
demgegenüber,,,1,1,2,2,,
seither,,,1,1,0,1,0,4
sodass,,,0,2,,,0,4
weshalb,,,0,1,,,2,9
nichtsdestoweniger,,,1,1,,,,
gleichwohl,,,0,1,,,0,1
"nur , dass",,,0,1,,,0,1
ausserdem,,,,,1,1,14,20
ausser,,,,,0,1,1,4
soeben,,,,,0,1,0,1
weswegen,,,,,,,0,1
allenfalls,,,,,,,1,3
aus diesem grund,,,,,,,2,2
ebenso wenig,,,,,,,1,1
wonach,,,,,,,0,2
