connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
allerdings,20,39,18,25,15,22,8,25
wie,19,389,9,251,96,460,15,216
zunächst,6,19,1,2,7,30,2,27
sondern,0,63,0,92,0,116,0,48
so,10,46,39,120,11,48,29,63
zudem,10,20,36,55,16,34,20,30
also,0,29,0,31,0,26,0,26
daher,21,66,28,91,35,131,10,40
dabei,26,126,48,149,44,159,31,72
als,19,346,7,285,7,312,14,337
ob,1,32,1,19,0,37,1,20
dann,0,29,0,4,1,15,0,18
beispielsweise,10,46,4,43,1,24,1,29
darum,0,13,0,10,0,10,0,2
seit,11,35,2,11,2,10,14,66
während,19,72,16,52,24,74,14,43
ebenfalls,0,20,0,19,0,11,1,14
auch wenn,3,4,5,7,3,4,5,7
aber,9,34,8,48,3,38,4,104
wenn,4,27,2,27,2,22,3,43
trotz,41,79,50,88,41,70,13,20
darüber hinaus,39,41,69,74,67,77,23,25
da,13,38,15,41,7,31,14,46
obwohl,23,40,23,28,25,31,6,17
dafür,4,21,2,23,1,20,2,17
darauf,1,97,1,67,11,141,1,15
doch,5,9,18,30,13,19,0,6
seitdem,3,4,1,1,,,1,3
somit,2,22,3,35,6,57,2,31
dadurch,3,17,8,26,2,15,7,19
danach,0,4,0,1,3,10,2,3
außerdem,7,15,10,17,5,8,5,8
hingegen,0,4,0,4,1,1,1,6
zusätzlich,7,13,8,16,4,7,4,12
zu dem beispiel,5,30,0,16,1,15,1,20
allein,0,3,0,3,0,4,3,8
weiterhin,5,39,6,45,9,32,1,14
des weiteren,10,10,7,8,4,4,9,9
weshalb,0,3,,,,,0,4
anstatt,1,3,1,2,2,5,,
warum,0,8,0,4,1,8,1,4
aufgrund,9,38,10,36,3,29,19,49
nämlich,0,2,0,2,0,3,0,2
zwar,2,15,1,6,3,14,4,15
vielmehr,0,5,4,10,6,17,1,4
dennoch,14,18,14,18,16,24,7,11
folglich,3,3,0,2,2,6,0,3
indem,4,15,11,29,14,47,0,10
sofern,0,1,,,1,1,1,5
statt,0,4,0,2,0,4,1,11
bevor,1,9,1,6,1,12,1,3
"nur , dass",0,1,,,,,,
nachdem,4,7,0,3,1,1,2,4
inwiefern,1,5,1,5,7,16,0,1
demgegenüber,1,2,,,1,1,2,2
daraufhin,0,2,0,1,3,4,0,1
trotzdem,5,7,2,4,5,8,2,4
deshalb,3,5,7,7,4,9,2,12
wegen,1,4,2,5,0,2,0,3
dagegen,1,2,0,1,1,1,2,7
zuvor,0,3,0,1,1,4,0,4
vorher,0,1,,,0,1,0,1
infolge,0,3,0,1,1,4,1,7
denn,2,3,8,20,11,22,4,6
hierauf,0,1,,,1,1,,
inwieweit,0,1,0,2,1,4,1,6
weder,0,2,0,1,,,1,4
falls,0,1,1,2,0,2,,
andererseits,2,3,2,7,4,19,0,6
sodass,0,2,0,4,0,3,0,8
weil,0,1,0,1,0,1,0,5
dessen ungeachtet,1,1,,,0,1,1,1
infolgedessen,2,3,2,3,4,4,2,3
insofern,1,1,2,2,4,4,1,3
zugleich,1,1,4,6,1,8,2,4
außer,0,1,0,5,0,2,1,3
aus diesem grund,2,2,,,4,4,2,2
ferner,1,2,1,2,3,4,3,4
später,0,1,0,1,0,1,0,2
sonst,0,1,0,1,,,0,1
hierdurch,,,2,3,1,3,2,3
wonach,,,0,1,,,,
sobald,,,1,2,,,0,1
inzwischen,,,1,4,0,2,2,8
womit,,,0,1,0,1,0,1
gleichwohl,,,1,1,3,5,1,1
entgegen,,,1,1,0,1,0,1
ohnehin,,,0,1,,,0,4
währenddessen,,,0,1,,,1,1
obgleich,,,,,1,2,0,1
überdies,,,,,3,3,0,1
ansonsten,,,,,0,1,,
zumal,,,,,0,2,0,1
obschon,,,,,1,1,,
beziehungsweise,,,,,,,0,1
wenngleich,,,,,,,0,2
wenn auch,,,,,,,0,2
seither,,,,,,,2,3
wogegen,,,,,,,0,1
worauf,,,,,,,0,1
deswegen,,,,,,,1,1
mithin,,,,,,,0,1
allenfalls,,,,,,,0,1
weswegen,,,,,,,0,2
