file,TTR,Yules,MTLD
1,61.37,6150.08,140.12
10,63.34,7660.74,154.72
100,61.54,6110.73,156.04
11,61.43,7051.02,173.03
12,64.19,7602.4,157.5
13,45.85,4050.44,150.66
14,58.49,6973.14,166.22
15,61.79,7507.11,163.25
16,65.08,8100.0,130.74
17,62.21,6348.63,104.91
18,64.49,5588.13,100.9
19,63.74,7387.61,183.43
2,71.17,15748.86,155.82
20,63.67,14150.79,140.18
21,64.54,12262.81,174.95
22,59.06,6045.29,143.72
23,59.64,7365.31,179.32
24,67.37,8128.94,137.74
25,62.76,6462.32,167.98
26,69.37,8934.08,207.29
27,62.4,7625.75,197.5
28,62.29,5583.53,129.09
29,61.55,6046.93,118.85
3,67.18,11533.61,190.88
30,61.85,5374.09,120.53
31,51.56,4152.2,133.86
32,68.52,10294.75,197.94
33,66.1,7342.13,197.73
34,66.82,6158.39,152.13
35,56.01,4952.68,126.12
36,58.06,5359.85,135.41
37,67.51,8132.08,164.75
38,59.59,5768.7,149.4
39,62.75,5948.34,150.89
4,65.53,7082.46,162.65
40,63.6,9060.24,187.78
41,68.17,8633.08,194.52
42,57.1,5935.76,123.29
43,63.62,6943.23,158.83
44,67.03,10825.51,190.73
45,59.28,5506.97,143.22
46,66.97,9085.21,229.64
47,65.67,11397.65,220.11
48,69.09,10743.83,205.14
49,72.79,18135.04,327.64
5,66.07,8079.72,136.47
50,61.23,5547.89,154.5
51,62.48,9015.27,223.74
52,60.41,6801.7,167.72
53,67.33,10336.11,183.97
54,69.17,10359.4,233.77
55,54.44,5951.64,156.34
56,69.86,11505.92,214.83
57,62.06,7361.78,170.88
58,62.84,6508.69,116.76
59,58.89,7204.4,165.13
6,61.66,11512.97,139.08
60,62.04,6945.64,195.76
61,71.12,11669.38,207.62
62,68.17,8633.08,234.5
63,62.45,9183.68,191.34
64,69.98,11161.27,238.76
65,61.86,7125.02,173.77
66,62.31,7480.37,177.1
67,51.68,4949.6,153.12
68,64.38,10076.74,220.49
69,62.95,9127.31,216.6
7,61.16,5018.81,136.85
70,61.87,7566.16,179.07
71,63.93,7064.28,171.38
72,62.28,7514.91,152.29
73,71.75,14809.7,244.01
74,61.9,6284.3,154.58
75,61.11,7772.35,215.59
76,66.59,8057.24,150.45
77,65.33,9853.35,194.18
78,69.1,9184.98,211.38
79,60.66,6416.22,147.04
8,65.26,8220.7,172.11
80,68.12,9944.52,263.24
81,62.74,6892.99,139.1
82,63.15,7635.0,180.52
83,62.93,8811.08,197.17
84,59.3,6917.68,208.17
85,65.33,7709.26,217.12
86,66.39,8806.71,193.49
87,59.11,6725.62,204.75
88,63.99,7058.06,156.8
89,55.84,6242.4,154.12
9,69.73,13264.68,243.96
90,62.52,7804.17,160.08
91,71.05,11323.36,224.56
92,60.14,6491.4,156.17
93,62.24,6230.74,164.68
94,56.1,6669.21,114.9
95,58.91,6046.4,113.81
96,67.12,5956.22,166.22
97,62.06,5975.52,169.0
98,55.1,6362.04,181.6
99,69.47,10556.32,251.62
1,61.37,6150.08,140.12
10,63.34,7660.74,154.72
100,61.54,6110.73,156.04
11,61.43,7051.02,173.03
12,64.19,7602.4,157.5
13,45.85,4050.44,150.66
14,58.49,6973.14,166.22
15,61.79,7507.11,163.25
16,65.08,8100.0,130.74
17,62.21,6348.63,104.91
18,64.49,5588.13,100.9
19,63.74,7387.61,183.43
2,71.17,15748.86,155.82
20,63.67,14150.79,140.18
21,64.54,12262.81,174.95
22,59.06,6045.29,143.72
23,59.64,7365.31,179.32
24,67.37,8128.94,137.74
25,62.76,6462.32,167.98
26,69.37,8934.08,207.29
27,62.4,7625.75,197.5
28,62.29,5583.53,129.09
29,61.55,6046.93,118.85
3,67.18,11533.61,190.88
30,61.85,5374.09,120.53
31,51.56,4152.2,133.86
32,68.52,10294.75,197.94
33,66.1,7342.13,197.73
34,66.82,6158.39,152.13
35,56.01,4952.68,126.12
36,58.06,5359.85,135.41
37,67.51,8132.08,164.75
38,59.59,5768.7,149.4
39,62.75,5948.34,150.89
4,65.53,7082.46,162.65
40,63.6,9060.24,187.78
41,68.17,8633.08,194.52
42,57.1,5935.76,123.29
43,63.62,6943.23,158.83
44,67.03,10825.51,190.73
45,59.28,5506.97,143.22
46,66.97,9085.21,229.64
47,65.67,11397.65,220.11
48,69.09,10743.83,205.14
49,72.79,18135.04,327.64
5,66.07,8079.72,136.47
50,61.23,5547.89,154.5
51,62.48,9015.27,223.74
52,60.41,6801.7,167.72
53,67.33,10336.11,183.97
54,69.17,10359.4,233.77
55,54.44,5951.64,156.34
56,69.86,11505.92,214.83
57,62.06,7361.78,170.88
58,62.84,6508.69,116.76
59,58.89,7204.4,165.13
6,61.66,11512.97,139.08
60,62.04,6945.64,195.76
61,71.12,11669.38,207.62
62,68.17,8633.08,234.5
63,62.45,9183.68,191.34
64,69.98,11161.27,238.76
65,61.86,7125.02,173.77
66,62.31,7480.37,177.1
