file,TTR,Yules,MTLD
1,56.83,5609.48,179.38
10,49.48,4142.16,171.88
100,53.6,5076.95,175.13
11,59.88,6866.95,175.74
12,44.87,3936.53,223.49
13,52.02,4980.93,193.36
14,56.43,6558.72,203.71
15,65.87,9634.97,256.54
16,51.46,4684.92,186.91
17,54.86,5608.49,193.05
18,59.22,6687.39,196.23
19,53.21,4841.51,175.46
2,56.48,6795.75,229.0
20,44.64,2881.34,156.27
21,54.88,5403.53,156.37
22,55.3,5394.94,181.83
23,50.4,3939.13,183.3
24,52.58,4775.26,184.2
25,62.1,7510.67,155.96
26,58.1,6815.94,204.26
27,54.71,5981.29,219.46
28,54.79,4838.57,185.05
29,57.25,7561.23,243.32
3,51.65,5294.69,196.81
30,52.58,5438.39,187.02
31,54.93,5231.02,192.2
32,57.34,6029.91,193.0
33,53.25,5433.99,200.43
34,52.91,4392.26,162.99
35,58.82,6864.62,199.91
36,58.82,5369.93,179.38
37,51.6,4549.39,183.81
38,51.0,4277.42,172.91
39,52.29,4251.91,183.7
4,51.1,4668.75,158.5
40,55.09,7275.09,191.3
41,44.85,3197.32,150.79
42,53.71,5567.75,186.9
43,58.33,7548.46,230.5
44,55.99,5902.18,225.52
45,57.34,5763.15,195.39
46,53.12,5457.91,153.31
47,57.01,5696.12,162.94
48,57.05,6225.24,197.56
49,53.05,4102.9,169.75
5,60.02,7446.76,224.27
50,54.33,4837.35,183.83
51,54.76,5984.5,214.13
52,58.65,6032.39,223.28
53,60.57,6954.78,218.82
54,53.03,5672.0,221.8
55,55.8,5793.81,215.74
56,56.06,6331.54,227.32
57,54.68,5434.07,217.27
58,57.53,7123.48,232.52
59,56.8,6320.99,214.73
6,55.12,5787.43,185.35
60,53.46,4833.44,209.63
61,55.78,5622.06,182.42
62,60.06,6777.23,215.84
63,58.36,5753.16,173.8
64,53.0,4650.08,192.35
65,56.39,6514.71,220.56
66,58.68,5505.24,200.71
67,51.05,4371.19,222.6
68,58.0,8396.24,239.45
69,54.54,7051.58,239.02
7,52.31,4897.73,170.34
70,59.66,7544.91,200.47
71,52.67,5014.91,204.94
72,54.67,5528.41,195.39
73,50.46,4463.48,181.64
74,57.61,7363.19,223.32
75,58.07,7116.57,201.83
76,49.52,4508.83,234.98
77,55.12,5557.38,166.33
78,49.83,4145.34,182.4
79,55.01,6199.55,214.31
8,62.36,10076.13,226.37
80,58.17,6566.49,207.94
81,47.85,3506.73,146.02
82,50.39,4631.64,191.81
83,52.69,5345.78,161.13
84,56.99,6426.26,218.54
85,55.23,5461.61,177.02
86,50.17,4288.41,178.06
87,60.08,6889.71,230.33
88,61.07,7895.69,236.67
89,52.05,4672.61,192.95
9,52.47,5385.48,223.51
90,61.82,7727.79,211.27
91,55.21,5560.64,195.58
92,61.18,7957.32,209.47
93,45.33,3373.68,203.16
94,59.8,9465.39,211.33
95,58.21,6301.99,198.11
96,59.29,5447.94,145.71
97,54.59,5697.22,175.47
98,59.11,8358.89,234.61
99,53.0,4216.57,157.27
1,56.83,5609.48,179.38
10,49.48,4142.16,171.88
100,53.6,5076.95,175.13
11,59.88,6866.95,175.74
12,44.87,3936.53,223.49
13,52.02,4980.93,193.36
14,56.43,6558.72,203.71
15,65.87,9634.97,256.54
16,51.46,4684.92,186.91
17,54.86,5608.49,193.05
18,59.22,6687.39,196.23
19,53.21,4841.51,175.46
2,56.48,6795.75,229.0
20,44.64,2881.34,156.27
21,54.88,5403.53,156.37
22,55.3,5394.94,181.83
23,50.4,3939.13,183.3
24,52.58,4775.26,184.2
25,62.1,7510.67,155.96
26,58.1,6815.94,204.26
27,54.71,5981.29,219.46
28,54.79,4838.57,185.05
29,57.25,7561.23,243.32
3,51.65,5294.69,196.81
30,52.58,5438.39,187.02
31,54.93,5231.02,192.2
32,57.34,6029.91,193.0
33,53.25,5433.99,200.43
34,52.91,4392.26,162.99
35,58.82,6864.62,199.91
36,58.82,5369.93,179.38
37,51.6,4549.39,183.81
38,51.0,4277.42,172.91
39,52.29,4251.91,183.7
4,51.1,4668.75,158.5
40,55.09,7275.09,191.3
41,44.85,3197.32,150.79
42,53.71,5567.75,186.9
43,58.33,7548.46,230.5
44,55.99,5902.18,225.52
45,57.34,5763.15,195.39
46,53.12,5457.91,153.31
47,57.01,5696.12,162.94
48,57.05,6225.24,197.56
49,53.05,4102.9,169.75
5,60.02,7446.76,224.27
50,54.33,4837.35,183.83
51,54.76,5984.5,214.13
52,58.65,6032.39,223.28
53,60.57,6954.78,218.82
54,53.03,5672.0,221.8
55,55.8,5793.81,215.74
56,56.06,6331.54,227.32
57,54.68,5434.07,217.27
58,57.53,7123.48,232.52
59,56.8,6320.99,214.73
6,55.12,5787.43,185.35
60,53.46,4833.44,209.63
61,55.78,5622.06,182.42
62,60.06,6777.23,215.84
63,58.36,5753.16,173.8
64,53.0,4650.08,192.35
65,56.39,6514.71,220.56
66,58.68,5505.24,200.71
67,51.05,4371.19,222.6
68,58.0,8396.24,239.45
69,54.54,7051.58,239.02
7,52.31,4897.73,170.34
70,59.66,7544.91,200.47
71,52.67,5014.91,204.94
72,54.67,5528.41,195.39
73,50.46,4463.48,181.64
74,57.61,7363.19,223.32
75,58.07,7116.57,201.83
76,49.52,4508.83,234.98
77,55.12,5557.38,166.33
78,49.83,4145.34,182.4
79,55.01,6199.55,214.31
8,62.36,10076.13,226.37
80,58.17,6566.49,207.94
81,47.85,3506.73,146.02
82,50.39,4631.64,191.81
83,52.69,5345.78,161.13
84,56.99,6426.26,218.54
85,55.23,5461.61,177.02
86,50.17,4288.41,178.06
87,60.08,6889.71,230.33
88,61.07,7895.69,236.67
89,52.05,4672.61,192.95
9,52.47,5385.48,223.51
