file,TTR,Yules,MTLD
1,47.85,3811.54,163.96
10,51.8,4362.33,145.62
100,48.56,3706.05,141.18
11,48.03,3712.47,156.53
12,50.23,3932.43,168.06
13,49.41,3681.26,162.27
14,48.89,3271.25,137.72
15,52.02,3797.8,122.19
16,52.08,4559.48,145.3
17,51.07,4068.21,179.01
18,49.81,3868.23,144.06
19,45.58,3185.4,184.42
2,49.35,4118.49,171.91
20,42.49,2314.25,138.13
21,51.42,4759.38,173.11
22,61.13,6952.05,163.4
23,51.24,3918.61,169.75
24,48.89,3717.49,160.12
25,51.83,4575.33,199.83
26,56.9,5914.95,177.88
27,50.82,3917.67,160.98
28,53.84,4483.05,192.18
29,46.89,2791.89,122.11
3,52.81,4466.69,172.63
30,49.41,3853.82,172.69
31,56.24,4855.87,140.82
32,54.5,5004.25,143.68
33,58.58,5145.93,177.03
34,46.41,3264.57,180.07
35,44.07,2541.58,141.23
36,46.62,3536.49,138.22
37,51.8,4676.82,226.34
38,51.1,4134.59,167.29
39,49.75,3978.94,146.54
4,48.51,3816.43,190.66
40,50.07,3587.76,122.34
41,50.24,4604.01,174.35
42,52.48,4624.35,150.43
43,50.54,3733.75,160.07
44,54.39,4704.5,161.59
45,50.77,4123.47,166.09
46,55.25,5176.25,233.96
47,51.96,4690.11,193.28
48,52.83,4826.13,168.06
49,52.82,3961.27,130.97
5,54.1,5628.74,180.72
50,50.99,4303.86,160.94
51,58.33,5832.39,150.24
52,47.34,3041.05,172.34
53,48.98,3596.51,138.33
54,48.01,3185.67,136.16
55,49.37,3853.09,153.93
56,59.78,6153.34,187.97
57,52.34,4444.22,150.62
58,45.78,3055.89,162.71
59,49.93,3491.24,133.18
6,48.29,4128.91,149.94
60,61.9,7394.21,193.2
61,54.78,5545.03,174.58
62,49.07,4002.07,184.8
63,55.74,6235.11,228.7
64,54.31,4736.18,177.77
65,45.75,3177.82,155.56
66,49.88,4549.92,178.22
67,53.58,4741.13,162.98
68,65.09,8096.65,221.17
69,45.13,3604.69,162.59
7,49.93,3313.41,134.28
70,64.25,8842.87,237.75
71,48.19,2877.54,150.74
72,47.28,2896.11,159.43
73,47.34,3934.58,183.41
74,45.28,3851.56,155.87
75,54.13,4345.21,168.22
76,50.69,3467.12,137.13
77,56.46,5858.01,205.15
78,53.95,4144.2,150.13
79,58.17,5745.55,153.79
8,58.47,6144.81,162.96
80,47.29,3736.07,176.79
81,50.21,3584.33,141.6
82,43.48,3167.16,193.76
83,46.34,3363.21,175.2
84,49.87,4551.04,206.78
85,43.08,2369.82,134.65
86,54.27,5219.16,161.66
87,58.41,6217.46,176.22
88,52.92,5243.02,156.55
89,56.29,6272.75,181.72
9,55.34,5311.12,177.19
90,55.72,5150.39,147.32
91,53.37,4927.79,183.73
92,50.22,3986.33,149.12
93,45.61,3500.85,177.43
94,55.27,4513.0,146.37
95,54.16,5071.07,159.65
96,49.61,3628.12,175.26
97,54.53,4116.22,154.35
98,56.45,5312.25,180.87
99,56.06,5885.09,248.8
1,47.85,3811.54,163.96
10,51.8,4362.33,145.62
100,48.56,3706.05,141.18
11,48.03,3712.47,156.53
12,50.23,3932.43,168.06
13,49.41,3681.26,162.27
14,48.89,3271.25,137.72
15,52.02,3797.8,122.19
16,52.08,4559.48,145.3
17,51.07,4068.21,179.01
18,49.81,3868.23,144.06
19,45.58,3185.4,184.42
2,49.35,4118.49,171.91
20,42.49,2314.25,138.13
21,51.42,4759.38,173.11
22,61.13,6952.05,163.4
23,51.24,3918.61,169.75
24,48.89,3717.49,160.12
25,51.83,4575.33,199.83
26,56.9,5914.95,177.88
27,50.82,3917.67,160.98
28,53.84,4483.05,192.18
29,46.89,2791.89,122.11
3,52.81,4466.69,172.63
30,49.41,3853.82,172.69
31,56.24,4855.87,140.82
32,54.5,5004.25,143.68
33,58.58,5145.93,177.03
34,46.41,3264.57,180.07
35,44.07,2541.58,141.23
36,46.62,3536.49,138.22
37,51.8,4676.82,226.34
38,51.1,4134.59,167.29
39,49.75,3978.94,146.54
4,48.51,3816.43,190.66
40,50.07,3587.76,122.34
41,50.24,4604.01,174.35
42,52.48,4624.35,150.43
43,50.54,3733.75,160.07
44,54.39,4704.5,161.59
45,50.77,4123.47,166.09
46,55.25,5176.25,233.96
47,51.96,4690.11,193.28
48,52.83,4826.13,168.06
49,52.82,3961.27,130.97
5,54.1,5628.74,180.72
50,50.99,4303.86,160.94
51,58.33,5832.39,150.24
52,47.34,3041.05,172.34
53,48.98,3596.51,138.33
54,48.01,3185.67,136.16
55,49.37,3853.09,153.93
56,59.78,6153.34,187.97
57,52.34,4444.22,150.62
58,45.78,3055.89,162.71
59,49.93,3491.24,133.18
6,48.29,4128.91,149.94
60,61.9,7394.21,193.2
61,54.78,5545.03,174.58
62,49.07,4002.07,184.8
63,55.74,6235.11,228.7
64,54.31,4736.18,177.77
65,45.75,3177.82,155.56
66,49.88,4549.92,178.22
67,53.58,4741.13,162.98
68,65.09,8096.65,221.17
69,45.13,3604.69,162.59
7,49.93,3313.41,134.28
70,64.25,8842.87,237.75
71,48.19,2877.54,150.74
72,47.28,2896.11,159.43
73,47.34,3934.58,183.41
74,45.28,3851.56,155.87
75,54.13,4345.21,168.22
76,50.69,3467.12,137.13
77,56.46,5858.01,205.15
78,53.95,4144.2,150.13
79,58.17,5745.55,153.79
8,58.47,6144.81,162.96
80,47.29,3736.07,176.79
81,50.21,3584.33,141.6
82,43.48,3167.16,193.76
83,46.34,3363.21,175.2
84,49.87,4551.04,206.78
85,43.08,2369.82,134.65
86,54.27,5219.16,161.66
87,58.41,6217.46,176.22
88,52.92,5243.02,156.55
89,56.29,6272.75,181.72
9,55.34,5311.12,177.19
90,55.72,5150.39,147.32
91,53.37,4927.79,183.73
92,50.22,3986.33,149.12
93,45.61,3500.85,177.43
94,55.27,4513.0,146.37
95,54.16,5071.07,159.65
96,49.61,3628.12,175.26
97,54.53,4116.22,154.35
98,56.45,5312.25,180.87
99,56.06,5885.09,248.8
