file,TTR,Yules,MTLD
1,53.51,4996.3,156.98
10,49.88,3880.57,149.61
100,56.88,6395.17,198.63
11,46.6,3531.28,166.74
12,44.68,3470.53,156.96
13,61.96,7474.18,215.5
14,58.94,5797.38,157.68
15,48.97,3878.11,166.25
16,57.75,5925.11,171.07
17,52.52,4657.62,186.77
18,54.77,4608.73,181.44
19,62.59,7977.87,203.83
2,52.66,4754.89,168.96
20,50.11,4352.69,178.67
21,51.63,5142.51,196.68
22,62.62,7773.02,215.14
23,48.06,3300.71,173.2
24,57.35,6499.34,221.12
25,52.21,3991.08,154.58
26,52.42,4782.13,179.53
27,48.76,3845.08,165.98
28,54.9,5285.26,216.61
29,56.25,5297.84,191.44
3,53.11,5458.81,208.01
30,53.73,5287.59,183.9
31,57.92,5419.72,126.93
32,64.64,9267.21,202.56
33,51.61,4162.73,179.2
34,51.27,4245.01,137.71
35,52.57,5359.85,152.88
36,49.21,2992.7,115.97
37,50.73,3836.6,141.18
38,52.02,4618.0,195.65
39,52.22,3724.19,119.94
4,55.7,5195.59,177.87
40,54.49,5690.13,178.79
41,54.65,5194.21,157.36
42,55.2,5968.34,162.24
43,51.62,4406.23,164.74
44,55.88,5723.55,200.0
45,49.65,4323.28,170.72
46,57.74,6601.67,229.33
47,58.85,5813.93,158.29
48,52.98,4936.15,177.86
49,60.16,6898.94,178.9
5,53.79,5005.17,196.48
50,52.71,5016.55,191.08
51,49.54,4353.0,186.12
52,59.8,7221.49,207.45
53,53.11,5035.42,165.23
54,60.38,7991.39,252.59
55,63.0,7681.11,186.26
56,63.14,7291.42,181.81
57,56.55,6271.9,231.82
58,61.18,6559.57,190.09
59,54.28,5021.62,176.44
6,51.77,4884.57,205.76
60,55.65,5350.95,181.7
61,60.37,6303.44,177.33
62,58.37,6479.5,193.77
63,50.41,3930.59,172.6
64,64.85,8269.53,210.01
65,49.32,3698.94,143.55
66,54.22,5531.04,193.79
67,53.38,4851.16,188.34
68,52.13,5640.42,177.33
69,61.17,7427.02,187.15
7,53.88,5288.64,219.77
70,56.19,6583.95,201.48
71,50.11,4068.61,176.5
72,50.16,4301.62,179.45
73,53.95,5294.4,206.28
74,41.55,2968.1,204.93
75,58.34,6512.39,209.58
76,52.81,5235.06,189.93
77,53.4,5327.46,206.95
78,60.65,6295.88,203.64
79,52.71,5696.02,216.75
8,60.88,7500.49,201.57
80,62.79,7753.03,209.02
81,50.0,3755.04,170.17
82,53.94,5710.06,187.26
83,55.4,5597.77,218.21
84,49.44,4168.07,188.87
85,47.69,3489.66,189.04
86,52.35,5672.02,229.91
87,49.35,4162.19,182.94
88,52.08,5660.97,180.22
89,64.43,9161.72,249.5
9,51.5,4467.07,158.42
90,56.61,6043.33,185.94
91,55.56,6155.13,224.26
92,53.35,5128.86,168.26
93,49.83,3780.99,152.94
94,49.39,4532.52,171.31
95,59.6,5807.76,142.82
96,59.77,5682.99,157.75
97,48.55,3410.41,159.31
98,62.78,7081.49,176.05
99,49.42,4406.27,213.75
