persona,first_order_coherence,second_order_coherence,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,entropy,perplexity,per_word_perplexity,pos_prop_PROPN,pos_prop_VERB,pos_prop_DET,pos_prop_NOUN,pos_prop_ADP,pos_prop_ADJ,pos_prop_PRON,pos_prop_SCONJ,pos_prop_NUM,pos_prop_AUX,pos_prop_PUNCT,pos_prop_ADV,pos_prop_CCONJ,pos_prop_PART,pos_prop_SYM,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_INTJ,pos_prop_X
human,0.7787311462064584,0.7626903530048288,True,345.0,0.8678304239401496,4.5448877805486285,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359364201796821,0.01612531674729325,0.0,0.0,0.0,0.0,0.0165860400829302,0.0230361667818475,0.01520387007601935,0.0012468827930174563,47.51843165467628,13.537755395683451,15.220704757020467,17.566043165467626,16.35884892086331,12.958273381294962,58.879136690647485,8.64,5.071942446043166,4.0,2.768372993774279,27.8,27.0,13.594116374373144,1.5496402877697841,1.0,0.8992702157676656,695,319,0.4589928057553957,3645,25,23.428288295691335,14954652549.48158,18646698.93950322,0.06359102244389027,0.09850374064837905,0.1059850374064838,0.23192019950124687,0.1172069825436409,0.06234413965087282,0.046134663341645885,0.022443890274314215,0.016209476309226933,0.04114713216957606,0.12094763092269327,0.017456359102244388,0.03117206982543641,0.02369077306733167,0.0012468827930174563,3.193451042426182,1.2480954467670324,0.4430568631670744,0.10636214491426088,14,2,,97,,
continue,0.8284378133971115,0.8391192257404327,True,309.0,0.9050802139037433,5.068181818181818,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03550561797752809,0.02247191011235955,0.013932584269662922,0.0,0.0,0.0,0.00943820224719101,0.006741573033707865,0.014157303370786517,0.01871657754010695,55.029054585152835,11.27287772925764,12.745084868956482,14.109053857350801,15.565065502183408,14.798078602620091,56.23333333333333,7.633333333333334,5.423580786026201,5.0,2.696630597833853,22.9,22.0,6.685057965343306,1.519650655021834,1.0,0.8336838123166269,687,384,0.5589519650655022,3791,30,16.65207337979931,17057036.590311423,22803.524853357518,0.02807486631016043,0.1270053475935829,0.07754010695187166,0.2553475935828877,0.1270053475935829,0.07620320855614973,0.04679144385026738,0.022727272727272728,0.009358288770053475,0.040106951871657755,0.0748663101604278,0.05080213903743316,0.03208556149732621,0.013368983957219251,,2.5943527763192713,0.3751965142783046,0.4891167279371916,0.07830050245412067,25,6,0.01871657754010695,97,,
create,0.780552925541997,0.7747201351892381,True,218.0,0.9039087947882736,5.255700325732899,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071732199787460146,0.0,0.0,0.014657980456026058,49.975152290165084,12.348277144850034,14.046536153873902,15.745826551964662,17.38009067658684,16.212121212121207,58.79415639773696,8.391304347826088,5.650623885918003,5.0,2.7767568130185887,24.391304347826086,26.0,8.899140800904823,1.5614973262032086,1.0,0.8360508371032318,561,357,0.6363636363636364,3227,23,12.479134498871119,262796.30329159705,428.0070086182362,0.05374592833876222,0.13843648208469056,0.07166123778501629,0.23452768729641693,0.11074918566775244,0.10260586319218241,0.04071661237785016,0.024429967426710098,0.006514657980456026,0.03257328990228013,0.07654723127035831,0.05211726384364821,0.019543973941368076,0.021172638436482084,,2.630999435492474,0.4817452691496181,0.47493244306004717,0.0575891506572443,18,4,0.014657980456026058,97,,
explain,0.8098878356126639,0.8158539390563965,True,238.0,0.8894154818325435,5.1753554502369665,633.0,0.0,0.0,0.0,0.0,0.00026253609871357313,0.0,0.028878970858493044,0.0,0.0,0.0,0.0,0.0,0.006300866369125755,0.024940929377789446,0.017327382515095826,0.022116903633491312,45.209209314393206,12.207339949406503,14.448306587821328,15.88482843614192,15.605860413828893,15.835446584938701,57.9257313355387,7.777777777777778,5.618213660245184,5.0,2.9421659992187315,21.14814814814815,21.0,5.6483606517401315,1.6567425569176883,1.0,0.9891898551086412,571,292,0.51138353765324,3274,27,15.22620524060803,4098801.7817500993,6475.20028712496,0.09004739336492891,0.14218009478672985,0.07582938388625593,0.23064770932069512,0.11532385466034756,0.06003159557661927,0.0315955766192733,0.018957345971563982,0.01579778830963665,0.04107424960505529,0.08530805687203792,0.018957345971563982,0.030015797788309637,0.02527646129541864,0.001579778830963665,2.608021174847673,0.38312669291179013,0.5020373235077725,0.06345429168449263,14,2,0.017377567140600316,97,,
human,0.7184904776513577,0.6859363685262964,True,358.0,0.8582677165354331,4.425196850393701,889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016208146726380893,0.016208146726380893,0.0,0.0,0.0,0.0,0.007677543186180422,0.0,0.0,0.0022497187851518562,69.11571239856578,7.457030706602328,10.149514517676288,10.089763567249886,9.869377510581508,11.715085865257592,41.736958455773326,4.061224489795919,5.005284015852047,5.0,2.555585191753007,15.448979591836734,14.0,8.337427843189998,1.4425363276089829,1.0,0.75783039605329,757,389,0.5138705416116248,3934,49,26.041023672668917,203926133119.72372,229388226.23141026,0.11136107986501688,0.1203599550056243,0.09336332958380203,0.17772778402699663,0.09448818897637795,0.06299212598425197,0.05174353205849269,0.013498312710911136,0.019122609673790775,0.05511811023622047,0.13385826771653545,0.020247469066366704,0.021372328458942633,0.024746906636670417,,2.5579795242611456,0.7409250744673618,0.4611256756069445,0.07886163841836864,16,4,,83,,
continue,0.8185097963913627,0.8159568445249037,True,206.0,0.8951048951048951,5.277972027972028,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007685738684884714,0.01964133219470538,0.0,0.019230769230769232,43.92081896551727,12.536561302681992,14.06817628641468,15.44329501915709,16.225229885057466,16.271724137931034,61.979885057471265,8.75,5.685823754789272,5.0,2.852865433150606,21.75,21.0,6.622247856027942,1.6647509578544062,1.0,0.9058467151297416,522,303,0.5804597701149425,3019,24,12.779318598141478,354803.2175978352,620.2853454507608,0.09090909090909091,0.11013986013986014,0.08216783216783216,0.22377622377622378,0.1451048951048951,0.09965034965034965,0.027972027972027972,0.013986013986013986,0.01048951048951049,0.017482517482517484,0.08391608391608392,0.03496503496503497,0.03496503496503497,0.006993006993006993,,2.6731786678791436,0.4305611892319927,0.4778520144146306,0.06726418852727678,16,4,0.017482517482517484,83,,
create,0.8219135024330833,0.8168120696431115,True,218.0,0.9024,5.44,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008121827411167513,0.0,0.0,0.0,0.0,0.0,0.006852791878172589,0.004568527918781726,0.0,0.016,38.06839564455953,14.117042564532095,15.508309007532503,17.496109038300467,18.558402497525314,17.43299474605953,64.93116576562856,9.956521739130435,5.854640980735551,6.0,3.062951657648984,24.82608695652174,24.0,9.867170749568198,1.6970227670753064,1.0,0.9872966670477632,571,353,0.6182136602451839,3400,23,13.143295096799406,510576.16217930993,816.9218594868959,0.048,0.12,0.0768,0.264,0.1408,0.1056,0.0224,0.0192,0.0032,0.0336,0.08,0.0336,0.024,0.0128,,2.6922894196896996,0.5406710239643461,0.5128518732699913,0.06434920855000961,17,6,0.016,83,,
explain,0.819091284647584,0.827848284475265,True,344.0,0.8968824940047961,5.08273381294964,834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09498893137452204,0.05131817267055746,0.0394445562487422,0.0,0.0,0.0,0.006641175286778024,0.006037432078889113,0.011269873213926343,0.019184652278177457,50.79710352865527,11.850352061731371,13.511582668593114,14.921887308094206,15.936722530343218,15.291299734748009,60.514267341853554,8.606060606060606,5.507957559681698,5.0,2.8611669297317013,22.848484848484848,21.0,7.6954185981846095,1.570291777188329,1.0,0.8198260601965993,754,334,0.44297082228116713,4239,33,20.859064614264632,1145451379.6048663,1373442.9012048757,0.08752997601918465,0.11990407673860912,0.08633093525179857,0.21342925659472423,0.14148681055155876,0.0815347721822542,0.0407673860911271,0.02158273381294964,0.005995203836930456,0.03237410071942446,0.08633093525179857,0.023980815347721823,0.026378896882494004,0.017985611510791366,,2.822780356257007,0.6566978340028732,0.5002908897442191,0.056206891049323304,21,5,0.014388489208633094,83,,
human,0.7518199571343356,0.7345159784668968,True,391.0,0.8448883666274971,4.229142185663925,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046146746654360865,0.0,0.0,0.0011750881316098707,68.63064113355782,7.802729455044272,10.63711953065702,10.797368749220603,9.182979797979797,10.288998628257882,41.80823668786631,4.181818181818182,4.7407407407407405,4.0,2.5978782098889157,16.568181818181817,13.5,9.418062257928373,1.4348422496570645,1.0,0.8107262801433686,729,360,0.49382716049382713,3599,44,24.883638026213692,64095373771.28633,75317713.00973716,0.008225616921269096,0.10340775558166862,0.07638072855464159,0.18683901292596944,0.09400705052878966,0.09400705052878966,0.08225616921269095,0.0282021151586369,0.03407755581668625,0.06110458284371328,0.13160987074030553,0.04465334900117509,0.03055229142185664,0.021151586368977675,0.0011750881316098707,2.741876907567885,0.9128539060490799,0.4545479772900668,0.07558437908572503,26,8,,68,0.0023501762632197414,
continue,0.8446035718917847,0.8417674352725347,True,222.0,0.9017543859649123,5.4070175438596495,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006696428571428571,0.0,0.0,0.014035087719298246,35.96966595304889,13.220393474088297,14.772240535888997,16.307131256459474,15.99944190166839,16.941957773512474,61.88107190314484,8.384615384615385,5.81957773512476,6.0,3.0963542140106255,20.03846153846154,18.5,6.908638790733557,1.779270633397313,1.0,1.0638142749533006,521,313,0.6007677543186181,3082,26,13.027523241836278,454759.16123835294,797.8230898918473,0.0017543859649122807,0.12631578947368421,0.05789473684210526,0.22807017543859648,0.10701754385964912,0.12982456140350876,0.07894736842105263,0.02280701754385965,,0.0456140350877193,0.08421052631578947,0.05263157894736842,0.03333333333333333,0.017543859649122806,,2.6358940081260256,0.44814754810841567,0.4358248429702019,0.08242449886121625,15,6,0.014035087719298246,68,,
