persona,pos_prop_ADJ,pos_prop_NOUN,pos_prop_ADP,pos_prop_DET,pos_prop_PUNCT,pos_prop_ADV,pos_prop_NUM,pos_prop_VERB,pos_prop_PRON,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_AUX,pos_prop_PART,pos_prop_PROPN,pos_prop_X,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,entropy,perplexity,per_word_perplexity,first_order_coherence,second_order_coherence,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_INTJ
human,0.07232267037552156,0.21835883171070933,0.13212795549374132,0.1349095966620306,0.09318497913769123,0.10292072322670376,0.02642559109874826,0.05702364394993046,0.013908205841446454,0.03477051460361613,0.011126564673157162,0.03477051460361613,0.012517385257301807,0.05146036161335188,0.004172461752433936,3.1859298366700783,0.7892913476138586,0.42939735350989283,0.0691662466014122,6.651840490797546,5.0,4.5168341890223545,18.11111111111111,17.5,7.198679577139198,2.1319018404907975,2.0,1.422138954212505,652,363,0.5567484662576687,4404,36,True,317.0,0.8887343532684284,6.125173852573018,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011323701679031628,0.011323701679031628,0.0,0.0,0.0,0.0,0.011714174150722375,0.011128465443186256,0.0,0.027816411682892908,33.10416666666666,16.62977505112475,16.694784249851413,19.698432174505793,18.955724267212,21.678466257668706,57.83503749147921,7.194444444444445,11.556813173119364,104486.50184737777,145.32197753460053,0.6266723960638046,0.6223419191425338,26,5,,97,
continue,0.08720271800679502,0.22197055492638731,0.10532276330690826,0.11778029445073612,0.08946772366930918,0.08154020385050963,,0.08493771234428087,0.010192525481313703,0.06908267270668177,0.010192525481313703,0.03737259343148358,0.011325028312570781,0.04869762174405436,0.004530011325028313,2.545179582925783,0.5678813825184863,0.48483085270936394,0.08346325083580032,6.766169154228856,6.0,4.24293967266967,15.764705882352942,15.0,5.504323560136275,2.2997512437810945,2.0,1.5221253594110224,804,394,0.4900497512437811,5519,51,True,365.0,0.8901472253680635,6.250283125707814,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008905852417302799,0.0,0.0,0.0,0.0,0.0,0.008110687022900763,0.017811704834605598,0.030534351145038167,0.03397508493771234,25.747058823529414,17.695299970734563,16.466839953186355,20.136728124085455,18.32100965759438,22.107462686567164,57.30699443956687,6.549019607843137,13.549368602340687,766330.3348787781,867.871273928401,0.6909935992956161,0.6777895241975784,25,6,0.020385050962627407,97,
create,0.10893246187363835,0.2494553376906318,0.10457516339869281,0.15577342047930284,0.10239651416122005,0.05010893246187364,,0.06100217864923747,0.020697167755991286,0.058823529411764705,0.0054466230936819175,0.023965141612200435,0.008714596949891068,0.049019607843137254,0.0010893246187363835,2.7416862217854514,0.8193706398493802,0.45010409191688733,0.10321462502722051,6.502427184466019,5.0,3.860113929104784,17.166666666666668,17.0,7.17150999131672,2.2063106796116503,2.0,1.385135716102169,824,350,0.42475728155339804,5452,48,False,380.0,0.8965141612200436,5.938997821350762,918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618251313903488,0.2283803153368371,0.1522535435578914,0.13792005096352922,0.12294951425386208,0.10543080108297499,0.019111323459149548,0.011148272017837236,0.011466794075489728,0.014161220043572984,30.39066024639945,17.139466019417473,16.90203249003276,20.410355987055016,17.779765372168285,20.709999999999997,56.97249190938511,6.833333333333333,14.806284346833607,2693317.725523845,2933.897304492206,0.6037948771994165,0.575298981498117,19,5,,97,
explain,0.07608695652173914,0.21521739130434783,0.11413043478260869,0.13695652173913042,0.10217391304347827,0.09130434782608696,0.005434782608695652,0.06630434782608696,0.02717391304347826,0.03152173913043478,0.01847826086956522,0.04891304347826087,0.009782608695652175,0.05217391304347826,0.004347826086956522,3.2157891444389612,0.9721839172765194,0.44090103942784964,0.06968193003081954,6.677966101694915,6.0,4.247252207156949,17.956521739130434,17.0,6.296847112156625,2.2021791767554477,2.0,1.366866690284569,826,338,0.4092009685230024,5610,46,False,413.0,0.8956521739130435,6.0978260869565215,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2802547770700637,0.224328103153643,0.18114028274040703,0.1687121329812024,0.13577753611931023,0.13577753611931023,0.01708870591890632,0.008699704831443219,0.014913779711045518,0.015217391304347827,30.17867845370091,17.39875776397515,17.571510508787924,21.419896831245396,19.00148120854827,21.818014527845026,60.450468470365294,7.630434782608695,13.85179045173479,1036946.040614394,1127.1152615373849,0.6727462973859575,0.6519656343893572,51,14,,97,
human,0.07783251231527094,0.22364532019704433,0.13596059113300493,0.12315270935960591,0.10837438423645321,0.06699507389162561,0.035467980295566505,0.060098522167487685,0.027586206896551724,0.03251231527093596,0.006896551724137931,0.05123152709359606,0.009852216748768473,0.03251231527093596,0.007881773399014778,3.1813837937426195,1.0809171348679223,0.42632225050108535,0.08715713337092817,6.300110741971207,5.0,4.197197555376053,18.06,16.0,10.593224249490802,2.0930232558139537,2.0,1.3937791096679035,903,479,0.530454042081949,5801,50,True,430.0,0.858128078817734,5.715270935960591,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006603081438004402,0.004402054292002935,0.0,0.024630541871921183,35.983538410375786,16.151074418604654,16.08079161924418,18.60827464008859,17.273521594684382,19.6056699889258,53.829656699889256,6.46,16.77982239879699,19381361.189893078,19094.937132899584,0.5562645118987682,0.5031399038659098,20,2,,83,
continue,0.08729281767955802,0.22983425414364642,0.1005524861878453,0.11712707182320442,0.11049723756906077,0.07403314917127071,0.004419889502762431,0.08508287292817679,0.019889502762430938,0.04640883977900553,0.013259668508287293,0.05414364640883978,0.020994475138121547,0.01878453038674033,0.0011049723756906078,2.9302292153870493,0.6069408742101347,0.4859445011662305,0.07542551033113919,6.586335403726708,5.0,4.280716502608308,16.428571428571427,15.0,5.310751512983173,2.2186335403726707,2.0,1.4708431253018501,805,374,0.4645962732919255,5402,49,True,385.0,0.8685082872928177,5.969060773480663,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05131941071717662,0.04824348389185689,0.038206248988181965,0.0,0.0,0.0,0.007285089849441476,0.006475635421725757,0.009713453132588635,0.027624309392265192,32.22576530612247,16.997018633540375,16.338939514543696,19.59006211180124,17.805925465838506,21.12591304347826,56.80124223602485,6.63265306122449,14.700614614753999,2423236.5325811496,2677.6094282664635,0.6756372582167387,0.6683387331506039,21,11,0.016574585635359115,83,
create,0.0852575488454707,0.21847246891651864,0.08880994671403197,0.1492007104795737,0.0941385435168739,0.07104795737122557,0.0053285968028419185,0.08170515097690942,0.037300177619893425,0.04440497335701599,0.012433392539964476,0.0497335701598579,0.019538188277087035,0.021314387211367674,0.0017761989342806395,2.8667948303785455,0.7106866217920689,0.45465599082822017,0.07328832209810653,6.233333333333333,5.0,3.913083467321164,17.0,17.5,6.434283176858165,2.056862745098039,2.0,1.3071080039928866,510,288,0.5647058823529412,3232,30,True,263.0,0.8827708703374778,5.7406749555950265,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011824778285407149,0.0,0.0,0.0,0.0,0.0,0.00806234883095942,0.0,0.0,0.028419182948490232,39.88181818181819,15.31098039215686,15.292465652647298,17.46666666666667,16.429000000000002,19.110823529411764,53.07843137254902,6.133333333333334,8.33578818123831,4170.487361555134,7.407615207025105,0.5764448067237591,0.5830509561513152,18,5,0.019538188277087035,83,
explain,0.08160779537149818,0.23264311814859928,0.10109622411693057,0.11814859926918392,0.09135200974421437,0.06942752740560293,0.010962241169305725,0.08891595615103533,0.029232643118148598,0.04141291108404385,0.02679658952496955,0.05602923264311815,0.008526187576126675,0.024360535931790498,0.00243605359317905,3.2301394882772514,0.7904541111531469,0.47181122880628085,0.07552113003452862,6.564343163538874,5.0,4.278102409410312,19.128205128205128,19.0,4.652980777068456,2.1662198391420913,2.0,1.3996307153454128,746,342,0.4584450402144772,4972,39,True,368.0,0.8842874543239951,6.056029232643118,821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09878713306380735,0.055545790121286694,0.03656178590261909,0.028476006328001405,0.0,0.0,0.016874670416593424,0.003515556336790297,0.007031112673580594,0.040194884287454324,30.874991121528495,17.43139410187668,17.30067935935376,20.51991475905685,19.05215886437066,21.250884718498657,57.46600673678421,7.333333333333333,12.564814358008256,286305.4016507389,348.7276512189268,0.7226118664992484,0.7382798718439566,27,3,0.01705237515225335,83,
human,0.05250596658711217,0.1766109785202864,0.09188544152744631,0.08949880668257756,0.15035799522673032,0.08949880668257756,0.002386634844868735,0.10739856801909307,0.06563245823389022,0.0477326968973747,0.011933174224343675,0.041766109785202864,0.028639618138424822,0.0405727923627685,0.003579952267303103,2.779573404746625,1.2042322212096177,0.42783552921177914,0.135159607031843,6.084269662921348,5.0,3.452515737262606,16.558139534883722,16.0,9.623861637499747,2.0070224719101124,2.0,1.26921461584243,712,424,0.5955056179775281,4458,43,True,377.0,0.8496420047732697,5.31980906921241,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007554296506137866,0.004532577903682719,0.0,0.021479713603818614,43.63055555555556,14.550539587143977,15.356773141898923,17.690671544290566,15.505979879801409,18.18786516853932,53.77724065847923,6.162790697674419,12.820940238096068,369882.34149742505,441.3870423596958,0.5915010518704852,0.5840142815339765,31,5,,68,
continue,0.09032258064516129,0.2,0.08494623655913978,0.0956989247311828,0.1053763440860215,0.0989247311827957,,0.1053763440860215,0.053763440860215055,0.04838709677419355,0.021505376344086023,0.060215053763440864,0.026881720430107527,0.007526881720430108,0.001075268817204301,2.7868844687183514,0.8689861959096045,0.4427296199274161,0.1218698820595751,6.4170673076923075,6.0,3.9153110515111136,16.0,16.0,6.99450333641188,2.25,2.0,1.5457758818545064,832,387,0.4651442307692308,5437,52,True,423.0,0.8946236559139785,5.846236559139785,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014663691424928276,0.0,0.0,0.0,0.0,0.0,0.007810009563277016,0.008925725215173734,0.0,0.005376344086021506,30.00052958961618,17.2,16.290370192383524,19.66923076923077,16.79438701923077,20.082355769230762,57.706730769230774,6.673076923076923,13.28493007374336,588263.3929306534,632.5412827211327,0.6882026601655811,0.6840457719564438,32,10,,68,
