persona,pos_prop_DET,pos_prop_NOUN,pos_prop_VERB,pos_prop_ADJ,pos_prop_PUNCT,pos_prop_PROPN,pos_prop_ADP,pos_prop_CCONJ,pos_prop_PART,pos_prop_AUX,pos_prop_ADV,pos_prop_SCONJ,pos_prop_X,pos_prop_NUM,pos_prop_SPACE,pos_prop_PRON,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,first_order_coherence,second_order_coherence,entropy,perplexity,per_word_perplexity,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,connectives,connectives_cap,file
human,0.13474240422721268,0.2311756935270806,0.06472919418758256,0.08850726552179657,0.11889035667107001,0.06340819022457067,0.11228533685601057,0.043593130779392336,0.015852047556142668,0.021136063408190225,0.05019815059445178,0.011889035667107,0.0066050198150594455,0.005284015852047556,0.013210039630118891,0.018494055482166448,True,279.0,0.8467635402906208,6.240422721268164,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009701492537313432,0.009701492537313432,0.0,0.0,0.0,0.0,0.007462686567164179,0.009328358208955223,0.007835820895522387,0.052840158520475564,0.6047996301504392,0.6283810640995701,12.649703373867276,311670.98460903246,411.71860582434937,3.3732437419480927,0.935622886355692,0.44204256208971715,0.07150649603038436,13.094676688632603,21.36939450152207,19.064744038993215,23.372317351598173,21.984848744292236,24.142039573820387,63.30141742770167,8.78125,7.038051750380517,5.0,4.939827994811809,20.53125,21.0,8.803352965631902,2.4535768645357687,2.0,1.8451607258072131,657,355,0.5403348554033486,4724,32,22,6,83
continue,0.13212435233160622,0.2344559585492228,0.08160621761658031,0.07901554404145078,0.10751295336787564,0.025906735751295335,0.11139896373056994,0.04015544041450777,0.018134715025906734,0.04145077720207254,0.08160621761658031,0.010362694300518135,0.0025906735751295338,0.010362694300518135,,0.023316062176165803,True,327.0,0.8847150259067358,6.237046632124352,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04796511627906977,0.01998546511627907,0.01998546511627907,0.01998546511627907,0.01998546511627907,0.01998546511627907,0.00436046511627907,0.012354651162790697,0.015261627906976744,0.034974093264248704,0.4855123458352561,0.4595630675296676,11.207457097296217,73677.82104694261,95.43759202971842,2.539394586481839,0.880940770558929,0.4933385115827515,0.10418707369713177,23.894043461389202,18.460495838393417,16.058660317350316,20.196333047006902,17.948536773199848,22.47831640058055,55.860934214033946,5.877551020408164,6.867924528301887,5.0,4.521675122133837,14.061224489795919,15.0,5.994583144143829,2.4208998548621192,2.0,1.756571341210884,689,356,0.5166908563134979,4815,49,21,7,83
create,0.13725490196078433,0.2281639928698752,0.08912655971479501,0.11942959001782531,0.0784313725490196,0.030303030303030304,0.1051693404634581,0.0481283422459893,0.017825311942959002,0.0392156862745098,0.044563279857397504,0.012477718360071301,,0.008912655971479501,0.017825311942959002,0.023172905525846704,True,234.0,0.8966131907308378,6.565062388591801,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019621919119406556,0.0,0.0,0.0,0.0,0.0,0.006460875807609476,0.02273271117492223,0.0,0.044563279857397504,0.635523984925105,0.598747358173132,8.806296210825156,6676.146379870702,11.900439179805172,3.140730062871502,1.0905838221076156,0.45381198115434923,0.11939931249810638,16.08729091995221,20.818590156888032,18.87037783179554,23.519994268930443,21.29627910308762,24.041624758220504,63.248728418941184,8.444444444444445,7.038684719535784,6.0,4.575019697584571,19.14814814814815,19.0,6.479047161905852,2.4526112185686655,2.0,1.662005136339949,517,277,0.5357833655705996,3683,27,15,5,83
explain,0.13471502590673576,0.22150259067357514,0.09585492227979274,0.09715025906735751,0.10621761658031088,0.034974093264248704,0.11139896373056994,0.04015544041450777,0.023316062176165803,0.03756476683937824,0.038860103626943004,0.023316062176165803,0.0038860103626943004,0.006476683937823834,,0.02461139896373057,True,322.0,0.8911917098445595,6.282383419689119,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667990612023831,0.03791298068243365,0.0,0.0,0.0,0.0,0.008665824155984835,0.009929590178732623,0.010832280194981043,0.03626943005181347,0.6983848995453602,0.6971903658575482,13.00701624831294,445528.3892425889,577.1093124904002,3.1925822158235495,0.7489916686949235,0.4719233797769816,0.06090648393138999,21.591001933107208,19.845781845919152,18.300320989616804,22.799389778794815,20.195729977116706,23.20150724637681,61.34630053394355,7.842105263157895,6.910144927536232,5.0,4.566486136097417,18.157894736842106,18.5,4.738011551548168,2.402898550724638,2.0,1.6853994507381993,690,313,0.45362318840579713,4850,38,15,3,83
human,0.128,0.23,0.046,0.104,0.13,0.036,0.122,0.044,0.004,0.036,0.072,0.004,0.01,0.008,0.012,0.014,True,178.0,0.838,6.374,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11947763267574327,0.10280633509308142,0.09391497638232843,0.09391497638232843,0.09391497638232843,0.09391497638232843,0.011114198388441235,0.014448457904973604,0.019171992220061128,0.062,0.4967051052341336,0.5867329335047139,7.499160755484577,1806.5256613284753,3.6130513226569505,3.7510804511870455,1.3241684685849255,0.4593076414256987,0.0678873165474894,6.4375,22.08816666666667,19.97928068152386,24.751111111111115,23.37576388888889,25.282685185185183,65.58148148148149,9.5,7.219907407407407,5.0,4.989829655552042,21.6,21.5,8.363013810822029,2.4791666666666665,2.0,1.8192721504512204,432,261,0.6041666666666666,3187,20,6,1,68
continue,0.1391812865497076,0.2409356725146199,0.0783625730994152,0.1111111111111111,0.10526315789473684,0.0023391812865497076,0.11578947368421053,0.03391812865497076,0.007017543859649123,0.03742690058479532,0.0783625730994152,0.014035087719298246,,0.004678362573099415,,0.031578947368421054,True,358.0,0.887719298245614,6.286549707602339,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07148686143300147,0.0680594091725151,0.056308144279418965,0.04977966378325445,0.017953321364452424,0.0,0.014689081116370165,0.029704586257548557,0.0277460421086992,0.028070175438596492,0.6289037614250961,0.6053332338730494,13.494721358737344,725576.1868911895,848.6271191709819,2.8708497984706014,0.85499377229812,0.4722137061830844,0.07145887771676515,20.007858750938027,18.414604366569325,17.417041784089545,21.883187317480186,19.24731748018356,23.00339869281046,60.06744541788346,7.127659574468085,6.908496732026144,6.0,4.424766124500285,16.27659574468085,17.0,5.6670083955934425,2.3437908496732027,2.0,1.5595302655179855,765,356,0.465359477124183,5375,47,20,8,68
create,0.14170506912442396,0.24193548387096775,0.07142857142857142,0.13940092165898618,0.11635944700460829,0.004608294930875576,0.10829493087557604,0.03917050691244239,0.01152073732718894,0.026497695852534562,0.06105990783410138,0.014976958525345621,,0.002304147465437788,,0.020737327188940093,True,331.0,0.8790322580645161,6.6981566820276495,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10965580261955528,0.10965580261955528,0.10965580261955528,0.10965580261955528,0.08955223880597014,0.08955223880597014,0.01279317697228145,0.02375875723423698,0.028480048735912276,0.056451612903225805,0.626166438630649,0.648883708697908,13.581182355946208,791102.131967312,911.4079861374562,3.269103376955525,0.9905402317163925,0.4821066386033017,0.09778230449634043,7.156339773559409,22.996089743589746,20.293766347859297,25.471374764595105,24.305215848181952,26.607874837027378,68.11129219180066,9.972222222222221,7.448500651890482,6.0,4.808146576554141,21.305555555555557,22.0,7.41926712629745,2.5658409387222947,2.0,1.717471016285003,767,354,0.46153846153846156,5814,36,19,8,68
explain,0.1378413524057217,0.23276983094928477,0.055916775032509754,0.10403120936280884,0.10923276983094929,0.0377113133940182,0.11833550065019506,0.04681404421326398,0.005201560468140442,0.04161248374512354,0.05721716514954486,0.013003901170351105,0.010403120936280884,0.0013003901170351106,0.015604681404421327,0.013003901170351105,False,301.0,0.8725617685305592,6.520156046814044,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199858757062147,0.1507768361581921,0.10699152542372882,0.028954802259887006,0.028954802259887006,0.028954802259887006,0.006355932203389831,0.027189265536723163,0.02842514124293785,0.05981794538361508,0.6709439436594645,0.6501492988960497,12.051619848542142,171376.78773806064,222.85668106379796,3.521583664057506,0.8389819354023722,0.4696988697475798,0.07071453656900856,6.978718637992841,22.704927372193925,20.174948723653436,24.966157328805885,23.54317911714771,25.230584795321636,65.92416525183927,9.67741935483871,7.206140350877193,5.0,4.9183292179449625,22.06451612903226,21.0,7.840899733884921,2.5160818713450293,2.0,1.8586069342351925,684,295,0.43128654970760233,5014,31,19,5,68
human,0.12439261418853255,0.24586977648202138,0.06997084548104957,0.08649173955296405,0.12633624878522837,0.05442176870748299,0.12050534499514091,0.03498542274052478,0.008746355685131196,0.0369290573372206,0.056365403304178816,0.004859086491739553,0.004859086491739553,0.001943634596695821,,0.023323615160349854,True,391.0,0.8542274052478134,6.391642371234208,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006707807888382077,0.0,0.0,0.0,0.0,0.0,0.012342366514623022,0.015427958143278776,0.015293801985511135,0.1360544217687075,0.5550871488451957,0.5895447776598228,16.662422753161927,17234482.875526924,16748.768586517905,3.3526618283459846,1.3539856194311044,0.45761481654057173,0.06096170996349718,4.267423273657272,22.515503772451094,18.094690926011104,22.800836838708243,21.577958647704257,25.395141884222472,60.97485032605551,7.549019607843137,7.29738933030647,6.0,5.2792704922315945,17.274509803921568,16.0,7.687724953182589,2.6583427922814984,2.0,2.302385177023777,881,445,0.5051078320090806,6577,51,18,6,6
continue,0.12179487179487179,0.23076923076923078,0.09134615384615384,0.11378205128205128,0.09775641025641026,0.003205128205128205,0.07371794871794872,0.04326923076923077,0.01282051282051282,0.07051282051282051,0.08493589743589744,0.014423076923076924,,,0.017628205128205128,0.02403846153846154,True,259.0,0.8846153846153846,6.548076923076923,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236921746649373,0.029399048854301772,0.029399048854301772,0.0,0.0,0.0,0.007133592736705577,0.005836575875486381,0.033073929961089495,0.052884615384615384,0.6860006162614534,0.6897283405996859,9.238624391765384,10286.878106297785,16.485381580605424,2.928623069500193,0.7263105047927958,0.46584372308349653,0.08617427260171365,15.481819192705416,20.608971371852473,18.338567127224334,23.74608713823007,20.522147111064676,24.449733570159854,65.04905443527322,8.029411764705882,7.149200710479573,6.0,4.202567755276581,16.558823529411764,16.5,4.532180208183074,2.520426287744227,2.0,1.60179467381776,563,286,0.5079928952042628,4086,34,14,2,6
