persona,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,first_order_coherence,second_order_coherence,entropy,perplexity,per_word_perplexity,pos_prop_ADV,pos_prop_VERB,pos_prop_PRON,pos_prop_ADP,pos_prop_PROPN,pos_prop_DET,pos_prop_NOUN,pos_prop_PUNCT,pos_prop_PART,pos_prop_CCONJ,pos_prop_AUX,pos_prop_SPACE,pos_prop_ADJ,pos_prop_SCONJ,pos_prop_NUM,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,connectives,connectives_cap,pos_prop_X,file
human,True,266.0,0.8333333333333334,5.376666666666667,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03469607315761162,0.028509951586874662,0.0,0.0,0.0,0.0,0.012910166756320602,0.004034427111350188,0.015330823023130715,0.04666666666666667,43.47745398773007,13.675557915057915,13.662883650711645,15.681930501930502,13.632335907335907,17.602934362934366,48.08513513513513,4.55,6.06949806949807,5.0,3.9503428494720114,12.95,12.5,7.2868031399235695,2.052123552123552,2.0,1.4582958426388155,518,281,0.5424710424710425,3226,40,0.48325971045937294,0.4685155909116331,8.829955208638976,6835.980615889774,11.393301026482956,0.10333333333333333,0.08,0.028333333333333332,0.075,0.04,0.14,0.19,0.13666666666666666,0.018333333333333333,0.023333333333333334,0.055,0.021666666666666667,0.06,0.02,0.008333333333333333,2.7534284536311855,1.4178633961205547,0.4311204337234086,0.12960653528532678,19,6,,97
continue,True,391.0,0.8991389913899139,5.733087330873309,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08659373261635453,0.045985536806972004,0.045985536806972004,0.045985536806972004,0.045985536806972004,0.026701279436306322,0.012979788614871129,0.009456703133691824,0.0,0.0024600246002460025,33.98707673337759,15.557279033990305,15.600638047754803,18.462035935096225,15.803765928420077,19.0500409276944,52.15781835070099,5.702127659574468,6.249658935879945,5.0,3.781067292449673,15.595744680851064,16.0,3.939216762348777,2.1241473396998636,2.0,1.4140701041065284,733,321,0.4379263301500682,4661,47,0.7080225724241008,0.7067480776045058,14.129203851461382,1368469.9535418134,1683.2348752051826,0.06519065190651907,0.07872078720787208,0.03075030750307503,0.10824108241082411,0.01968019680196802,0.16359163591635917,0.23493234932349324,0.0984009840098401,0.0036900369003690036,0.04428044280442804,0.05289052890528905,,0.07134071340713408,0.01968019680196802,0.0036900369003690036,2.9851570296472256,0.8092567992755837,0.46954258566432033,0.07365119548064203,31,3,0.004920049200492005,97
create,True,375.0,0.9041095890410958,6.589041095890411,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008301510874979247,0.0,0.0,0.05105853051058531,13.467388972323533,18.85036978665033,15.347525265043235,18.001237486501477,19.999557832063736,24.330809327846357,52.273326912412806,5.702127659574468,7.149519890260631,5.0,8.16804828591535,15.51063829787234,16.0,5.967544633622605,2.4060356652949246,2.0,2.8254704363444785,729,393,0.5390946502057613,5291,47,0.5723916156136472,0.5588334404759937,11.996940970947911,162257.6805096928,202.0643592897793,0.06724782067247821,0.07970112079701121,0.0323785803237858,0.09838107098381071,0.0186799501867995,0.14694894146948942,0.24408468244084683,0.09090909090909091,0.0112079701120797,0.039850560398505604,0.053549190535491904,,0.0958904109589041,0.014943960149439602,0.0037359900373599006,2.7900058631666433,0.9736585166288229,0.4388919421151717,0.10214241970320018,21,3,0.0024906600249066002,97
explain,True,353.0,0.8842767295597485,6.036477987421383,795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03932993445010925,0.009104151493080845,0.0,0.0,0.0,0.0,0.019664967225054626,0.022942461762563728,0.01747997086671522,0.03018867924528302,28.62155172413793,17.24559749303621,17.238542476582836,20.7733147632312,18.520793871866296,21.221392757660166,59.87200557103064,7.525,6.576601671309192,5.0,4.119267673657484,17.95,17.5,5.8521363620476246,2.1894150417827296,2.0,1.4319472465411596,718,350,0.48746518105849584,4799,40,0.7143332553215516,0.7146606210031008,12.834891668014592,375078.8944462142,471.79735150467195,0.05157232704402516,0.09182389937106918,0.03773584905660377,0.10566037735849057,0.021383647798742137,0.14088050314465408,0.21257861635220127,0.09685534591194969,0.01761006289308176,0.031446540880503145,0.05660377358490566,0.01509433962264151,0.0830188679245283,0.033962264150943396,0.0037735849056603774,3.1622860366293617,0.8400478901908996,0.49891942944234646,0.07265213692465299,17,4,,97
human,True,296.0,0.8251273344651953,4.731748726655348,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027472527472527472,0.0,0.0,0.0,0.0,0.0,0.006715506715506716,0.004578754578754579,0.0,0.04074702886247878,53.207670454545465,12.417493168154493,13.511582668593114,14.785959798384647,11.58725936721929,14.02276553106212,44.58012995688347,4.454545454545454,5.404809619238477,4.0,3.19889399001379,15.121212121212121,15.0,7.791827792562153,1.87374749498998,1.0,1.252689365189973,499,285,0.5711422845691383,2787,33,0.4629813445499167,0.5256392777176394,7.560391711228343,1920.5976857253925,3.260777055560938,0.13582342954159593,0.09507640067911714,0.0730050933786078,0.0899830220713073,0.02037351443123939,0.09507640067911714,0.15789473684210525,0.15280135823429541,0.011884550084889643,0.01867572156196944,0.06621392190152801,0.015280135823429542,0.030560271646859084,0.022071307300509338,0.015280135823429542,3.1587848722218945,1.026969267297615,0.4140565325915887,0.09827995008652542,29,7,,83
continue,True,390.0,0.8933002481389578,5.328784119106699,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010356502688707428,0.0,0.0,0.0,0.0,0.0,0.004979087831109341,0.0,0.0,0.01488833746898263,50.5859375,13.016292270531405,13.948619950373107,15.427536231884057,13.929961956521737,16.68238888888889,47.179951690821255,4.934782608695652,5.845833333333333,5.0,3.344956298502103,15.652173913043478,14.5,6.062060889715958,1.9069444444444446,2.0,1.1599600554531666,720,394,0.5472222222222223,4295,46,0.6794437083933088,0.6791114075617357,11.770419440429063,129368.4017104222,160.50670187397296,0.10421836228287841,0.10669975186104218,0.06575682382133995,0.08188585607940446,0.02357320099255583,0.12903225806451613,0.19851116625310175,0.10669975186104218,0.02109181141439206,0.04714640198511166,0.043424317617866005,,0.05707196029776675,0.013647642679900745,,2.896213580613063,0.7028970285916017,0.4502305115235047,0.10547658210161241,36,14,0.0012406947890818859,83
create,True,390.0,0.8927250308261405,5.584463625154131,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039961941008563276,0.01598477640342531,0.0,0.0,0.0,0.0,0.012369172216936251,0.016175071360608945,0.0,0.0036991368680641184,42.06423044779336,14.724258831104223,15.290562599259658,17.90662881559308,15.101772952091075,18.237689133425032,51.369047967455884,5.553191489361702,6.114167812929849,5.0,3.3889382462303983,15.46808510638298,16.0,5.205770381927409,2.0577716643741404,2.0,1.173746274328946,727,339,0.46629986244841815,4529,47,0.6166110314104868,0.60973249607616,11.701073629019016,120701.23379366637,148.830127982326,0.08014796547472257,0.0998766954377312,0.035758323057953144,0.09001233045622688,0.02096177558569667,0.15906288532675708,0.21085080147965474,0.10357583230579531,0.02466091245376079,0.025893958076448828,0.04932182490752158,,0.08261405672009864,0.01726263871763255,,2.8838530007447023,0.7867435300399207,0.4403021629197739,0.10209393583599999,14,3,,83
explain,True,407.0,0.899874843554443,5.386733416770964,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08151093439363817,0.03459244532803181,0.024652087475149104,0.024652087475149104,0.024652087475149104,0.024652087475149104,0.01073558648111332,0.011332007952286283,0.0,0.02753441802252816,43.187099605089955,14.876088418862693,15.48105621146707,17.584479889042996,15.189240638002772,17.022302357836335,51.312101248266295,6.0,5.8613037447988905,5.0,3.4185855682967534,18.025,18.5,6.5897173687495885,1.986130374479889,2.0,1.2748834238646827,721,321,0.44521497919556174,4304,40,0.6716735326708891,0.6526987211484658,12.359222449905076,233099.91255983047,291.73956515623337,0.08010012515644556,0.0951188986232791,0.057571964956195244,0.11639549436795996,0.025031289111389236,0.12015018773466833,0.21777221526908636,0.09762202753441802,0.01877346683354193,0.04630788485607009,0.04755944931163955,,0.04630788485607009,0.026282853566958697,0.0050062578222778474,3.0912481300195496,0.9252042035981423,0.45936187756368385,0.10133142158465738,29,2,,83
human,True,339.0,0.759493670886076,4.307249712313004,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.06303854875283446,0.06303854875283446,0.06303854875283446,0.015419501133786848,0.0,0.0058956916099773245,0.013605442176870748,0.01927437641723356,0.04833141542002301,58.076041666666654,10.97174575070822,12.124030204009365,12.62554296506138,9.807736071765817,12.00396600566572,38.78765344664778,3.5416666666666665,5.070821529745042,4.0,3.0315757838162134,14.708333333333334,13.5,7.279990651703399,1.7648725212464589,1.0,1.2350917426022858,706,404,0.5722379603399433,3741,48,0.34001795963404025,0.335042844566962,10.036622475038676,22848.08247912957,26.292384901184775,0.0713463751438435,0.07019562715765247,0.05983889528193326,0.1093210586881473,0.11047180667433831,0.07019562715765247,0.13578826237054084,0.18757192174913695,0.010356731875719217,0.023014959723820484,0.04027617951668585,0.02186421173762946,0.024165707710011506,0.009205983889528193,0.0333716915995397,2.8602174125145257,0.9164207618290441,0.457247161255472,0.092142454833597,32,6,0.023014959723820484,68
continue,True,356.0,0.8191244239631337,5.206221198156682,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05450733752620545,0.011435105774728416,0.0,0.0,0.0,0.0,0.00686106346483705,0.006670478368591576,0.007623403849818944,0.02534562211981567,42.02181818181819,15.328175240054872,15.742502247213078,17.989588477366254,15.981265432098766,17.904252400548696,52.24420438957476,6.2,6.008230452674897,5.0,3.635662148155895,18.225,17.5,5.32676027243577,2.017832647462277,2.0,1.32547487444124,729,358,0.49108367626886146,4519,40,0.5208487869837345,0.5880944390634173,13.006928709944365,445489.39012122527,513.2366245636235,0.08179723502304148,0.08064516129032258,0.06912442396313365,0.0771889400921659,0.08870967741935484,0.09216589861751152,0.1382488479262673,0.16013824884792627,0.00576036866359447,0.029953917050691243,0.05184331797235023,,0.07949308755760369,0.013824884792626729,0.021889400921658985,3.1711486979935124,0.6821876205563832,0.43493393507627076,0.06842242538247792,18,3,0.009216589861751152,68
