persona,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,entropy,perplexity,per_word_perplexity,first_order_coherence,second_order_coherence,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,pos_prop_NOUN,pos_prop_AUX,pos_prop_VERB,pos_prop_DET,pos_prop_ADV,pos_prop_ADJ,pos_prop_PUNCT,pos_prop_PROPN,pos_prop_SCONJ,pos_prop_ADP,pos_prop_CCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_X,pos_prop_PRON,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,connectives,connectives_cap,pos_prop_SPACE,pos_prop_SYM,file,pos_prop_INTJ
human,3.2526491194610894,1.244938421686256,0.43710804380382406,0.05319317718871201,17.379815533117974,35314900.13966191,53507.42445403319,0.5793639317154884,0.6485517134791926,True,203.0,0.8136363636363636,4.789393939393939,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053513513513513515,0.04108108108108108,0.022702702702702703,0.0,0.0,0.0,0.010810810810810811,0.013513513513513514,0.014594594594594595,0.05303030303030303,35.07716545012167,14.849551616266947,16.613394197324528,18.978241223496696,17.82344021550226,15.781240875912406,66.42370524852277,10.523809523809524,0.22575757575757577,0.03333333333333333,0.09090909090909091,0.05454545454545454,0.03939393939393939,0.09393939393939393,0.14242424242424243,0.09696969696969697,0.010606060606060607,0.10454545454545454,0.03939393939393939,0.00909090909090909,0.019696969696969695,0.024242424242424242,0.015151515151515152,5.563868613138686,5.0,3.0449085775292524,26.095238095238095,26.0,17.40253063673092,1.717153284671533,1.0,0.9937383880091779,548,305,0.5565693430656934,3161,21,14,2,,,97,
continue,2.791442029204959,0.4888087002638843,0.489595431527498,0.06740423234844425,16.50969940668834,14793514.10731032,21224.553955968895,0.7723011457920075,0.770675345013539,False,218.0,0.8479196556671449,5.073170731707317,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23232077764277034,0.16889428918590524,0.1467800729040097,0.1467800729040097,0.13633049817739976,0.12490886998784934,0.042770352369380316,0.018955042527339004,0.030619684082624544,0.03730272596843615,40.257914440164086,13.558651050080776,15.350803472480045,17.21289921709954,16.78593016030819,15.804911147011303,66.78022865664222,10.23076923076923,0.2898134863701578,0.03156384505021521,0.11047345767575323,0.06599713055954089,0.021520803443328552,0.09038737446197992,0.10329985652797705,0.05164992826398852,0.01291248206599713,0.1133428981348637,0.028694404591104734,0.007173601147776184,0.02295552367288379,0.007173601147776184,0.024390243902439025,5.586429725363489,5.0,2.9716283645204324,23.807692307692307,21.0,13.402121619554325,1.6833602584814216,1.0,0.9270121638676465,619,258,0.4168012924071082,3536,26,12,3,0.01291248206599713,0.005738880918220947,97,
create,3.0411616281798315,0.6071240037336838,0.5027780184944762,0.05260234265038566,12.930710411760868,412796.6640162567,712.9476062456938,0.888672004143397,0.9191350015726957,True,187.0,0.8670120898100173,5.317789291882556,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12867956265769553,0.0815811606391926,0.06363891225119148,0.052705354639753295,0.052705354639753295,0.0,0.03644519203812728,0.02382954864031399,0.03083823941687693,0.03626943005181347,18.638245330195616,20.654110898661575,19.287186520377343,24.046418590969264,25.900719223415216,17.440076481835558,85.73746139138109,18.307692307692307,0.27806563039723664,0.03626943005181347,0.13644214162348878,0.0535405872193437,0.025906735751295335,0.09326424870466321,0.09499136442141623,0.03626943005181347,0.010362694300518135,0.12607944732297063,0.02936096718480138,0.017271157167530225,0.018998272884283247,,0.02072538860103627,5.778202676864245,5.0,3.0628444740955447,40.23076923076923,33.0,21.476834912757106,1.7418738049713194,1.0,0.9379944469692654,523,257,0.491395793499044,3079,13,9,2,0.022452504317789293,,97,
explain,3.1051599770142664,0.8697891922784581,0.46204877727403926,0.05914819018871319,16.297611154454025,11966374.559873296,16214.599674625062,0.7994031172532302,0.7952220749855041,False,223.0,0.8644986449864499,5.195121951219512,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22776039338399642,0.17925793473401877,0.07241841752346893,0.05096110862762628,0.05096110862762628,0.05096110862762628,0.026151095216808227,0.03620920876173447,0.018775145283862316,0.02168021680216802,35.06566096866098,14.349042735042737,15.997464007216387,18.06039886039886,17.74388319088319,16.848307692307696,66.68945868945869,10.25925925925926,0.2588075880758808,0.02710027100271003,0.12195121951219512,0.058265582655826556,0.03116531165311653,0.0989159891598916,0.11517615176151762,0.07181571815718157,0.013550135501355014,0.11517615176151762,0.032520325203252036,0.012195121951219513,0.02168021680216802,,0.02168021680216802,5.7615384615384615,5.0,2.982007187098201,24.074074074074073,22.0,10.49488738289736,1.7415384615384615,1.0,0.9596301062536556,650,300,0.46153846153846156,3834,27,13,1,,,97,
human,2.839323494103392,1.2172352426451643,0.4424126643810443,0.06267797464093294,16.889408443694276,21626034.411462523,34327.03874835321,0.597195397913456,0.697932214786609,True,238.0,0.8396825396825397,4.455555555555556,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03682634730538922,0.012574850299401197,0.0,0.0,0.0,0.0,0.013173652694610778,0.016467065868263474,0.01976047904191617,0.006349206349206349,57.40217461110319,10.402977736549165,12.701474735504405,13.709747395461683,12.660152704438417,12.39035250463822,52.27065791351505,6.538461538461538,0.18571428571428572,0.05555555555555555,0.10476190476190476,0.05555555555555555,0.050793650793650794,0.0746031746031746,0.10634920634920635,0.1126984126984127,0.014285714285714285,0.09206349206349207,0.05396825396825397,0.01904761904761905,0.01904761904761905,0.026984126984126985,0.026984126984126985,5.037105751391466,4.0,2.9356922882773584,20.73076923076923,20.0,14.340790913463199,1.5176252319109462,1.0,0.8380808541996211,539,260,0.48237476808905383,2807,26,16,6,0.0015873015873015873,,83,
continue,2.851017221962733,0.7845954192441125,0.4686105820060032,0.07012880446079553,15.58159466484254,5847908.680864248,8637.97441782016,0.8492331852515539,0.84568299677061,True,200.0,0.8729689807976366,5.610044313146234,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053388090349076,0.0,0.0,0.0,0.0,0.0,0.005703855806525211,0.006844626967830253,0.0,0.0014771048744460858,22.40439392917372,16.027073187183813,17.490721440492017,20.145672849915684,19.929055649241143,19.77895446880269,71.44344013490725,11.32,0.30576070901033975,0.03988183161004431,0.11669128508124077,0.03545051698670606,0.03545051698670606,0.1019202363367799,0.11964549483013294,0.04283604135893648,0.011816838995568686,0.10487444608567208,0.03840472673559823,0.013293943870014771,0.0029542097488921715,,0.0310192023633678,6.263069139966273,6.0,3.43254958466825,23.72,21.0,9.974046320325568,1.8954468802698146,2.0,1.0953817714641165,593,323,0.5446880269814502,3798,25,14,7,,,83,
create,2.91760783235857,0.7455689093236911,0.49610236757924836,0.05774942392456106,15.179770130582572,3912824.816524722,6075.814932491805,0.8744430363178253,0.884099028612438,True,177.0,0.8571428571428571,5.631987577639752,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01692047377326565,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.007251631617113851,0.005801305293691081,0.020186335403726708,16.465781710914484,17.646573957016432,18.599290044081553,21.664559629161403,21.599513695743788,20.024141592920355,77.70122208175306,13.666666666666666,0.296583850931677,0.024844720496894408,0.12577639751552794,0.05434782608695652,0.020186335403726708,0.09316770186335403,0.11335403726708075,0.062111801242236024,0.006211180124223602,0.11024844720496894,0.034161490683229816,0.010869565217391304,0.003105590062111801,0.0015527950310559005,0.018633540372670808,6.279646017699115,7.0,3.3264336663525147,26.904761904761905,24.0,14.128339510510887,1.927433628318584,2.0,1.0626605271850826,565,315,0.5575221238938053,3627,21,9,1,0.015527950310559006,0.009316770186335404,83,
explain,2.98874789400713,0.9329681060995165,0.493056360168377,0.08004851044601836,15.396032265340102,4857489.338315891,7348.697939963527,0.8268070356412367,0.8398035168647766,True,246.0,0.8956127080181543,5.196671709531014,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056716417910447764,0.026865671641791045,0.026865671641791045,0.026865671641791045,0.026865671641791045,0.026865671641791045,0.009950248756218905,0.008706467661691543,0.0,0.0015128593040847202,34.553525758129354,14.866525392765805,15.903189008614273,18.078918523931314,18.173673364998173,16.349445378151263,67.71830471318962,10.826086956521738,0.24962178517397882,0.02723146747352496,0.13161875945537066,0.07261724659606657,0.03479576399394856,0.07715582450832073,0.08774583963691376,0.06959152798789713,0.018154311649016642,0.12708018154311648,0.036308623298033284,0.01059001512859304,0.0045385779122541605,,0.04236006051437216,5.66218487394958,5.0,3.2490720484325455,25.869565217391305,21.0,14.344531901150974,1.7260504201680673,1.0,0.966972420146176,595,287,0.4823529411764706,3435,23,17,0,,0.01059001512859304,83,
human,2.8333032236590614,0.7936887794500048,0.47003033953318785,0.10417334177415795,24.13377853498563,30280765169.2184,35499138.53366753,0.7920160230249167,0.7841381285468052,False,304.0,0.8499413833528722,4.9472450175849945,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2156148867313916,0.1915453074433657,0.16282362459546926,0.16282362459546926,0.11084142394822007,0.0889967637540453,0.009101941747572815,0.020226537216828478,0.016383495145631068,0.0023446658851113715,38.698729976611816,13.719721106747276,14.415534720923937,16.05332509597988,16.751786328935175,15.892038303693568,62.15793654295928,9.096774193548388,0.27432590855803046,0.04806565064478312,0.08675263774912075,0.06565064478311841,0.0246189917936694,0.10082063305978899,0.13130128956623682,0.041031652989449004,0.004689331770222743,0.09613130128956623,0.053927315357561546,0.016412661195779603,0.012895662368112544,0.005861664712778429,0.03634232121922626,5.60328317373461,5.0,3.1853271935877094,23.580645161290324,23.0,11.519336320343559,1.7045143638850888,1.0,0.9994356154266678,731,318,0.43502051983584133,4220,31,19,2,,0.0011723329425556857,68,
continue,3.2182933580993094,0.7928518116263711,0.4930904375517778,0.06107049907425155,14.210447199709273,1484290.1459081222,2344.8501515136213,0.8858328859011332,0.8768451852457864,True,207.0,0.8562401263823065,5.315955766192733,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01437002822684116,0.0,0.0,0.0,0.0,0.0,0.007698229407236336,0.02258147292789325,0.015396458814472672,0.030015797788309637,21.258299225663734,19.066830752212393,18.377959752453624,22.195796460176993,23.694303097345134,17.65309734513274,78.4983407079646,15.25,0.2812006319115324,0.04107424960505529,0.10426540284360189,0.03317535545023697,0.036334913112164295,0.10426540284360189,0.10426540284360189,0.0315955766192733,0.014218009478672985,0.11058451816745656,0.04107424960505529,0.020537124802527645,0.018957345971563982,0.001579778830963665,0.03317535545023697,5.831858407079646,5.0,3.289841308993266,35.3125,28.5,17.26165819815698,1.7699115044247788,1.0,1.0097651488763848,565,283,0.5008849557522124,3362,16,14,2,0.023696682464454975,,68,
