persona,entropy,perplexity,per_word_perplexity,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,pos_prop_ADV,pos_prop_AUX,pos_prop_VERB,pos_prop_PUNCT,pos_prop_SCONJ,pos_prop_ADP,pos_prop_ADJ,pos_prop_NOUN,pos_prop_DET,pos_prop_PROPN,pos_prop_CCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_X,pos_prop_PRON,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,connectives,connectives_cap,pos_prop_SPACE,file
human,14.114360500464223,1348307.2846716237,1363.303624541581,11.002717290154493,23.16598956824109,20.09848506286438,24.331266299623298,22.454489278470007,22.83886699507389,65.75427412344249,10.0,0.06774519716885744,0.032355915065722954,0.0525783619817998,0.15874620829120323,0.01314459049544995,0.11830131445904954,0.0839231547017189,0.2123356926188069,0.1122345803842265,0.05965621840242669,0.023255813953488372,0.006066734074823054,0.03538928210313448,0.012133468149646108,0.012133468149646108,3.7195074350920665,1.5131735460460174,0.4622133419330097,0.06965091284060372,0.508718507971163,0.46669282438233495,6.782019704433497,5.0,4.609961569740965,23.88235294117647,23.5,12.697301023729304,2.4950738916256157,2.0,2.0405315084321924,812,426,0.5246305418719212,5684,34,True,349.0,0.7866531850353893,5.74721941354904,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012917115177610334,0.012917115177610334,0.012917115177610334,0.005843456866061817,0.0,0.0,0.006458557588805167,0.005382131324004306,0.0032292787944025836,0.1051567239635996,32,9,,97
continue,14.05188883705398,1266653.3680354133,1391.9267780608939,14.37025316455697,21.36812162162163,19.362750860173136,24.012235872235873,21.44304668304668,23.565945945945945,63.10184275184275,8.7,0.07582417582417582,0.06153846153846154,0.07032967032967033,0.10329670329670329,0.015384615384615385,0.1076923076923077,0.08681318681318681,0.22967032967032966,0.13626373626373625,0.025274725274725275,0.03736263736263736,0.020879120879120878,,0.001098901098901099,0.015384615384615385,3.174230636348433,0.6970435978685386,0.4740754025725563,0.06958070497157097,0.7011264746005719,0.6956795187372911,6.942260442260443,6.0,4.679439875023873,20.35,19.5,6.346455703776715,2.4594594594594597,2.0,1.7630392294340873,814,330,0.40540540540540543,5767,40,True,399.0,0.8835164835164835,6.337362637362637,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050472705093016164,0.01463860933211345,0.01463860933211345,0.01463860933211345,0.0,0.0,0.0054894784995425435,0.009149130832570906,0.010521500457456541,0.07252747252747253,24,8,0.013186813186813187,97
create,10.891335608860041,53708.98628490688,63.18704268812574,17.462878427643034,19.058356955380578,17.404616779904444,21.52398950131234,19.079501312335964,22.45448818897638,61.42152230971128,7.533333333333333,0.05176470588235294,0.03176470588235294,0.07647058823529412,0.1,0.009411764705882352,0.10588235294117647,0.09411764705882353,0.2529411764705882,0.13529411764705881,0.01411764705882353,0.03294117647058824,0.009411764705882352,0.010588235294117647,0.001176470588235294,0.03058823529411765,2.782527584232085,0.88539163263703,0.4916727363706064,0.09268166945900354,0.5794849070635709,0.5886638336056886,6.803149606299213,6.0,4.643522347449859,16.933333333333334,17.0,7.51117685704296,2.3766404199475066,2.0,1.7654099177779647,762,381,0.5,5302,45,True,317.0,0.8482352941176471,6.237647058823529,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10313751668891856,0.09012016021361816,0.09012016021361816,0.09012016021361816,0.09012016021361816,0.065086782376502,0.007510013351134846,0.010514018691588784,0.015020026702269693,0.08941176470588236,18,6,0.04352941176470588,97
explain,10.710731075009857,44834.40421960748,65.54737459006941,11.958604917095471,22.23792833876222,19.97928068152386,25.189923995656898,22.018805646036917,24.220195439739417,67.04647122692725,9.533333333333333,0.059941520467836254,0.05847953216374269,0.08771929824561403,0.09941520467836257,0.027777777777777776,0.09502923976608187,0.10818713450292397,0.22514619883040934,0.1111111111111111,0.02046783625730994,0.043859649122807015,0.014619883040935672,0.0029239766081871343,0.0014619883040935672,0.027777777777777776,3.471227150201624,0.823443674361125,0.49009736814625976,0.09694585002106533,0.7102699906661593,0.7448337780577796,7.052117263843648,6.0,4.407266033328295,20.466666666666665,21.0,6.556082841317842,2.529315960912052,2.0,1.7798054246686918,614,281,0.4576547231270358,4410,30,True,294.0,0.8801169590643275,6.447368421052632,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05798840231953609,0.047190561887622474,0.03239352129574085,0.03239352129574085,0.03239352129574085,0.0,0.0065986802639472104,0.01759648070385923,0.01919616076784643,0.08771929824561403,18,7,0.01608187134502924,97
human,13.326562862116479,613271.4027958659,605.9994098773378,25.229761904761887,18.234729927007304,17.5058628484301,21.1752798053528,17.57344282238443,19.86963503649635,59.26423357664233,7.488888888888889,0.041501976284584984,0.042490118577075096,0.05039525691699605,0.1590909090909091,0.0029644268774703555,0.13932806324110672,0.06818181818181818,0.20652173913043478,0.09288537549407115,0.09980237154150198,0.024703557312252964,0.004940711462450593,0.03162055335968379,0.005928853754940711,0.008893280632411068,3.3345824365806562,1.2784046847073003,0.4665591834723946,0.07870074548543897,0.4538304375653917,0.4387915202004965,6.341849148418492,5.0,4.248219949151396,18.266666666666666,16.0,9.153991236370917,2.2627737226277373,2.0,1.6033878654571971,822,379,0.4610705596107056,5388,45,True,346.0,0.7628458498023716,5.33893280632411,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059790491539081385,0.03658340048348106,0.030942788074133764,0.028686543110394844,0.023207091055600322,0.015471394037066882,0.019983883964544723,0.0249798549556809,0.014504431909750202,0.06027667984189723,18,4,0.020750988142292492,83
continue,11.182435985869072,71857.19213984288,82.97597244785553,3.866151634926325,22.196295910906127,18.99921948257808,25.09172619382418,22.53175994150402,26.83141009055628,67.90395972776872,8.58695652173913,0.06351039260969978,0.04157043879907621,0.07852193995381063,0.10392609699769054,0.021939953810623556,0.10739030023094688,0.09584295612009237,0.23441108545034642,0.09930715935334873,0.053117782909930716,0.03464203233256351,0.008083140877598153,0.021939953810623556,0.005773672055427252,0.016166281755196306,3.269961730277973,0.7865836169765057,0.48683553521926654,0.09768033805357307,0.639848921696345,0.5849392380226742,7.54980595084088,7.0,4.771808717438794,16.804347826086957,15.5,5.701333044798616,2.646830530401035,2.0,1.7593162609603588,773,299,0.3868046571798189,5929,46,False,324.0,0.859122401847575,6.846420323325635,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22431865828092243,0.16696615753219526,0.11710092842168314,0.09134471398622342,0.07067984426474992,0.0,0.014375561545372867,0.006738544474393531,0.008086253369272238,0.053117782909930716,21,2,0.013856812933025405,83
create,11.790937413457108,132050.19751153584,151.95649886252684,25.123361444000608,18.579078356628546,17.277040344799307,21.02350981222646,18.776286884088663,21.784701397712826,59.16614428914302,7.288888888888889,0.0713463751438435,0.039125431530494824,0.09896432681242807,0.09436133486766399,0.01726121979286536,0.1093210586881473,0.08515535097813579,0.2243958573072497,0.11047180667433831,0.028768699654775604,0.0333716915995397,0.02186421173762946,0.005753739930955121,0.0023014959723820483,0.03452243958573072,3.017446849392412,0.6619216458068713,0.46229123569446007,0.08584693828368559,0.6551456370136954,0.6606526915417161,6.679796696315121,6.0,4.3507741891612435,17.488888888888887,17.0,5.20522055129793,2.317662007623888,2.0,1.6805126048658854,787,377,0.47903430749682335,5339,45,True,359.0,0.8768699654775605,6.143843498273878,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009367296631059984,0.003944124897288414,0.0,0.03682393555811277,20,5,0.023014959723820484,83
explain,13.689618447311204,881709.9687647115,925.1940910437686,26.65618562600136,18.04415349327382,16.68598849955895,21.08156964850288,18.010972661335316,22.15378091872792,59.18213377967888,6.5964912280701755,0.06190975865687303,0.07135362014690451,0.08184679958027283,0.10912906610703044,0.017838405036726127,0.13746065057712487,0.06190975865687303,0.22770199370409233,0.09758656873032528,0.03987408184679958,0.033578174186778595,0.01049317943336831,0.012591815320041973,0.001049317943336831,0.035676810073452254,3.026083137437706,0.8574766202029149,0.4841381916601369,0.10565737807125546,0.6606015406016793,0.6448662180792202,6.792697290930507,6.0,4.268866490177282,14.894736842105264,15.0,5.200149156181714,2.3580683156654887,2.0,1.6123592266187985,849,342,0.4028268551236749,5871,57,True,425.0,0.8803777544596013,6.160545645330535,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12064343163538874,0.05749180816204945,0.049151027703306524,0.03515043193327376,0.01876675603217158,0.0,0.008936550491510277,0.01876675603217158,0.019362526064938934,0.025183630640083946,28,5,,83
human,11.108516248857558,66737.09664304687,97.7117081157348,13.97200216670052,20.93922165820643,18.75477324771782,22.427298364354204,21.432464749012972,22.694416243654818,61.31359278059786,8.62962962962963,0.03953147877013177,0.03953147877013177,0.06588579795021962,0.13030746705710103,0.007320644216691069,0.09956076134699854,0.08638360175695461,0.22693997071742314,0.1390922401171303,0.04685212298682284,0.036603221083455345,0.013177159590043924,0.02342606149341142,0.008784773060029283,0.020497803806734993,3.0449985040052816,1.422537941061596,0.43668905354162735,0.1088017579503304,0.5370718597506101,0.4829252726212144,6.776649746192893,5.0,5.397642802951386,21.88888888888889,19.0,14.11417289617815,2.3722504230118444,2.0,1.9346798975940807,591,307,0.5194585448392555,4087,27,True,259.0,0.8257686676427526,5.998535871156662,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020962566844919785,0.020962566844919785,0.020962566844919785,0.0,0.0,0.0,0.006417112299465241,0.008342245989304813,0.0,0.06442166910688141,9,2,0.016105417276720352,68
continue,12.33073625506123,226553.46736656906,281.08370641013533,9.120814926761227,21.28569398907104,18.171459921235762,23.555846994535518,21.481407103825134,25.797540983606556,63.5344262295082,7.688888888888889,0.062034739454094295,0.04838709677419355,0.09057071960297766,0.09181141439205956,0.02109181141439206,0.09181141439205956,0.10794044665012408,0.2555831265508685,0.15260545905707196,,0.04218362282878412,0.008684863523573201,,0.0024813895781637717,0.02481389578163772,3.055937557185639,0.7404218752325972,0.4275960866357285,0.07975756023487805,0.7117479606108232,0.7034771768159644,7.383879781420765,6.0,4.911391044956251,16.266666666666666,16.0,4.353287391283868,2.587431693989071,2.0,1.82327258302234,732,345,0.4713114754098361,5479,45,True,342.0,0.9081885856079405,6.797766749379653,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1249597423510467,0.1249597423510467,0.09758454106280193,0.09758454106280193,0.09758454106280193,0.07793880837359098,0.00644122383252818,0.005314009661835749,0.0,0.011166253101736972,24,7,,68
