persona,entropy,perplexity,per_word_perplexity,pos_prop_PROPN,pos_prop_ADP,pos_prop_AUX,pos_prop_ADJ,pos_prop_PART,pos_prop_VERB,pos_prop_NOUN,pos_prop_ADV,pos_prop_PUNCT,pos_prop_CCONJ,pos_prop_DET,pos_prop_NUM,pos_prop_PRON,pos_prop_SCONJ,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_SYM,pos_prop_X,pos_prop_INTJ
human,17.95843424867498,62986706.15489506,97653.80799208536,0.08062015503875969,0.13023255813953488,0.04496124031007752,0.08527131782945736,0.020155038759689922,0.08992248062015504,0.19224806201550387,0.05891472868217054,0.09302325581395349,0.021705426356589147,0.10387596899224806,0.024806201550387597,0.02945736434108527,0.024806201550387597,49.86241095890412,13.558616438356164,14.48295866126578,17.09095890410959,16.203835616438354,11.941917808219173,55.912328767123284,7.8,0.8520492534888419,0.8414248691664802,4.890410958904109,4.0,2.715690804094153,29.2,25.5,13.16662447250623,1.50513698630137,1.0,0.8460065224507869,584,295,0.5051369863013698,2917,20,True,292.0,0.8837209302325582,4.522480620155039,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376477208778841,0.018570624648283626,0.0,0.0,0.0,0.0,0.006752954417557681,0.011817670230725942,0.0,0.0015503875968992248,3.173424410740193,0.6163041141632256,0.44395823804791396,0.05826270187085582,24,2,,97,,,
continue,14.191587024595222,1456558.507634697,2537.558375670204,0.0313588850174216,0.11498257839721254,0.04355400696864112,0.13414634146341464,0.02264808362369338,0.11672473867595819,0.24390243902439024,0.050522648083623695,0.08710801393728224,0.033101045296167246,0.06794425087108014,,0.02613240418118467,0.013937282229965157,39.29846153846157,12.746538461538464,14.879552855430394,16.461538461538463,16.440519230769233,17.51376923076923,58.65384615384615,7.730769230769231,0.8668461155891418,0.8648180415232977,5.917307692307692,5.5,3.2199630405097075,20.0,20.5,6.486672727749033,1.7403846153846154,1.0,1.0469295059995896,520,292,0.5615384615384615,3134,26,True,216.0,0.8972125435540069,5.45993031358885,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006606110652353427,0.004128819157720892,0.0,0.013937282229965157,2.48640855596763,0.3335296859401094,0.4799528387188185,0.052137212648234225,16,2,0.013937282229965157,97,,,
create,16.216018268187703,11028774.380945459,14923.916618329444,0.05548037889039242,0.12178619756427606,0.04871447902571042,0.10960757780784844,0.023004059539918808,0.11502029769959404,0.2462787550744249,0.03112313937753721,0.10148849797023005,0.02435723951285521,0.05548037889039242,0.0013531799729364006,0.04059539918809202,0.008119079837618403,33.267578483920374,14.412860971341065,15.673006389159639,17.598096696565303,18.707100196893457,18.480918836140884,68.19126011813609,10.464285714285714,0.8345977443235891,0.8457884009067829,6.04594180704441,6.0,3.140561528830243,23.321428571428573,21.0,8.900455732427298,1.771822358346095,1.0,1.0136900065566923,653,377,0.5773353751914242,4043,28,True,257.0,0.878213802435724,5.470906630581867,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005791505791505791,0.002574002574002574,0.0,0.017591339648173207,2.820621660011252,0.5241181831645101,0.48162688194973785,0.06429706276473633,12,7,0.017591339648173207,97,,,
explain,14.731253395319929,2498630.638870732,3626.459562947361,0.08272859216255443,0.11320754716981132,0.030478955007256895,0.11756168359941944,0.02177068214804064,0.11175616835994194,0.22641509433962265,0.04499274310595065,0.07982583454281568,0.02177068214804064,0.07111756168359942,0.023222060957910014,0.018867924528301886,0.023222060957910014,42.84209514170041,13.27464912280702,14.985893962826673,16.791289412342046,16.3786970923813,15.120318979266344,60.16004171267329,8.692307692307692,0.8152704310417175,0.811334028840065,5.467304625199362,5.0,2.81771558609264,24.115384615384617,22.5,9.811009996925053,1.6491228070175439,1.0,0.9061257218697122,627,352,0.5614035087719298,3495,26,True,250.0,0.8867924528301887,5.072568940493468,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027811661380824592,0.014637716516223469,0.0,0.0,0.0,0.0,0.006586972432300561,0.016101488167845818,0.0,0.01741654571843251,2.7566450314738593,0.512921711672482,0.4748993500828759,0.06548002042594446,23,5,0.013062409288824383,97,,,
human,27.202403214176652,651408783789.6351,697439811.3379391,0.0032119914346895075,0.09421841541755889,0.059957173447537475,0.07922912205567452,0.02676659528907923,0.11349036402569593,0.21734475374732334,0.06209850107066381,0.11349036402569593,0.028907922912205567,0.069593147751606,0.010706638115631691,0.08993576017130621,0.031049250535331904,79.62806528346772,6.407799656402801,9.420299171960508,9.683361966433198,7.992401215805472,8.511801242236029,34.02206951235628,2.893617021276596,0.767508903923242,0.7466585351361169,4.428571428571429,4.0,2.224969218055718,17.127659574468087,15.0,9.990670161059727,1.2981366459627328,1.0,0.6560253034138129,805,363,0.4509316770186335,3731,47,True,439.0,0.8779443254817987,3.9946466809421843,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007526881720430108,0.01096774193548387,0.0,0.0,2.67184726172712,0.9039858082885334,0.4164056266670077,0.09746866558161699,44,13,,83,,,
continue,17.13376377205607,27612076.022859324,40075.5820360803,0.0043541364296081275,0.08853410740203194,0.062409288824383166,0.10885341074020319,0.018867924528301886,0.12772133526850507,0.2467343976777939,0.0420899854862119,0.11030478955007257,0.03918722786647315,0.03773584905660377,0.008708272859216255,0.06386066763425254,0.020319303338171262,51.88155600880256,10.839187375878915,13.076922228848591,14.011078310342976,13.921684826364661,14.70502495840266,53.663303096988884,6.645161290322581,0.8101502617200216,0.7751528949573122,5.447587354409317,5.0,2.87006438142375,19.387096774193548,20.0,8.582342786227557,1.5990016638935107,1.0,0.8977318442739575,601,333,0.5540765391014975,3374,31,True,266.0,0.8606676342525399,4.896952104499274,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.01141552511415525,0.0,0.018867924528301886,2.683253833080739,0.7662808609057536,0.4350081165412464,0.10436897885150224,19,5,0.01741654571843251,83,0.001451378809869376,0.001451378809869376,
create,17.54094566291183,41489281.00953921,55990.93253649016,0.043184885290148446,0.1039136302294197,0.03643724696356275,0.09851551956815115,0.016194331983805668,0.12280701754385964,0.24021592442645073,0.044534412955465584,0.12550607287449392,0.021592442645074223,0.044534412955465584,0.004048582995951417,0.05668016194331984,0.018893387314439947,47.7909567570203,11.569769403276133,13.624085052395262,14.75196957878315,14.663300507020274,15.2778783151326,57.160735179407176,7.4375,0.76349310624984,0.7756621013085048,5.536661466458658,5.0,2.9033813348519426,20.03125,19.5,7.982341350600086,1.639625585023401,1.0,0.8865026290403681,641,370,0.5772230889235569,3658,32,True,251.0,0.8488529014844804,4.936572199730095,741.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007058823529411765,0.01411764705882353,0.0,0.022941970310391364,2.741174043069403,0.5887062535390705,0.4698660869466284,0.06414015126510562,22,6,0.022941970310391364,83,,,
explain,24.009875070305018,26751999905.199356,26099512.102633517,,0.11804878048780487,0.037073170731707315,0.09658536585365854,0.023414634146341463,0.13853658536585367,0.2575609756097561,0.05658536585365854,0.08780487804878048,0.021463414634146343,0.05951219512195122,0.00878048780487805,0.05658536585365854,0.03804878048780488,54.408755256518106,11.293351555929352,13.143807745087333,14.484693019343986,14.442008515559287,13.546810344827588,52.26776703111858,6.7073170731707314,0.8367593839764595,0.8282943092859708,5.213362068965517,5.0,2.7172331401393555,22.634146341463413,23.0,8.612968377468194,1.5301724137931034,1.0,0.8440685365605184,928,423,0.4558189655172414,4942,41,True,418.0,0.9053658536585366,4.821463414634146,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024569186145708924,0.024569186145708924,0.024569186145708924,0.024569186145708924,0.024569186145708924,0.024569186145708924,0.010919638286981745,0.008701586759938576,0.0,0.0,2.8314488050920605,0.49655774770816397,0.4555523343973844,0.07966462436138094,50,11,,83,,,
human,25.512832173601954,120249209679.87518,140314130.31490687,0.014002333722287048,0.12718786464410736,0.059509918319719954,0.08634772462077013,0.028004667444574097,0.10968494749124855,0.22637106184364061,0.044340723453908985,0.10618436406067679,0.030338389731621937,0.07117852975495916,0.015169194865810968,0.07117852975495916,0.010501750291715286,66.43354595206644,7.831139028927293,11.166817959719662,11.305087213220824,9.85693365324994,11.699550858652579,44.114765589194725,4.428571428571429,0.7883062089482943,0.7640568246232703,5.002642007926024,4.0,2.814379644257932,15.448979591836734,15.0,5.595410745222086,1.4742404227212682,1.0,0.8420485872599979,757,371,0.4900924702774108,3896,49,True,400.0,0.8809801633605601,4.5460910151691944,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265022137887413,0.01265022137887413,0.0,0.0,0.0,0.0,0.01265022137887413,0.008222643896268185,0.009487666034155597,0.002333722287047841,2.4210620690958393,0.5316101475231664,0.4657159397755195,0.06369521420443769,21,9,,68,,,
continue,16.19291129044866,10776854.499300871,15989.398366915239,0.02967359050445104,0.09940652818991098,0.03857566765578635,0.11275964391691394,0.025222551928783383,0.11869436201780416,0.2551928783382789,0.028189910979228485,0.08605341246290801,0.03560830860534125,0.06083086053412463,0.004451038575667656,0.06528189910979229,0.02225519287833828,45.91418717117503,11.719598235637989,13.742535322968653,14.883328904713824,14.641657012276134,15.498121911037885,55.0007440080778,6.935483870967742,0.8335659841696421,0.8343591957256712,5.5799011532125204,5.0,3.0449338901692333,19.580645161290324,19.0,5.7292356836886,1.6672158154859966,1.0,0.938625300238279,607,331,0.5453047775947282,3460,31,True,252.0,0.8902077151335311,5.1335311572700295,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008917513004706465,0.0,0.0,0.017804154302670624,2.5217827948387983,0.38126008674716266,0.4665252839325176,0.06644041812553463,16,6,0.017804154302670624,68,,,
