persona,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,first_order_coherence,second_order_coherence,entropy,perplexity,per_word_perplexity,pos_prop_ADP,pos_prop_DET,pos_prop_ADJ,pos_prop_NOUN,pos_prop_PUNCT,pos_prop_PRON,pos_prop_PROPN,pos_prop_ADV,pos_prop_NUM,pos_prop_VERB,pos_prop_AUX,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_X,pos_prop_PART,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,connectives,connectives_cap,pos_prop_SPACE,file
human,3.6876526574985156,0.8764197223573583,0.3987228335447384,0.05604487064307463,0.48980794712487197,0.40312666796586094,8.502003953382141,4924.6276829703675,8.624566870350906,0.09982486865148861,0.15061295971978983,0.1085814360770578,0.2224168126094571,0.11208406304728546,0.040280210157618214,0.05253940455341506,0.0542907180385289,0.005253940455341506,0.08231173380035026,0.024518388791593695,0.02626970227670753,0.0035026269702276708,0.0070052539404553416,0.010507880910683012,6.847524752475247,6.0,4.255051606053608,26.57894736842105,27.0,12.7498845793483,2.3584158415841583,2.0,1.6229338625234495,505,330,0.6534653465346535,3524,19,True,217.0,0.8756567425569177,6.171628721541156,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008687019111442046,0.0,0.0,0.10683012259194395,10.585243784307409,22.60509640437728,20.85848537540074,25.126628452318915,24.11131526836894,23.349782178217826,71.33142261594581,11.894736842105264,13,0,,6
continue,2.8332902264541,1.1722829717478263,0.4033736889169687,0.1331359240544076,0.5724075879247504,0.5630697695220389,12.840393352778767,377148.1472540405,448.9858895881435,0.09047619047619047,0.1523809523809524,0.0988095238095238,0.21071428571428572,0.09404761904761905,0.060714285714285714,0.030952380952380953,0.0761904761904762,0.0011904761904761906,0.09166666666666666,0.015476190476190477,0.041666666666666664,0.02142857142857143,,0.014285714285714285,6.413929040735874,5.0,3.827525379206953,17.697674418604652,19.0,7.966601457190995,2.26149802890933,2.0,1.4755839808104785,761,334,0.43889618922470436,4960,43,True,371.0,0.9,5.904761904761905,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039846207619713386,0.039846207619713386,0.039846207619713386,0.039846207619713386,0.039846207619713386,0.039846207619713386,0.015728766165676335,0.02009786787836421,0.013107305138063614,0.047619047619047616,25.837091275375798,17.99776976438591,17.31097473256736,21.00811050331571,17.628442991168292,20.24136662286465,58.3021422241237,7.186046511627907,35,4,,6
create,3.2703142721888785,1.0116238780408722,0.45195135544897186,0.10178183443526767,0.6824965933375361,0.6675433712701003,13.114985738101012,496324.75433692074,579.8186382440663,0.0911214953271028,0.1530373831775701,0.09228971962616822,0.2219626168224299,0.10864485981308411,0.02453271028037383,0.0630841121495327,0.04672897196261682,,0.08761682242990654,0.026869158878504672,0.036214953271028034,0.026869158878504672,,0.02102803738317757,6.585301837270341,6.0,3.8281584459596174,23.8125,22.0,10.125578687166477,2.3031496062992125,2.0,1.4512970219288073,762,329,0.431758530183727,5112,32,False,348.0,0.889018691588785,5.97196261682243,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1821586653047327,0.11218930881852231,0.05669050051072523,0.022131426625808647,0.022131426625808647,0.022131426625808647,0.017024174327545116,0.030643513789581207,0.018726591760299626,0.04088785046728972,16.780948851000744,20.874040354330706,19.75382966885477,23.750721784776903,21.49302165354331,21.678530183727037,66.20095144356955,10.09375,26,9,,6
explain,3.6178834141336087,0.6271847013461852,0.4672258232984304,0.055706596349111674,0.7255926518528549,0.7522148650426131,10.872514134117896,52707.55770018351,73.00215747947856,0.07894736842105263,0.1634349030470914,0.08033240997229917,0.22160664819944598,0.09695290858725762,0.027700831024930747,0.03185595567867036,0.06786703601108034,,0.09002770083102493,0.04293628808864266,0.03462603878116344,0.02631578947368421,,0.019390581717451522,6.348159509202454,6.0,3.6917184286117903,23.285714285714285,23.0,6.600092763726576,2.1564417177914113,2.0,1.3611857339949627,652,293,0.4493865030674847,4209,28,True,315.0,0.8850415512465374,5.829639889196676,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11005378568473315,0.041166735622672736,0.015721969383533305,0.015721969383533305,0.0,0.0,0.008067852709971039,0.006206040546131568,0.014480761274306992,0.05263157894736842,26.304582210242586,18.937440841367223,18.81130576003261,22.259070990359334,20.112688431200702,20.256012269938648,65.15687992988606,9.75,30,3,0.018005540166204988,6
human,4.263281716296787,1.6254031205376578,0.427654453635705,0.047649962065943116,0.6316630319570717,0.5889312902634795,18.315935355983953,90055378.52273242,84321.51547072324,0.0945692883895131,0.12734082397003746,0.10393258426966293,0.18726591760299627,0.13295880149812733,0.047752808988764044,0.052434456928838954,0.07677902621722846,0.006554307116104869,0.06273408239700375,0.027153558052434457,0.04868913857677903,0.008426966292134831,0.013108614232209739,0.010299625468164793,6.857453754080522,5.0,4.4524236827230235,38.291666666666664,37.5,22.396947646697058,2.379760609357998,2.0,1.6808670321262345,919,538,0.5854189336235038,6451,24,True,442.0,0.8548689138576779,6.040262172284645,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008811169852243459,0.0020333468889792597,0.0,0.056179775280898875,-5.497713984261651,27.42492519042438,24.440527861595758,29.854207471889733,30.01444051505259,23.748813928182802,81.16435437069278,16.416666666666668,39,2,,7
continue,2.7620510371658344,1.099518386565946,0.4413409856820478,0.14296655621662294,0.5338963977992535,0.492368081305176,8.676079853321735,5861.025418305453,9.00311124163664,0.07373271889400922,0.12903225806451613,0.11367127496159754,0.20890937019969277,0.1228878648233487,0.047619047619047616,0.0445468509984639,0.05683563748079877,0.004608294930875576,0.0890937019969278,0.010752688172043012,0.047619047619047616,0.010752688172043012,0.0030721966205837174,0.010752688172043012,6.862433862433862,6.0,4.403636031969856,17.71875,19.0,8.132628630246188,2.421516754850088,2.0,1.6135763818360438,567,295,0.5202821869488536,3975,32,True,241.0,0.837173579109063,6.105990783410138,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898602174395385,0.0898602174395385,0.05458176170401598,0.05458176170401598,0.05458176170401598,0.05458176170401598,0.007987574883514533,0.013312624805857555,0.02928777457288662,0.047619047619047616,16.188708563535897,19.894210207231044,17.267425705330172,20.91466049382716,19.751438492063492,22.880564373897702,59.6940586419753,7.4375,17,3,0.026113671274961597,7
create,3.27146709133216,0.68983731290576,0.45829393210059516,0.08376139655264357,0.6507184452615505,0.6885303001673448,15.158415926211802,3830155.3673117687,3665.2204471882956,0.08038277511961722,0.13110047846889952,0.11961722488038277,0.21435406698564594,0.11004784688995216,0.04019138755980861,0.028708133971291867,0.05071770334928229,0.0009569377990430622,0.09186602870813397,0.0354066985645933,0.049760765550239235,0.009569377990430622,0.003827751196172249,0.019138755980861243,7.032537960954447,6.0,4.07721352536537,20.954545454545453,21.5,5.958014256805494,2.490238611713666,2.0,1.5186519837078423,922,387,0.4197396963123644,6607,44,True,419.0,0.8669856459330143,6.322488038277512,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396372365964257,0.08508935716190984,0.05974926647105895,0.04961323019471859,0.02640704187783409,0.0,0.0052013870365430785,0.01920512136569752,0.020272072552680716,0.03062200956937799,12.27716186252772,21.967088345493988,19.739881575394175,24.520646815223824,22.170526523368174,24.13874186550976,66.18231118122658,9.477272727272727,27,6,0.014354066985645933,7
explain,3.6708984028426475,0.6898457240668395,0.4764123696510173,0.06620056147741832,0.7617602965661457,0.764355738957723,9.722785401487474,16693.678628181333,24.990536868534928,0.1092814371257485,0.11976047904191617,0.11526946107784432,0.21407185628742514,0.08832335329341318,0.040419161676646706,0.029940119760479042,0.05089820359281437,0.0029940119760479044,0.09431137724550898,0.05389221556886228,0.038922155688622756,0.020958083832335328,,0.004491017964071856,6.683087027914614,6.0,3.990101833004559,21.0,22.0,6.308177506084928,2.316912972085386,2.0,1.4754898417862181,609,296,0.4860426929392447,4129,29,True,290.0,0.8907185628742516,6.181137724550898,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037319762510602206,0.01441899915182358,0.01441899915182358,0.0,0.0,0.0,0.006997455470737914,0.010602205258693808,0.0,0.0374251497005988,21.63362800772788,19.939573070607555,19.3219725380793,23.70377668308703,20.547339901477834,22.087027914614115,66.32019704433498,9.517241379310345,30,3,0.016467065868263474,7
human,2.9697375541149014,1.1730132938243254,0.4205188522460112,0.05973053614779315,0.3585356376651261,0.34818012118339536,8.771111706751828,6445.333804078704,9.436799127494442,0.1171303074670571,0.13177159590043924,0.04978038067349927,0.17715959004392387,0.10980966325036604,0.02635431918008785,0.07906295754026355,0.10834553440702782,0.020497803806734993,0.0849194729136164,0.055636896046852125,0.020497803806734993,0.013177159590043924,0.0029282576866764276,0.0029282576866764276,5.786184210526316,5.0,3.0955730134913564,16.43243243243243,16.0,9.738584559288254,1.9736842105263157,2.0,1.1323436828394822,608,327,0.537828947368421,3593,37,True,300.0,0.8638360175695461,5.260614934114202,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018095238095238095,0.018095238095238095,0.0,0.0,0.0,0.0,0.014285714285714285,0.012380952380952381,0.0,0.0746705710102489,41.93149964123417,14.108122332859178,14.896862640687804,16.901920341394028,14.039143847795167,16.421447368421052,51.465327169274545,5.756756756756757,26,7,,5
continue,3.13837055920151,0.9118042272342743,0.4621746434914314,0.08561188827588632,0.6500898347451136,0.6674126213788987,9.779380187705287,17665.70004093671,28.493064582155984,0.12258064516129032,0.15483870967741936,0.06451612903225806,0.19193548387096773,0.1064516129032258,0.03387096774193549,0.08548387096774193,0.07580645161290323,,0.07258064516129033,0.02258064516129032,0.03064516129032258,0.016129032258064516,0.0032258064516129032,0.0064516129032258064,5.734657039711191,5.0,2.995181022728432,20.51851851851852,19.0,7.440481716635219,1.9259927797833936,2.0,1.0831543252771698,554,269,0.4855595667870036,3243,27,True,279.0,0.8758064516129033,5.230645161290322,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14013749338974088,0.12109994711792703,0.09333685880486516,0.060549973558963514,0.060549973558963514,0.060549973558963514,0.006345848757271285,0.011898466419883659,0.0224748810153358,0.04516129032258064,43.18281013355363,15.13893702366627,15.95041315860864,18.026901992244955,15.83949391629897,16.47718411552346,53.912020323572676,6.851851851851852,23,4,0.012903225806451613,5
