persona,first_order_coherence,second_order_coherence,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,entropy,perplexity,per_word_perplexity,pos_prop_DET,pos_prop_NOUN,pos_prop_AUX,pos_prop_ADJ,pos_prop_PUNCT,pos_prop_VERB,pos_prop_ADP,pos_prop_NUM,pos_prop_PROPN,pos_prop_SYM,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_ADV,pos_prop_PRON,pos_prop_PART,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_X,pos_prop_INTJ
human,0.7604455351829529,0.7525995634496212,True,158.0,0.8107606679035251,4.959183673469388,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006422607578676943,0.012845215157353885,0.0,0.03153988868274583,2.7647207221634336,1.1186532494485284,0.5001196249431166,0.0612290394605369,11.980628888664874,159632.39006311807,296.16398898537676,0.055658627087198514,0.2634508348794063,0.03710575139146568,0.10575139146567718,0.14100185528756956,0.07050092764378478,0.13358070500927643,0.03896103896103896,0.07977736549165121,0.00927643784786642,0.025974025974025976,0.0055658627087198514,0.016697588126159554,0.012987012987012988,0.0037105751391465678,5.669584245076586,5.0,3.4889971539194655,25.38888888888889,22.5,18.245665813766685,1.7439824945295406,1.0,1.0779731688991265,457,260,0.5689277899343544,2673,18,33.52435874057866,14.890660102115248,16.794655666223992,19.170872842207636,17.968186238755166,16.37129102844639,63.68210551908582,9.722222222222221,11,1,,97,,
continue,0.8276836184354929,0.8337222146987915,True,255.0,0.8948863636363636,5.534090909090909,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040753045404208196,0.03145071982281285,0.021705426356589147,0.021705426356589147,0.0,0.0,0.006644518272425249,0.011517165005537098,0.017940199335548173,0.0014204545454545455,2.96072030304517,0.7378668219746308,0.47270275987786736,0.05049133333261103,15.910788339957394,8127698.384920374,11545.026114943712,0.061079545454545456,0.2897727272727273,0.052556818181818184,0.11647727272727272,0.10369318181818182,0.10795454545454546,0.08948863636363637,0.002840909090909091,0.01278409090909091,,0.041193181818181816,0.024147727272727272,0.03409090909090909,0.036931818181818184,0.026988636363636364,6.0910543130990416,6.0,3.258267906579153,23.185185185185187,20.0,11.310555663191392,1.8833865814696487,1.5,1.102195906094283,626,331,0.5287539936102237,3896,27,23.967532244704785,15.676183883564082,16.816750354323865,19.178227428706663,18.85145840728908,18.738722044728437,66.63566441841202,10.074074074074074,19,3,,97,,
create,0.7435885280370712,0.7342600383256611,True,183.0,0.8571428571428571,5.35064935064935,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139376473670422,0.04139376473670422,0.025674613570867172,0.0,0.0,0.0,0.008645533141210375,0.011789363374377783,0.0,0.027597402597402596,2.8354359761522723,0.5790400001620162,0.4882774370955093,0.08002737530641997,12.314988524255885,223013.70908180965,362.0352420159248,0.060064935064935064,0.30194805194805197,0.03409090909090909,0.12012987012987013,0.09415584415584416,0.09415584415584416,0.11688311688311688,0.022727272727272728,0.03409090909090909,0.0016233766233766235,0.021103896103896104,0.006493506493506494,0.025974025974025976,0.03571428571428571,0.011363636363636364,5.851449275362318,5.0,3.244789256622189,26.285714285714285,26.0,10.972445389389243,1.7735507246376812,1.0,1.0500982015670046,552,322,0.5833333333333334,3296,21,30.1126086956522,15.589327122153211,16.785175570968402,19.20993788819876,19.27318322981366,17.480434782608693,67.22774327122153,10.761904761904763,8,0,0.01948051948051948,97,,
explain,0.8049431065718333,0.7974015947045952,True,217.0,0.8632010943912448,5.41313269493844,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027972027972027972,0.019667832167832168,0.0,0.0,0.0,0.0,0.007648601398601399,0.010926573426573426,0.0,0.009575923392612859,2.744316636642613,0.6643374962527935,0.47638500027294595,0.07520656406458336,16.452438211007557,13970216.25412232,19111.10294681576,0.06155950752393981,0.31874145006839943,0.024623803009575923,0.12038303693570451,0.13132694938440492,0.10259917920656635,0.11354309165526676,0.004103967168262654,0.04240766073871409,,0.03146374829001368,0.009575923392612859,0.016415868673050615,0.01094391244870041,0.012311901504787962,6.10126582278481,6.0,3.303124476777265,20.387096774193548,19.0,8.80497447141374,1.8512658227848102,1.0,1.0937241767958992,632,309,0.4889240506329114,3957,31,29.52500816659864,14.205904450796243,15.820507952093084,17.83838301347489,17.500510412413227,18.62354430379747,66.11494487545937,9.32258064516129,14,3,,97,,
human,0.742284145466117,0.7284782358578273,True,292.0,0.8610129564193169,4.733804475853946,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010524100189433803,0.010524100189433803,0.0,0.0,0.0,0.0,0.009471690170490423,0.008840244159124395,0.01073458219322248,0.009422850412249705,2.6049928869665737,0.7844059756060044,0.4762740636106882,0.08371703081012245,21.754668197760637,2804996695.2619295,3303883.033288492,0.0800942285041225,0.27326266195524146,0.043580683156654886,0.13427561837455831,0.11307420494699646,0.07538280329799764,0.11307420494699646,0.02237926972909305,0.04711425206124853,0.004711425206124852,0.04240282685512368,0.0035335689045936395,0.024734982332155476,0.012956419316843345,0.009422850412249705,5.240963855421687,5.0,2.9581250859503294,16.977272727272727,16.0,9.233064684657764,1.5983935742971886,1.0,0.8988450661063138,747,377,0.5046854082998661,4019,44,54.37897179627606,9.89218054034319,12.602617957971052,13.270159425581113,11.743576122672515,13.273360107095048,48.57031154922721,5.363636363636363,11,2,,83,,
continue,0.8477302814523379,0.8462077897527943,True,231.0,0.9063492063492063,5.479365079365079,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758242,0.013486513486513486,0.0,0.01904761904761905,2.745734640663014,0.6838868788798829,0.494227986558543,0.07050626440768158,14.453086502568496,1891889.2720000874,3002.998844444583,0.06666666666666667,0.2698412698412698,0.03650793650793651,0.11428571428571428,0.0761904761904762,0.11746031746031746,0.12857142857142856,,0.025396825396825397,,0.026984126984126985,0.02857142857142857,0.031746031746031744,0.03492063492063492,0.025396825396825397,5.895652173913043,5.0,3.156150415337394,23.0,20.0,12.119405926034494,1.7634782608695652,1.0,0.976090733022616,575,321,0.5582608695652174,3452,25,34.2997391304348,14.189043478260874,15.903189008614273,17.895652173913046,17.838521739130435,17.579478260869568,65.6086956521739,9.8,17,6,0.01746031746031746,83,,
create,0.8196322437789705,0.8070349114281791,True,331.0,0.9065217391304348,5.503260869565217,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00424881033310673,0.023113528212100613,0.0,0.014130434782608696,2.672052095871303,0.5425219948379518,0.46360025078651657,0.06073273708982796,19.766495031685395,384131320.1645135,417534.0436570799,0.06956521739130435,0.26521739130434785,0.03260869565217391,0.12065217391304348,0.08804347826086957,0.11847826086956521,0.12173913043478261,0.009782608695652175,0.04456521739130435,,0.034782608695652174,0.021739130434782608,0.02717391304347826,0.03152173913043478,0.014130434782608696,5.967587034813926,5.0,3.3406307406575393,22.513513513513512,21.0,9.912104589084628,1.8283313325330133,1.0,1.0837949535143494,833,431,0.517406962785114,5063,37,29.306953051490893,14.764579994159828,16.543126422549822,18.801323772752344,17.934091690730348,17.974645858343333,63.20979202491807,9.162162162162161,27,6,,83,,
explain,0.8242794565252356,0.8258661246962018,False,314.0,0.9042904290429042,5.431243124312431,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16620354289683917,0.13112191733240708,0.08996179228898923,0.06912122264675234,0.06912122264675234,0.05314345258770407,0.023445640847516498,0.02796109760333449,0.0,0.0088008800880088,2.6127240693185754,0.4755498984113129,0.5040491025364526,0.05268885594326204,20.79961211235147,1079336257.0545561,1187388.621622174,0.07700770077007701,0.30143014301430143,0.025302530253025302,0.1265126512651265,0.09020902090209021,0.11331133113311331,0.1331133113311331,0.005500550055005501,0.0319031903190319,0.0011001100110011,0.034103410341034104,0.006600660066006601,0.0242024202420242,0.0187018701870187,0.011001100110011002,5.876513317191283,5.0,3.1061534565805817,21.736842105263158,20.5,7.859570801614779,1.738498789346247,1.0,0.980139177310682,826,361,0.437046004842615,4937,38,37.69510768446543,13.401654135338347,15.353505894508093,17.12088696317064,17.116798776602522,17.392154963680387,62.05161208105008,8.763157894736842,19,3,,83,,
human,0.7523250092159618,0.725816875230521,True,224.0,0.8351145038167939,4.691603053435115,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017630853994490357,0.017630853994490357,0.0,0.0,0.0,0.0,0.009917355371900827,0.011019283746556474,0.0,0.007633587786259542,2.587366421165382,0.7666224769603259,0.48477780968778367,0.08107431423909962,19.10607285874437,198454985.4344207,302984.7105869018,0.06870229007633588,0.2641221374045801,0.035114503816793895,0.08396946564885496,0.13129770992366413,0.12366412213740458,0.11450381679389313,0.02748091603053435,0.03206106870229008,0.0015267175572519084,0.04732824427480916,0.004580152671755725,0.013740458015267175,0.024427480916030534,0.024427480916030534,5.270318021201414,5.0,3.126214631157613,16.647058823529413,15.0,12.501487800731315,1.5865724381625441,1.0,0.8869469117472664,566,292,0.5159010600706714,3073,34,55.714207025566424,9.623907711494493,12.214722805548657,12.736562045312827,11.716727291623364,13.411378091872791,50.92267719808772,5.705882352941177,8,2,0.0030534351145038168,68,,
continue,0.8233970012515783,0.8057164261418004,True,320.0,0.8940493468795355,4.8417997097242385,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007121057985757884,0.0,0.0,0.0,0.0,0.0,0.009155645981688708,0.004577822990844354,0.0,0.023222060957910014,2.5078477090872795,0.4092031342030558,0.48592409539978787,0.07125493020354881,18.23331719978248,82914225.17556031,120339.94945654616,0.06676342525399129,0.21335268505079827,0.03773584905660377,0.07982583454281568,0.08563134978229318,0.13642960812772134,0.11465892597968069,0.001451378809869376,0.001451378809869376,,0.03918722786647315,0.027576197387518143,0.05805515239477504,0.08708272859216255,0.030478955007256895,5.232371794871795,4.0,3.020046826810397,18.90909090909091,19.0,5.594172489316037,1.516025641025641,1.0,0.8914117868311549,624,319,0.5112179487179487,3336,33,59.386503496503536,9.67364801864802,12.023833886356066,12.691841491841494,12.669016608391608,13.400961538461534,50.63986013986014,6.0,34,6,0.020319303338171262,68,,
