corpus,system,B1,B2,B3
20min,ashuman,64.4064899360408,8.116693494394667,27.476816569564537
20min,asmachine,63.623409818726685,8.223403942768163,28.153186238505157
20min,human,58.7722791994424,7.884430283115935,33.343290517441666
cnn,ashuman,54.25915838213265,9.352444504970721,36.388397112896634
cnn,asmachine,53.488717830123235,9.146321318841059,37.36496085103571
cnn,human,62.74842916567774,8.371953580752752,28.879617253569513
pubmed_de,ashuman,67.6126561313919,9.155682837623353,23.23166103098475
pubmed_de,asmachine,67.61702575619341,9.235735841111657,23.147238402694924
pubmed_de,human,61.410235313477045,8.308375843343756,30.2813888431792
pubmed_en,ashuman,60.536947149446775,10.861044951611444,28.602007898941785
pubmed_en,asmachine,57.9018708293613,10.651513346043853,31.446615824594854
pubmed_en,human,65.63137553063423,9.226382816954953,25.142241652410824
