,human_english,human_german,continue_english,continue_german,explain_english,explain_german,create_english,create_german
entropy,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
perplexity,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
per_word_perplexity,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
token_length_mean,4.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0
token_length_median,4.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0
token_length_std,3.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0
sentence_length_mean,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0
sentence_length_median,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
sentence_length_std,3.0,4.0,0.0,3.0,0.0,2.0,3.0,2.0
syllables_per_token_mean,4.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0
syllables_per_token_std,4.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0
n_unique_tokens,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
proportion_unique_tokens,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0
n_sentences,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0
n_stop_words,3.0,2.0,4.0,1.0,3.0,0.0,3.0,1.0
alpha_ratio,4.0,5.0,1.0,2.0,1.0,0.0,4.0,0.0
mean_word_length,4.0,4.0,2.0,0.0,3.0,0.0,3.0,1.0
symbol_to_word_ratio_#,,,,,,,,
proportion_ellipsis,,,,,,,,
proportion_bullet_points,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contains_lorem ipsum,,,,,,,,
duplicate_line_chr_fraction,,,,,,,,
duplicate_paragraph_chr_fraction,,,,,,,,
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
top_ngram_chr_fraction_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oov_ratio,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
dependency_distance_mean,2.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0
dependency_distance_std,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0
prop_adjacent_dependency_relation_mean,5.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0
prop_adjacent_dependency_relation_std,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
flesch_reading_ease_en,4.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0
flesch_reading_ease_de,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
flesch_kincaid_grade,4.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0
gunning_fog,3.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0
automated_readability_index,4.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0
coleman_liau_index,4.0,3.0,2.0,0.0,2.0,0.0,3.0,1.0
lix,4.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0
rixpos_prop_ADJ,,,,,,,,
pos_prop_ADP,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0
pos_prop_ADV,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
pos_prop_CCONJ,2.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0
pos_prop_DET,3.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0
pos_prop_NOUN,4.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0
pos_prop_NUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos_prop_PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos_prop_PRON,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
pos_prop_PROPN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
pos_prop_PUNCT,3.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0
pos_prop_SPACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos_prop_SYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos_prop_VERB,4.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0
pos_prop_X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos_prop_AUX,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
connectives_total,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
connectives_cap,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
first_order_coherence,5.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0
second_order_coherence,5.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0
shannon_entropy,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
simpson_diversity,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
