feature,human,create,continue,explain
pos_prop_NOUN,0.1779911151291645,0.2404996980092257,0.21726359802505707,0.21108488538191733
pos_prop_PUNCT,0.14892129308328156,0.10940672270947378,0.11151051174668783,0.0947339167633389
pos_prop_ADJ,0.05592539116849153,0.0756844158165679,0.06765756588967017,0.060672860325625945
pos_prop_PROPN,0.09830470203928396,0.049758284424676856,0.02927034651809534,0.07871987578519593
pos_prop_ADP,0.09445710892820705,0.11426015906257388,0.11370762014220925,0.11251110558273576
pos_prop_DET,0.08491562930296116,0.11170014758458906,0.08030079164847262,0.10555014595106745
pos_prop_VERB,0.11637763180696961,0.11418977118060306,0.12394767254915062,0.12210123548309162
pos_prop_CCONJ,0.025969660436878872,0.03891609295931955,0.04075067567290906,0.04661816322405624
pos_prop_PRON,0.06963220853865033,0.0457908369065329,0.08859692637627183,0.055101793767765715
pos_prop_ADV,0.027481817710473956,0.02455476800260805,0.029879912884245918,0.019451486558878142
pos_prop_AUX,0.04138868594654543,0.038418097766076124,0.044561327276122206,0.03506504863987496
pos_prop_PART,0.02855761369008204,0.023454820439239916,0.029055307437872456,0.02533737414632133
pos_prop_SCONJ,0.015043521938227219,0.010486864333563174,0.018411602921007755,0.02076094000346978
pos_prop_NUM,0.01430158625760956,0.003639447718395087,0.008476901520379781,0.015881558634545833
dependency_distance_mean,2.6926989307594202,2.7131537815587294,2.7987437404005497,2.8176435261694577
dependency_distance_std,0.7663874369867198,0.5676400128053999,0.5346651270445599,0.43674271446141033
prop_adjacent_dependency_relation_mean,0.423551110608523,0.4658920819496261,0.4629240317521563,0.4732108299662846
prop_adjacent_dependency_relation_std,0.10029936915471457,0.06749866500607281,0.06136084774950523,0.07118998287717511
token_length_mean,4.818390061198959,5.250858142418186,5.066881184594027,5.2121276461376045
token_length_median,4.2,4.6,4.2,4.4
token_length_std,2.624055848843108,2.845375359857343,2.810023947380775,2.816778680302311
sentence_length_mean,17.568140850209815,20.180688798457915,20.982095669036845,21.07638888888889
sentence_length_median,15.4,20.8,21.7,21.0
sentence_length_std,10.19523967186763,7.002766893441789,5.585496150814924,4.588714165225653
syllables_per_token_mean,1.4372711933543698,1.5733621723777296,1.5161633408275481,1.566287813218621
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7760499282214871,0.8742390652155592,0.8307501676215312,0.8573504507565325
n_tokens,455.0,487.0,362.8,233.6
n_unique_tokens,260.8,249.6,194.6,142.4
proportion_unique_tokens,0.5732427701328269,0.5126039670021982,0.5358566320819379,0.6293006199875635
n_characters,2299.4,2630.0,1887.6,1229.0
n_sentences,26.4,24.4,17.8,11.4
first_order_coherence,0.6973998775625356,0.8154681137785857,0.8492089533120112,0.8149904391520163
second_order_coherence,0.6930818491549233,0.7954335894054403,0.8386632720872818,0.8118228737087477
n_stop_words,219.2,228.4,186.6,114.2
alpha_ratio,0.8390005492265796,0.8891645424098463,0.8855465181799073,0.8947751078016871
mean_word_length,4.2072301099625395,4.7620483604164745,4.591537060495343,4.791685664491169
doc_length,546.4,552.6,413.4,261.0
top_ngram_chr_fraction_2,0.013795057529706148,0.021568460891094522,0.015996290090549002,0.018887605701234347
oov_ratio,0.009111183626100418,0.0027219725007743634,0.021108179419525065,0.013623978201634877
flesch_reading_ease,67.41019407925737,53.245161086409325,57.27075426191705,52.934516279482445
flesch_kincaid_grade,8.221375013163396,10.846142265455796,10.48374473268944,11.111987862646398
smog,10.911014126868658,13.259810179559864,12.839225978803352,12.826133095053013
gunning_fog,11.274633993944873,14.358252006376171,13.937798903424206,14.027193386186648
automated_readability_index,10.048687613352005,13.39188625001861,12.92605821395629,13.657315657752559
coleman_liau_index,10.813642066363565,13.591978763811792,12.545811048673887,13.404709398501785
lix,43.609333365298504,52.57648740203307,50.75170827428355,53.76948380995149
rix,4.5882904579456305,6.528014135789249,6.359197155785391,6.843055555555556
entropy,16.424273968405746,17.029505593808683,12.907989573207283,7.410470439286146
perplexity,15680702.349160176,34864504.01731872,2984325.756291571,14032.89578291307
per_word_perplexity,28582.93275747046,62769.61193951357,6055.686948430135,39.083132084079864
connectives,10.8,9.8,9.2,8.0
duplicate_ngram_chr_fraction_5,0.04423557103880048,0.04247887954435126,0.01921782587272749,
duplicate_ngram_chr_fraction_6,0.034512848676539046,0.04018986312655374,,
top_ngram_chr_fraction_3,0.008323711950572995,0.03012581384957859,0.015892252932054037,0.037982530382299026
top_ngram_chr_fraction_4,0.022650832907532614,0.018944063150299156,0.026025942657439752,
pos_prop_SYM,0.001830085057933159,0.0034782608695652175,,0.0028089887640449437
duplicate_ngram_chr_fraction_7,,0.025999812106145576,,
symbol_to_word_ratio_#,,0.0039603960396039604,,
