lemma,shannon
der,1.70985198210291
ein,1.5127633969661096
neu,1.0986122886681096
werden,1.4270610433807247
viel,1.351783994289646
haben,1.5607104090414063
erst,1.0397207708399179
ihr,0.6365141682948128
alle,1.0114042647073518
umsetzen,0.6931471805599453
können,1.5229550675313184
sein,1.7986522062521288
berichten,0.6931471805599453
zeigen,0.9502705392332347
ich,1.0397207708399179
dies,1.3321790402101223
gemischt,0.6931471805599453
solch,0.6365141682948128
nach,0.6365141682948128
häufig,0.6931471805599453
gut,0.6931471805599453
positiv,1.0114042647073516
scheinen,0.6931471805599453
lebenswert,1.0986122886681096
d,0.6931471805599453
nachhaltig,0.6931471805599453
weit,0.5623351446188083
öffentlich,0.6931471805599453
groß,0.6931471805599453
