lemma,shannon
der,1.6776186110921272
ein,1.6172553126049523
sollen,1.0114042647073516
werden,1.539654447440098
sein,1.3208883431493221
dies,1.5229550675313184
er,0.6365141682948128
verschieden,0.6365141682948128
zusätzlich,0.6931471805599453
sozial,1.0549201679861442
können,1.0789922078775833
wichtig,0.6365141682948128
politisch,1.0549201679861442
ihr,0.6931471805599453
langfristig,0.6931471805599453
sehen,0.6365141682948128
jung,0.6931471805599453
vermeiden,0.6931471805599453
geben,0.6365141682948128
international,0.9743147528693494
öffentlich,0.6365141682948128
stark,1.0397207708399179
stehen,0.6931471805599453
zunehmend,0.6931471805599453
erheblich,0.6931471805599453
betonen,0.6931471805599453
haben,0.6365141682948128
