system,file,TTR,Yules,MTLD
continue,1.txt,89.29618768328446,116997.16088328075,1479.9400000000003
continue,10.txt,86.30573248407643,82984.18079096045,722.7165033016141
continue,100.txt,87.95379537953795,94381.72757475084,1073.8486956521742
continue,11.txt,84.45839874411303,65043.595505617974,978.6754782608697
continue,12.txt,85.65153733528551,74396.73913043478,625.5277039552093
continue,13.txt,86.18421052631578,71878.53403141361,731.4102564102564
continue,14.txt,91.20750293083235,193381.4696485623,2365.6391111111116
continue,15.txt,86.83181225554108,122868.69806094182,1431.2212389380534
continue,16.txt,87.47591522157995,76057.56457564575,662.045962118986
continue,17.txt,88.78326996197718,79886.08058608058,770.3829522335252
continue,18.txt,86.04206500956023,62307.69230769231,821.0106382978726
continue,19.txt,88.3495145631068,75009.05797101448,1017.301369863014
continue,2.txt,90.03322259136213,115655.11811023623,1296.6189743589746
continue,20.txt,87.93969849246231,113953.48837209304,958.0104203420133
continue,21.txt,90.20522388059702,227515.57177615573,2838.1015384615393
continue,22.txt,87.12871287128714,116755.69230769231,1323.0026923076928
continue,23.txt,86.7595818815331,65958.51063829788,990.7036363636363
continue,24.txt,84.38438438438438,67777.68240343347,743.4513360323888
continue,25.txt,77.14863498483317,48921.76470588235,552.9401473296501
continue,26.txt,89.98527245949927,130531.81818181818,1634.0693670886071
continue,27.txt,80.64952638700947,49960.056258790435,970.4303797468355
continue,28.txt,86.8995633187773,79912.33183856502,1304.622574257426
continue,29.txt,86.73184357541899,94288.75305623471,964.9191373984079
continue,3.txt,87.83638320775027,148961.07382550335,1799.8749999999993
continue,30.txt,81.44712430426716,41004.46808510638,533.7526367163058
continue,31.txt,88.41642228739003,113273.83177570094,1261.8776470588236
continue,32.txt,89.04458598726114,124010.40609137056,1811.6176842105267
continue,33.txt,82.79569892473118,101328.95480225989,1087.0135920866169
continue,34.txt,82.23583460949465,54409.24528301887,644.1470243055556
continue,35.txt,89.03614457831324,151280.05540166204,1155.284449485167
continue,36.txt,76.18453865336659,34727.53488372093,636.4771525654096
continue,37.txt,87.45644599303137,88113.28671328671,684.2431172495837
continue,38.txt,91.2310286677909,126155.60344827586,1528.1043750000008
continue,39.txt,85.35645472061657,53619.94535519126,660.5511309422632
continue,4.txt,84.98583569405099,82568.80733944954,866.0996163760856
continue,40.txt,87.14069591527988,83570.78085642318,1178.7049056603778
continue,41.txt,90.74074074074075,219269.40639269404,1864.7607476752453
continue,42.txt,91.44021739130434,179023.32015810278,2230.15661971831
continue,43.txt,86.58088235294117,63202.5641025641,878.6576842105262
continue,44.txt,87.01492537313433,99093.0029154519,861.1842763145435
continue,45.txt,85.71428571428571,62934.4537815126,944.2071578947371
continue,46.txt,91.98767334360555,183715.9793814433,1814.4043076923072
continue,47.txt,87.08791208791209,102019.28934010152,935.0459065784014
continue,48.txt,87.6923076923077,60097.1098265896,1126.2958823529416
continue,49.txt,86.60377358490567,61783.28445747801,941.1585365853657
continue,5.txt,89.52095808383234,122467.12328767123,1500.8303614457834
continue,50.txt,82.94930875576037,48358.20895522388,680.321218847057
continue,51.txt,86.91460055096418,110293.9058171745,966.2337028657616
continue,52.txt,84.97576736672052,63024.145785876986,703.8098802454474
continue,53.txt,90.88145896656535,133434.32835820894,1870.7489230769231
continue,54.txt,85.44973544973546,84820.32520325204,912.7681402578812
continue,55.txt,85.14851485148515,53594.20289855073,610.4532566159269
continue,56.txt,90.66901408450704,117877.77777777778,1394.6627692307698
continue,57.txt,87.20787207872078,116361.34259259258,1117.9097068120755
continue,58.txt,79.39262472885032,53905.835010060364,760.34714467838
continue,59.txt,87.80889621087314,81168.28571428572,1156.9377272727274
continue,6.txt,87.61609907120743,91010.22727272728,781.211517439016
continue,60.txt,90.32697547683924,126676.94524495678,1719.782528735633
continue,61.txt,85.66929133858268,67411.38952164009,732.1942428809593
continue,62.txt,88.72053872053873,112440.89068825911,1348.7906849315075
continue,63.txt,87.12522045855378,75552.94117647059,920.6521739130437
continue,64.txt,87.76167471819646,93995.25316455695,898.1782835152442
continue,65.txt,87.21174004192872,132103.81679389314,1280.0179615193867
continue,66.txt,75.52521008403362,40167.90986790987,737.2919769922828
continue,67.txt,86.75496688741721,85272.049689441,1140.147415730337
continue,68.txt,86.40132669983416,81269.76047904191,991.9780769230773
continue,69.txt,78.85228480340064,55222.06619859579,1094.5459030837008
continue,7.txt,87.5,75156.338028169,996.9758974358979
continue,70.txt,88.212927756654,77444.60431654676,1071.8750000000002
continue,71.txt,82.82548476454294,73581.06995884774,757.1312778701135
continue,72.txt,90.27196652719665,215875.07246376813,2538.9873267326725
continue,73.txt,92.21453287197232,172175.15151515152,1537.5546666666664
continue,74.txt,84.81848184818482,65720.39800995025,695.0767785191942
continue,75.txt,88.87015177065767,86251.24223602485,1258.075897435897
continue,76.txt,84.89208633093526,62230.167597765365,661.6939524909168
continue,77.txt,91.35220125786164,154137.44292237444,1710.6515151515157
continue,78.txt,91.81669394435352,167404.78723404257,1658.4851612903224
continue,79.txt,90.36918138041734,137812.60869565216,1397.8181818181824
continue,8.txt,92.48554913294798,195047.61904761902,2282.99806451613
continue,80.txt,79.3015873015873,123417.8006329114,1426.0963241875143
continue,81.txt,88.53383458646617,88382.86852589641,1119.3639999999998
continue,82.txt,86.47416413373861,78014.69879518072,810.7426159019092
continue,83.txt,89.67851099830794,117531.38075313807,1308.398933333334
continue,84.txt,88.05719091673674,213270.23346303502,2453.1536842105274
continue,85.txt,87.42038216560509,83490.58171745153,1128.4116666666666
continue,86.txt,88.88888888888889,143706.72097759676,2169.2855172413806
continue,87.txt,90.84791386271871,152894.2953020134,1961.8997468354428
continue,88.txt,87.84029038112523,78874.07407407407,587.0652352376477
continue,89.txt,86.34772462077012,115284.21052631579,1568.848484848485
continue,9.txt,86.53846153846155,72537.31343283583,690.2411292266784
continue,90.txt,88.28748890860693,199601.81451612903,2373.6384000000007
continue,91.txt,85.27988942639945,181930.22700119475,1696.1455658964485
continue,92.txt,86.91275167785236,86556.12903225806,1144.9037209302326
continue,93.txt,88.74538745387454,78962.79863481228,1214.0841176470587
continue,94.txt,91.07142857142857,122688.67924528301,1468.6980000000003
continue,95.txt,88.42257597684515,109158.18713450292,1464.7314285714288
continue,96.txt,82.83433133732535,42419.95073891625,675.3380392156862
continue,97.txt,75.14124293785311,38188.68739205527,442.60661764705884
