lemma,shannon
werden,0.9347698978582794
der,1.7153786037413667
medizinisch,0.6931471805599453
sein,1.3269201940506905
proteolytisch,0.6931471805599453
können,1.310783678099714
helfen,0.6730116670092565
dies,1.236684869140504
ein,1.0114042647073516
enzymatisch,0.6931471805599453
haben,0.5623351446188083
zeigen,0.6365141682948128
chronisch,0.6931471805599453
entzündlich,0.6931471805599453
weit,0.6931471805599453
verschieden,0.6365141682948128
enthalten,0.6931471805599453
unterstützen,0.6931471805599453
einige,0.6931471805599453
bestimmt,1.0397207708399179
allergisch,0.6931471805599453
beide,0.6931471805599453
nutzen,0.6931471805599453
körpereigen,0.6931471805599453
gezielt,0.6931471805599453
führen,0.6931471805599453
sicher,0.6931471805599453
therapeutisch,0.6931471805599453
sollen,0.6365141682948128
ärztlich,0.6931471805599453
potentiell,0.6931471805599453
