lemma,shannon
der,1.5039975617864023
sein,1.4270610433807247
verschieden,0.6931471805599453
ein,1.4964159349401391
randomisiert,0.6829081047004717
werden,1.2554823251787537
zeigen,0.6730116670092565
dies,1.2519894208137132
gut,0.6365141682948128
haben,1.0549201679861442
untersuchen,0.6365141682948128
historisch,1.0986122886681096
direkt,0.5623351446188083
können,0.6365141682948128
Risiko,0.5982695885852573
erst,0.5623351446188083
stark,1.0397207708399179
chemotherapeutisch,0.6931471805599453
langfristig,0.5623351446188083
weit,0.6365141682948128
kein,0.6931471805599453
breit,0.6931471805599453
sollen,0.6931471805599453
detailliert,0.6931471805599453
gezielt,0.6365141682948128
