"Feature","System","Cohen_d"
"pos_prop_VERB","continue",2.88005776720858
"pos_prop_VERB","explain",2.69216312024654
"pos_prop_VERB","create",3.25630854106692
"pos_prop_PUNCT","continue",-2.50682662893654
"pos_prop_PUNCT","explain",-2.19600329745718
"pos_prop_PUNCT","create",-2.17540762904337
"first_order_coherence","continue",2.33607265837164
"first_order_coherence","explain",2.42307070513401
"first_order_coherence","create",0.619026373717214
"MTLD","continue",1.64964487120165
"MTLD","explain",1.38960340927647
"MTLD","create",2.44457299044007
