"Feature","System","Cohen_d"
"MTLD","continue",-0.0716754828322225
"MTLD","explain",0.108450047925871
"MTLD","create",0.244521035746254
"coleman_liau_index","continue",0.0134449625009172
"coleman_liau_index","explain",0.11943555116007
"coleman_liau_index","create",0.487952342508832
"mean_word_length","continue",0.873445144180769
"mean_word_length","explain",0.858243427650868
"mean_word_length","create",1.21757574256799
"pos_prop_VERB","continue",2.10941748143455
"pos_prop_VERB","explain",2.00375613811055
"pos_prop_VERB","create",NA
