"Feature","System","Cohen_d"
"coleman_liau_index","continue",2.74506346289199
"coleman_liau_index","explain",2.26006274415043
"coleman_liau_index","create",2.69380884086865
"flesch_reading_ease","continue",-2.33411092894884
"flesch_reading_ease","explain",-1.90871932760662
"flesch_reading_ease","create",-2.56541504902159
"lix","continue",2.67544891504855
"lix","explain",2.16518617346987
"lix","create",2.78973267048277
"mean_word_length","continue",2.9116996718022
"mean_word_length","explain",2.08138553684614
"mean_word_length","create",2.45838877118881
