feature,persona,test,t-statistic,pvalue,bon,bh
mtld,human-create,t,-39.58121045878412,2.440217078291949e-164,1.7325541255872838e-162,1.7325541255872838e-162
mtld,human-continue,t,-32.843373371046795,4.8787080755481707e-141,3.463882733639201e-139,1.4857345047930102e-104
yules_k,human-create,t,-33.994007971999636,1.1629644384689981e-138,8.2570475131298865e-137,1.0293852716296555e-136
token_length_median,human-create,t,-30.78265584218244,4.349515232237981e-138,3.0881558148889667e-136,1.1692267449546525e-121
mean_word_length,human-create,mannwhitneyu,4092.0,6.587192929321985e-123,4.67690697981861e-121,5.256959771184387e-109
syllables_per_token_mean,human-create,t,-26.28499383887293,3.702084345904498e-110,2.6284798855921935e-108,6.394061019767113e-108
coleman_liau_index,human-create,mannwhitneyu,8832.0,5.403431847690519e-109,3.836436611860268e-107,4.0284696510726425e-107
token_length_mean,human-create,mannwhitneyu,9137.0,3.971730641902606e-108,2.81992875575085e-106,1.2234242191358124e-97
mean_word_length,human-continue,mannwhitneyu,9854.0,4.1851676191352396e-106,2.9714690095860203e-104,9.588804905113729e-70
mean_word_length,human-explain,mannwhitneyu,11331.0,5.338650610782244e-102,3.7904419336553933e-100,3.371673506912623e-58
token_length_median,human-continue,t,-24.75307574737713,3.0956407651776744e-101,2.197904943276149e-99,1.373481440835274e-68
rix,human-create,t,-24.372742696095557,1.3785061624065493e-98,9.787393753086499e-97,1.4002583995568653e-84
automated_readability_index,human-create,t,-24.691963348946214,1.0138107301467427e-97,7.198056184041873e-96,1.9930062279374577e-80
lix,human-create,mannwhitneyu,14878.0,1.7846238744043052e-92,1.2670829508270568e-90,4.019588096352736e-75
token_length_median,human-explain,t,-22.42033050846463,3.6827512912957857e-87,2.6147534168200077e-85,6.7749772305583755e-46
flesch_reading_ease,human-create,mannwhitneyu,151137.0,4.254269424758834e-87,3.020531291578772e-85,3.73480314797857e-66
second_order_coherence,human-continue,t,-23.177114943015813,1.7461375537103167e-85,1.2397576631343249e-83,2.1068039433052865e-51
