feature,persona,test,t-statistic,pvalue,bon,bh,reject
proportion_unique_tokens,human-asmachine,t-test,-34.66323187621812,2.787532532508349e-122,1.979148098080928e-120,1.979148098080928e-120,True
type_token_ratio,human-asmachine,t-test,-33.55568200181332,4.272762997128245e-118,3.033661727961054e-116,1.516830863980527e-116,True
proportion_unique_tokens,human-ashuman,t-test,-33.041257404746204,3.9578691132282904e-116,2.810087070392086e-114,9.759313236978528e-80,True
type_token_ratio,human-ashuman,t-test,-31.801908802282323,2.4810553459014692e-111,1.761549295590043e-109,8.574770092955383e-66,True
mean_word_length,human-asmachine,t-test,-24.752550961731863,1.4708622048763814e-82,1.0443121654622307e-80,7.175487781698098e-66,True
mean_word_length,human-ashuman,t-test,-24.411613804765786,4.1236534804134632e-81,2.9277939710935586e-79,9.851959532412861e-64,True
mtld,human-ashuman,mannwhitneyu,0.0,4.830856390397399e-67,3.4299080371821533e-65,2.5110021175333794e-63,True
mtld,human-asmachine,mannwhitneyu,2.0,4.9780888434878555e-67,3.5344430788763776e-65,2.0414239266795348e-63,True
yules_k,human-asmachine,mannwhitneyu,3.0,5.053160409646548e-67,3.587743890849049e-65,1.8004374464486373e-47,True
yules_k,human-ashuman,mannwhitneyu,3.0,5.0533736956310836e-67,3.5878953238980693e-65,4.644295205045318e-50,True
per_word_perplexity,human-asmachine,mannwhitneyu,39666.0,6.97431805050017e-65,4.951765815855121e-63,4.835125121318409e-43,True
per_word_perplexity,human-ashuman,mannwhitneyu,39654.0,8.325599604855939e-65,5.911175719447716e-63,2.1815778481445138e-45,True
entropy,human-asmachine,mannwhitneyu,39585.0,2.3001959737234196e-64,1.6331391413436278e-62,4.1482471418390565e-42,True
perplexity,human-asmachine,mannwhitneyu,39585.0,2.3001959737234196e-64,1.6331391413436278e-62,7.739882818826537e-41,True
perplexity,human-ashuman,mannwhitneyu,39580.0,2.475635890525867e-64,1.7577014822733656e-62,1.797457911727571e-42,True
entropy,human-ashuman,mannwhitneyu,39580.0,2.475635890525867e-64,1.7577014822733656e-62,6.732985042857117e-41,True
automated_readability_index,human-ashuman,t-test,-17.529125077171074,2.1613494964193037e-51,1.5345581424577056e-49,9.982406915494488e-37,True
pos_prop_PUNCT,human-ashuman,mannwhitneyu,37351.5,6.541260852176504e-51,4.6442952050453175e-49,3.811888051602689e-36,True
pos_prop_PUNCT,human-asmachine,t-test,16.825634561323547,2.2822446504278503e-48,1.6203937018037737e-46,2.0817028677479685e-33,True
alpha_ratio,human-ashuman,mannwhitneyu,3490.0,2.923815504397048e-46,2.075909008121904e-44,1.8473916212632578e-34,True
lix,human-ashuman,t-test,-16.30888437417374,3.6871738278498825e-46,2.6178934177734164e-44,1.5923559214940888e-33,True
automated_readability_index,human-asmachine,t-test,-16.149011979734013,1.7673130366496694e-45,1.2547922560212653e-43,3.6891990842770534e-28,True
rix,human-ashuman,t-test,-16.070056388968258,3.8278479120960227e-45,2.717772017588176e-43,3.534324753197767e-30,True
token_length_median,human-ashuman,mannwhitneyu,4639.5,1.9572050345508602e-44,1.3896155745311108e-42,4.363397980138052e-30,True
coleman_liau_index,human-asmachine,mannwhitneyu,3943.0,7.491038920352465e-44,5.31863763345025e-42,2.6144569503503363e-26,True
coleman_liau_index,human-ashuman,mannwhitneyu,4078.0,3.797446292382192e-43,2.6961868675913566e-41,8.213939469370041e-28,True
token_length_median,human-asmachine,mannwhitneyu,4883.0,3.884803566898972e-43,2.7582105324982703e-41,9.296508016418557e-26,True
token_length_mean,human-asmachine,mannwhitneyu,4136.0,7.59538209069123e-43,5.392721284390774e-41,1.1944827769754616e-25,True
token_length_mean,human-ashuman,mannwhitneyu,4389.0,1.517292404024139e-41,1.0772776068571388e-39,4.0847088241613837e-25,True
alpha_ratio,human-asmachine,mannwhitneyu,4389.5,1.5261740769517117e-41,1.0835835946357152e-39,4.2569262833839525e-18,True
lix,human-asmachine,t-test,-14.772014441770676,1.1106225941891038e-39,7.885420418742637e-38,6.716826714160865e-17,True
n_stop_words,human-asmachine,mannwhitneyu,35139.0,3.548234164444153e-39,2.5192462567553483e-37,9.696947480755659e-17,True
flesch_kincaid_grade,human-ashuman,t-test,-14.208348460339263,2.3901537684986803e-37,1.697009175634063e-35,2.5435157307568227e-20,True
top_ngram_chr_fraction_2,human-ashuman,mannwhitneyu,34639.0,9.663941539274424e-37,6.861398492884841e-35,2.7264863113250545e-20,True
prop_adjacent_dependency_relation_mean,human-ashuman,mannwhitneyu,5371.0,1.078937437887429e-36,7.660455809000746e-35,1.3412671247035098e-19,True
top_ngram_chr_fraction_2,human-asmachine,mannwhitneyu,34410.0,1.1817986132674933e-35,8.390770154199203e-34,3.7397508831131645e-10,True
rix,human-asmachine,t-test,-13.669262878141101,3.8219202185298354e-35,2.713563355156183e-33,3.8144305339626765e-10,True
gunning_fog,human-ashuman,t-test,-13.636241419698194,5.2039200598965e-35,3.6947832425265155e-33,3.4867638602509037e-16,True
pos_prop_AUX,human-ashuman,t-test,13.399739849272933,4.7097851199120934e-34,3.3439474351375865e-32,6.869666262593259e-16,True
n_unique_tokens,human-asmachine,mannwhitneyu,5950.0,5.570754153128366e-34,3.9552354487211404e-32,2.3469831434367108e-08,True
duplicate_ngram_chr_fraction_5,human-asmachine,mannwhitneyu,32789.0,2.221573612902482e-31,1.577317265160762e-29,4.056061496990362e-08,True
n_stop_words,human-ashuman,mannwhitneyu,33429.5,3.4301361810453445e-31,2.4353966885421946e-29,7.729105681898648e-12,True
duplicate_ngram_chr_fraction_5,human-ashuman,mannwhitneyu,32657.0,1.1449221031485724e-30,8.128946932354864e-29,5.960929265387774e-11,True
flesch_reading_ease,human-ashuman,mannwhitneyu,33285.0,1.4749514299058204e-30,1.0472155152331324e-28,2.3531815628780283e-10,True
top_ngram_chr_fraction_3,human-asmachine,mannwhitneyu,32879.0,7.438069174161831e-30,5.2810291136549e-28,1.0905201186156286e-05,True
