feature,persona,test,t-statistic,pvalue,bon,bh,reject
proportion_unique_tokens,human-create,t-test,-51.85436296707894,8.844042940354707e-261,6.279270487651842e-259,6.279270487651842e-259,True
proportion_unique_tokens,human-continue,t-test,-45.664985617881186,3.2430190496500704e-227,2.30254352525155e-225,6.72196915488255e-182,True
mean_word_length,human-explain,t-test,-43.14309165363118,5.996859424052878e-213,4.2577701910775434e-211,8.16493773819411e-155,True
mean_word_length,human-create,t-test,-39.35240708662139,6.845111979393208e-191,4.860029505369178e-189,2.18727953915555e-168,True
mean_word_length,human-continue,t-test,-38.09949072323791,1.8935124379950845e-183,1.34439383097651e-181,3.015498613104696e-138,True
automated_readability_index,human-create,t-test,-35.950781791019004,1.5759470561355064e-170,1.1189224098562095e-168,6.072295927348441e-160,True
coleman_liau_index,human-create,t-test,-35.8033717612026,1.2322701629045353e-169,8.7491181566222e-168,1.3331415760020703e-145,True
lix,human-create,t-test,-35.243190316443645,3.106328125055606e-166,2.20549296878948e-164,9.86384426919324e-139,True
coleman_liau_index,human-explain,t-test,-35.178336730499694,7.705292749789455e-166,5.470757852350513e-164,5.793514568555643e-116,True
token_length_mean,human-create,t-test,-34.3874028061955,5.13151768508319e-161,3.6433775564090646e-159,9.48413911525754e-135,True
token_length_mean,human-explain,t-test,-33.5991277304566,3.4499736921946945e-156,2.449481321458233e-154,1.6757031102134527e-115,True
coleman_liau_index,human-continue,t-test,-32.40452755156671,7.726634587260116e-149,5.485910556954682e-147,5.642600059929207e-123,True
lix,human-continue,t-test,-32.382972484411944,1.0494315276437478e-148,7.45096384627061e-147,5.208553901473114e-123,True
flesch_kincaid_grade,human-create,t-test,-32.04313197141577,1.3143649340865483e-146,9.331991032014492e-145,2.297431102206404e-127,True
entropy,human-explain,t-test,31.70525211131856,1.6103307063059058e-144,1.143334801477193e-142,1.8515593218454087e-109,True
flesch_reading_ease,human-create,t-test,30.923673750947476,1.1114190725851538e-139,7.891075415354592e-138,1.7072170734634968e-125,True
token_length_mean,human-continue,t-test,-30.8783089414107,2.123590572608941e-139,1.5077493065523482e-137,2.202244517715731e-105,True
gunning_fog,human-create,t-test,-30.806129517134845,5.950319779269523e-139,4.2247270432813613e-137,8.542247809061762e-112,True
pos_prop_DET,human-continue,t-test,30.418701312402636,1.5054791326626792e-136,1.0688901841905022e-134,1.7174466108464552e-102,True
mtld,human-create,mannwhitneyu,0.0,1.335794241585569e-135,9.48413911525754e-134,1.609693329177617e-96,True
yules_k,human-create,mannwhitneyu,0.0,1.3358568457215976e-135,9.484583604623342e-134,2.433522009418209e-96,True
mtld,human-continue,mannwhitneyu,1.0,1.3456125465671562e-135,9.553849080626809e-134,1.0542828503449956e-88,True
mtld,human-explain,mannwhitneyu,2.0,1.3554847504032668e-135,9.623941727863195e-134,6.44462110838681e-88,True
yules_k,human-continue,mannwhitneyu,5.0,1.385644011892842e-135,9.83807248443918e-134,6.416834941624222e-81,True
pos_prop_VERB,human-explain,t-test,-30.25339795772344,1.5981974046716513e-135,1.1347201573168725e-133,1.572887523969248e-82,True
yules_k,human-explain,mannwhitneyu,148.0,3.943145399661214e-135,2.7996332337594618e-133,2.6533089098295735e-81,True
flesch_reading_ease,human-explain,t-test,29.92559593973559,1.734095483870222e-133,1.2312077935478576e-131,7.08656533044982e-80,True
type_token_ratio,human-create,mannwhitneyu,1068.5,3.1684646847722415e-132,2.2496099261882914e-130,4.7604996691706835e-76,True
type_token_ratio,human-continue,mannwhitneyu,1791.0,5.7383363079493255e-130,4.074218778644021e-128,1.764419475482655e-62,True
pos_prop_DET,human-create,t-test,29.15164772824226,1.1183405726000267e-128,7.94021806546019e-127,6.148069752728364e-64,True
per_word_perplexity,human-create,mannwhitneyu,165697.0,4.5301458353365713e-128,3.2164035430889656e-126,5.31659452303924e-61,True
gunning_fog,human-continue,t-test,-28.765004443772728,2.8346091807405773e-126,2.0125725183258098e-124,1.2978055204452173e-53,True
entropy,human-create,mannwhitneyu,165070.0,3.847249743016331e-126,2.731547317541595e-124,1.275521558944e-59,True
perplexity,human-create,mannwhitneyu,165070.0,3.847249743016331e-126,2.731547317541595e-124,2.889808316242096e-53,True
per_word_perplexity,human-continue,mannwhitneyu,164946.0,9.223495059660378e-126,6.548681492358868e-124,3.9274870516422395e-51,True
entropy,human-continue,mannwhitneyu,164285.0,9.536788833683167e-124,6.771120071915048e-122,7.882272108329384e-50,True
perplexity,human-continue,mannwhitneyu,164285.0,9.536788833683167e-124,6.771120071915048e-122,4.061351313198726e-47,True
flesch_reading_ease,human-continue,t-test,27.875051610229523,9.681923488349254e-121,6.87416567672797e-119,1.4903060840720955e-46,True
proportion_unique_tokens,human-explain,t-test,-27.250692415898826,7.343891706619828e-117,5.214163111700078e-115,1.2961224530574329e-33,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-27.23711079944983,8.918445341411842e-117,6.332096192402408e-115,1.567996830692543e-32,True
automated_readability_index,human-explain,mannwhitneyu,6303.0,2.596159748218025e-116,1.843273421234798e-114,5.480127786168381e-29,True
rix,human-create,mannwhitneyu,6820.0,8.508264524825964e-115,6.040867812626435e-113,5.595818655516014e-35,True
automated_readability_index,human-continue,mannwhitneyu,7070.0,4.5637192500526436e-114,3.240240667537377e-112,6.698412721278397e-34,True
token_length_median,human-create,mannwhitneyu,10740.0,2.165640289621292e-112,1.5376046056311173e-110,1.8848023098292855e-33,True
lix,human-explain,mannwhitneyu,7652.0,2.228543957592906e-112,1.5822662098909632e-110,2.9891357060814772e-18,True
rix,human-explain,mannwhitneyu,7731.5,3.7796191651534546e-112,2.683529607258953e-110,1.2362077552577958e-13,True
per_word_perplexity,human-explain,mannwhitneyu,160016.0,3.919550380474455e-111,2.782880770136863e-109,1.4009803118770362e-09,True
pos_prop_DET,human-explain,t-test,26.166522902270746,3.911745046152272e-110,2.777338982768113e-108,1.6221829497020907e-07,True
rix,human-continue,mannwhitneyu,8839.0,5.654825133668752e-109,4.014925844904814e-107,1.8328660338154887e-15,True
perplexity,human-explain,mannwhitneyu,158487.0,8.790039805178298e-107,6.240928261676592e-105,6.743647499245663e-07,True
flesch_kincaid_grade,human-explain,mannwhitneyu,9880.0,4.951092723756478e-106,3.515275833867099e-104,0.0026519509252657942,True
token_length_median,human-continue,mannwhitneyu,13109.0,5.272979831150342e-106,3.7438156801167425e-104,6.764086499253378e-09,True
token_length_median,human-explain,mannwhitneyu,14488.5,7.623817063559268e-104,5.41291011512708e-102,0.05578119870075161,True
pos_prop_VERB,human-continue,mannwhitneyu,10878.0,2.9985155782107135e-103,2.1289460605296066e-101,2.3930974919505213e-07,True
flesch_kincaid_grade,human-continue,mannwhitneyu,10945.0,4.595983888180655e-103,3.263148560608265e-101,1.6380424354066693e-05,True
prop_adjacent_dependency_relation_mean,human-continue,t-test,-24.913057870710677,2.17992646599471e-102,1.547747790856244e-100,8.986264054158597e-05,True
gunning_fog,human-explain,mannwhitneyu,11638.0,3.7196553964021753e-101,2.6409553314455446e-99,0.49049954114628674,True
prop_adjacent_dependency_relation_mean,human-create,t-test,-24.537705306420367,4.454784506378704e-100,3.16289699952888e-98,0.021580351700692682,True
n_unique_tokens,human-create,mannwhitneyu,13146.0,4.534347406134133e-97,3.219386658355234e-95,0.15831705071890625,True
sentence_length_mean,human-create,mannwhitneyu,13219.5,7.197741154617238e-97,5.110396219778239e-95,0.16752811497971531,True
pos_prop_PUNCT,human-continue,mannwhitneyu,153994.0,1.6556162376029591e-94,1.175487528698101e-92,0.03509789600803762,True
