feature,persona,test,t-statistic,pvalue,bon,bh,reject
MTLD,human-create,t-test,-26.690423314135998,1.2514986373447238e-70,8.885640325147539e-69,8.885640325147539e-69,True
mean_word_length,human-create,t-test,-25.826849707957724,2.9276509550331903e-68,2.078632178073565e-66,1.0393160890367825e-66,True
coleman_liau_index,human-create,t-test,-22.543389785071106,7.001967188111193e-59,4.971396703558947e-57,1.657132234519649e-57,True
token_length_mean,human-create,t-test,-22.151444312432083,1.0079093723249518e-57,7.1561565435071575e-56,1.7890391358767894e-56,True
syllables_per_token_mean,human-create,t-test,-19.9191627310537,5.598412486652538e-51,3.974872865523302e-49,7.949745731046605e-50,True
mean_word_length,human-continue,t-test,-19.915147232894455,5.759884436861902e-51,4.0895179501719504e-49,1.3144151626932853e-32,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-18.88530395832826,8.932915087105357e-48,6.342369711844804e-46,1.9897586312553537e-29,True
MTLD,human-explain,t-test,-18.462713831568482,1.875206254272894e-46,1.3313964405337547e-44,1.7910899591402275e-29,True
flesch_reading_ease,human-create,t-test,18.329347731338878,4.917240231799719e-46,3.4912405645778006e-44,3.1169879000647225e-35,True
mean_word_length,human-explain,t-test,-17.934791946211263,8.593799908220588e-45,6.101597934836618e-43,2.8420650456829003e-27,True
MTLD,human-continue,t-test,-17.89297849343164,1.1646141131097554e-44,8.268760203079264e-43,1.9820082923108835e-26,True
pos_prop_VERB,human-create,t-test,-17.751025203570684,3.2715110875449075e-44,2.3227728721568844e-42,8.265405494508367e-32,True
pos_prop_VERB,human-continue,t-test,-16.420224859270874,5.620838089998972e-40,3.9907950438992697e-38,1.6630136436760424e-24,True
dependency_distance_mean,human-continue,t-test,16.35571373531749,9.042038212766456e-40,6.419847131064184e-38,5.682648665117282e-21,True
pos_prop_VERB,human-explain,t-test,-16.32205318073178,1.1588603236183275e-39,8.227908297690125e-38,7.749300965458379e-15,True
lix,human-create,t-test,-15.905731714017243,2.5045797138749704e-38,1.778251596851229e-36,4.162766651645589e-26,True
Yules,human-create,t-test,-15.221949184111041,3.951111422617254e-36,2.8052891100582503e-34,4.65943385818383e-26,True
dependency_distance_std,human-continue,mannwhitneyu,11877.0,5.334846278455219e-35,3.787740857703205e-33,5.083736042115116e-15,True
prop_adjacent_dependency_relation_mean,human-create,t-test,-14.588066022568707,4.3429526343277014e-34,3.083496370372668e-32,1.2873069386785325e-24,True
dependency_distance_std,human-explain,mannwhitneyu,11788.0,5.45276669697018e-34,3.871464354848828e-32,5.4144821070651505e-12,True
prop_adjacent_dependency_relation_mean,human-continue,t-test,-14.461431920727765,1.110773376923903e-33,7.886490976159712e-32,1.6494435300397345e-11,True
token_length_mean,human-continue,t-test,-14.370398096464463,2.181660903212556e-33,1.5489792412809146e-31,1.5744688241288375e-11,True
dependency_distance_std,human-create,mannwhitneyu,11719.0,3.226299624729672e-33,2.290672733558067e-31,1.4590632331426752e-20,True
token_length_median,human-create,mannwhitneyu,742.0,1.3969699427338085e-32,9.91848659341004e-31,3.7807380296993335e-20,True
syllables_per_token_median,human-create,t-test,-14.086727705038438,1.7866670676030844e-32,1.2685336179981899e-30,6.7659052055040215e-18,True
coleman_liau_index,human-continue,t-test,-13.751471703496328,2.1402356657312855e-31,1.5195673226692128e-29,8.432907898417096e-07,True
flesch_kincaid_grade,explain-create,t-test,-13.748720384275577,2.1842686400786725e-31,1.5508307344558574e-29,7.055019581721818e-07,True
second_order_coherence,human-explain,t-test,-13.556218072619977,9.07485004182934e-31,6.443143529698832e-29,1.677663330958936e-05,True
flesch_reading_ease,explain-create,t-test,13.506248517688423,1.3130937299615693e-30,9.322965482727142e-29,3.633925341828046e-05,True
first_order_coherence,human-explain,t-test,-13.45193747703056,1.9617338618010528e-30,1.3928310418787476e-28,2.7391321073837265e-05,True
dependency_distance_mean,human-explain,t-test,13.448102373402742,2.0181295314256084e-30,1.432871967312182e-28,2.9583639056896263e-05,True
automated_readability_index,human-create,t-test,-13.368100575373177,3.644609932236872e-30,2.587673051888179e-28,1.6302160711757942e-12,True
gunning_fog,explain-create,t-test,-13.267842428286317,7.641122159847543e-30,5.425196733491755e-28,0.00014361609024942404,True
automated_readability_index,explain-create,t-test,-13.222250303385016,1.0697581012434329e-29,7.595282518828373e-28,0.0005897984366428984,True
lix,explain-create,t-test,-12.984593046042102,6.168193796600715e-29,4.3794175955865076e-27,0.0020107675679359115,True
sentence_length_std,human-explain,mannwhitneyu,11263.0,2.3963035833752203e-28,1.7013755441964064e-26,0.0038763849510911486,True
alpha_ratio,human-explain,t-test,-12.730335829343481,4.002908515046338e-28,2.8420650456829e-26,0.0040706944083135355,True
flesch_kincaid_grade,human-create,t-test,-12.654234357614005,6.99953217303913e-28,4.9696678428577825e-26,7.3753913201278685e-06,True
flesch_kincaid_grade,continue-create,t-test,-12.612724981916443,9.492037185058757e-28,6.739346401391717e-26,0.0608100408896189,True
automated_readability_index,continue-create,t-test,-12.53598168128073,1.666379808338579e-27,1.183129663920391e-25,0.08041640185006335,True
first_order_coherence,human-continue,t-test,-12.510269656226846,2.011929767242508e-27,1.4284701347421806e-25,0.004547115608477841,True
alpha_ratio,human-continue,t-test,-12.50525959289891,2.0871630982415116e-27,1.4818857997514732e-25,0.005833990665941678,True
token_length_mean,human-explain,t-test,-12.476517793591041,2.576337784816056e-27,1.8291998272193996e-25,0.0232519376590454,True
syllables_per_token_mean,human-continue,t-test,-12.452548531747954,3.0707170725943264e-27,2.180209121541972e-25,0.00731239663358349,True
first_order_coherence,human-create,t-test,-12.2998878366949,9.380882595257665e-27,6.660426642632942e-25,0.0002128262107376042,True
gunning_fog,human-create,t-test,-12.276164659853748,1.115639092804579e-26,7.92103755891251e-25,0.00023595939019906102,True
sentence_length_std,human-continue,mannwhitneyu,11081.0,1.626720779110954e-26,1.1549717531687773e-24,0.020465710985559903,True
