,human-continue,human-explain,human-create,continue-explain,explain-create,continue-create
alpha_ratio,2.0,2.0,2.0,3.0,2.0,1.0
automated_readability_index,2.0,2.0,2.0,0.0,1.0,1.0
coleman_liau_index,2.0,2.0,2.0,0.0,1.0,0.0
connectives,2.0,2.0,3.0,2.0,1.0,3.0
connectives_cap,3.0,0.0,3.0,3.0,3.0,0.0
dependency_distance_mean,3.0,1.0,2.0,2.0,3.0,1.0
dependency_distance_std,2.0,2.0,2.0,0.0,1.0,0.0
doc_length,1.0,3.0,1.0,2.0,2.0,1.0
duplicate_ngram_chr_fraction_10,2.0,0.0,2.0,2.0,2.0,0.0
duplicate_ngram_chr_fraction_5,2.0,2.0,2.0,2.0,2.0,0.0
duplicate_ngram_chr_fraction_6,2.0,3.0,2.0,2.0,2.0,0.0
duplicate_ngram_chr_fraction_7,2.0,3.0,2.0,2.0,2.0,0.0
duplicate_ngram_chr_fraction_8,2.0,3.0,2.0,2.0,2.0,0.0
duplicate_ngram_chr_fraction_9,2.0,0.0,2.0,2.0,2.0,0.0
entropy,1.0,2.0,2.0,2.0,2.0,0.0
first_order_coherence,2.0,2.0,2.0,0.0,2.0,0.0
flesch_kincaid_grade,1.0,2.0,2.0,0.0,1.0,0.0
flesch_reading_ease,1.0,2.0,2.0,0.0,1.0,0.0
gunning_fog,1.0,2.0,2.0,0.0,1.0,0.0
lix,2.0,2.0,2.0,0.0,1.0,0.0
mean_word_length,2.0,2.0,2.0,0.0,1.0,0.0
mtld,2.0,2.0,2.0,2.0,2.0,2.0
n_characters,2.0,1.0,2.0,2.0,2.0,1.0
n_sentences,1.0,2.0,1.0,2.0,2.0,0.0
n_stop_words,2.0,1.0,2.0,2.0,2.0,0.0
n_tokens,2.0,1.0,3.0,2.0,2.0,1.0
n_unique_tokens,2.0,1.0,2.0,3.0,3.0,2.0
oov_ratio,2.0,0.0,1.0,2.0,2.0,0.0
per_word_perplexity,2.0,2.0,2.0,2.0,2.0,0.0
perplexity,1.0,2.0,2.0,2.0,2.0,0.0
pos_prop_ADJ,2.0,2.0,2.0,2.0,2.0,0.0
pos_prop_ADP,1.0,2.0,1.0,2.0,2.0,3.0
pos_prop_ADV,2.0,1.0,1.0,2.0,0.0,3.0
pos_prop_AUX,2.0,1.0,1.0,3.0,2.0,2.0
pos_prop_CCONJ,2.0,2.0,2.0,3.0,1.0,2.0
pos_prop_DET,2.0,2.0,2.0,1.0,1.0,3.0
pos_prop_NOUN,2.0,2.0,2.0,0.0,0.0,3.0
pos_prop_PART,0.0,0.0,0.0,0.0,0.0,3.0
pos_prop_PRON,3.0,0.0,3.0,2.0,3.0,0.0
pos_prop_PUNCT,2.0,2.0,2.0,0.0,1.0,2.0
pos_prop_SCONJ,0.0,0.0,0.0,0.0,2.0,0.0
pos_prop_VERB,2.0,2.0,2.0,0.0,0.0,0.0
prop_adjacent_dependency_relation_mean,2.0,2.0,2.0,3.0,3.0,3.0
prop_adjacent_dependency_relation_std,1.0,2.0,2.0,3.0,0.0,0.0
proportion_unique_tokens,2.0,2.0,2.0,2.0,2.0,3.0
rix,1.0,2.0,2.0,3.0,1.0,1.0
second_order_coherence,2.0,2.0,2.0,0.0,2.0,0.0
sentence_length_mean,1.0,1.0,1.0,3.0,2.0,0.0
sentence_length_median,1.0,2.0,1.0,3.0,2.0,1.0
sentence_length_std,2.0,2.0,2.0,2.0,3.0,0.0
shannon_entropy,0.0,0.0,0.0,3.0,0.0,3.0
simpson_diversity,0.0,0.0,3.0,3.0,0.0,3.0
syllables_per_token_mean,2.0,2.0,2.0,0.0,1.0,0.0
syllables_per_token_median,2.0,2.0,2.0,0.0,0.0,0.0
syllables_per_token_std,1.0,1.0,1.0,0.0,1.0,0.0
token_length_mean,2.0,2.0,2.0,0.0,1.0,0.0
token_length_median,2.0,2.0,2.0,0.0,1.0,0.0
token_length_std,1.0,1.0,1.0,0.0,1.0,0.0
top_ngram_chr_fraction_2,2.0,2.0,2.0,3.0,2.0,0.0
top_ngram_chr_fraction_3,2.0,2.0,2.0,2.0,3.0,0.0
top_ngram_chr_fraction_4,2.0,2.0,2.0,0.0,0.0,0.0
type_token_ratio,2.0,1.0,2.0,2.0,2.0,2.0
yules_k,2.0,2.0,2.0,2.0,2.0,2.0
